year,state_fip,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2008,1,4718206,0.71352,0.26688,0.0071,0.0125,0.9653,0.0347,0.48492,0.51508,0.01353,0.05108,0.065,0.06772,0.07324,0.06968,0.06602,0.06089,0.06652,0.06756,0.07379,0.07206,0.06397,0.05394,0.04199,0.03309,0.02583,0.0187,0.01539
2008,2,687455,0.71854,0.04375,0.17074,0.06697,0.94581,0.05419,0.52082,0.47918,0.01573,0.05863,0.07016,0.07387,0.07841,0.07897,0.07454,0.0642,0.06722,0.06994,0.08105,0.08066,0.06777,0.04565,0.02844,0.01782,0.01269,0.00802,0.00623
2008,4,6280362,0.86459,0.04691,0.05518,0.03332,0.70848,0.29152,0.4976,0.5024,0.01522,0.06023,0.07009,0.07049,0.07295,0.06931,0.07207,0.06465,0.06726,0.06517,0.06766,0.06377,0.05761,0.05102,0.04136,0.0322,0.02544,0.01841,0.0151
2008,5,2874554,0.81642,0.15946,0.00948,0.01464,0.94078,0.05922,0.49063,0.50937,0.01419,0.0544,0.06707,0.06767,0.07101,0.06817,0.06807,0.06097,0.06454,0.06571,0.07111,0.06865,0.06221,0.05444,0.04397,0.03418,0.02667,0.01955,0.01741
2008,6,36604337,0.76467,0.07273,0.01829,0.1443,0.63261,0.36739,0.49741,0.50259,0.01446,0.0555,0.06621,0.07215,0.07713,0.07337,0.07457,0.06823,0.07241,0.0718,0.0733,0.06763,0.05722,0.04519,0.03291,0.02536,0.02079,0.01645,0.01532
2008,8,4889730,0.90282,0.0474,0.0172,0.03258,0.79858,0.20142,0.50119,0.49881,0.01378,0.05634,0.06813,0.06641,0.06961,0.07029,0.07364,0.06965,0.07342,0.07047,0.07707,0.07364,0.06362,0.04879,0.03364,0.02433,0.01932,0.01458,0.01327
2008,9,3545579,0.84162,0.11328,0.0052,0.0399,0.87399,0.12601,0.48647,0.51353,0.01114,0.04683,0.063,0.06862,0.0718,0.06208,0.05817,0.05723,0.06764,0.07743,0.08249,0.07716,0.06422,0.05325,0.03882,0.02903,0.02598,0.02216,0.02293
2008,10,883874,0.73575,0.2238,0.00668,0.03377,0.92451,0.07549,0.48468,0.51532,0.01303,0.05076,0.06237,0.06452,0.0738,0.06894,0.06537,0.05838,0.06568,0.07119,0.07592,0.07152,0.06275,0.0558,0.04389,0.03324,0.02693,0.0194,0.01651
2008,11,580236,0.40573,0.54873,0.00636,0.03918,0.91306,0.08694,0.47217,0.52783,0.01359,0.0428,0.04257,0.04642,0.06982,0.10195,0.10672,0.08646,0.07398,0.06529,0.06599,0.06311,0.05851,0.0477,0.03477,0.0258,0.0206,0.01712,0.01681
2008,12,18527305,0.8006,0.16659,0.00516,0.02765,0.78361,0.21639,0.48912,0.51088,0.01199,0.0466,0.05752,0.06125,0.067,0.0652,0.06319,0.05828,0.06564,0.07003,0.07492,0.06945,0.06258,0.05713,0.04847,0.03966,0.03355,0.02564,0.02188
