year,fips,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2018,1001,55533,0.77851,0.20184,0.00477,0.01487,0.97112,0.02888,0.48708,0.51292,0.01149,0.04889,0.06144,0.06981,0.06758,0.05732,0.06692,0.0627,0.0654,0.06524,0.07116,0.06854,0.07071,0.05852,0.04686,0.04134,0.03054,0.01981,0.01572
2018,1003,218071,0.88573,0.09302,0.00847,0.01277,0.95419,0.04581,0.48508,0.51492,0.01056,0.0445,0.05881,0.06372,0.05903,0.05026,0.05737,0.05547,0.06097,0.05921,0.06624,0.06543,0.07235,0.07181,0.06535,0.05719,0.03893,0.02328,0.01954
2018,1005,24887,0.49275,0.49363,0.00711,0.00651,0.95689,0.04311,0.52867,0.47133,0.01093,0.04159,0.05806,0.06063,0.05858,0.05883,0.07193,0.0667,0.06132,0.05774,0.06517,0.06417,0.06771,0.06188,0.06204,0.05336,0.03628,0.02294,0.02013
2018,1007,22300,0.77493,0.21686,0.00444,0.00377,0.97359,0.02641,0.53291,0.46709,0.01072,0.04731,0.05238,0.05915,0.05673,0.0587,0.07735,0.07161,0.06776,0.06462,0.07121,0.0704,0.0683,0.06004,0.05291,0.043,0.03188,0.01901,0.01691
2018,1009,57770,0.96895,0.0188,0.00703,0.00523,0.90703,0.09297,0.49372,0.50628,0.01151,0.04843,0.06258,0.06775,0.06361,0.05499,0.06183,0.05837,0.06048,0.06071,0.06772,0.0672,0.06817,0.06337,0.05622,0.051,0.03457,0.02252,0.01897
2018,1011,10165,0.26926,0.71264,0.00856,0.00954,0.91874,0.08126,0.54373,0.45627,0.01072,0.04801,0.05893,0.05932,0.05194,0.06158,0.07536,0.07486,0.06798,0.06326,0.06394,0.05922,0.07536,0.06758,0.05362,0.04024,0.02764,0.02223,0.0182
2018,1013,19675,0.52661,0.45443,0.00391,0.01504,0.98546,0.01454,0.46612,0.53388,0.01093,0.04605,0.06313,0.06592,0.05957,0.05499,0.06094,0.0552,0.06302,0.05769,0.05992,0.05703,0.06973,0.07334,0.06338,0.04956,0.03537,0.02516,0.02907
2018,1015,114298,0.76267,0.21979,0.00551,0.01202,0.96144,0.03856,0.48138,0.51862,0.01123,0.04662,0.05739,0.06252,0.06614,0.06403,0.07138,0.06017,0.06123,0.05855,0.06189,0.0632,0.07058,0.06874,0.0588,0.04627,0.03235,0.02049,0.01841
2018,1017,33570,0.57551,0.40798,0.00316,0.01335,0.97444,0.02556,0.47891,0.52109,0.01007,0.04689,0.05794,0.05731,0.05627,0.05967,0.07087,0.05481,0.05567,0.05612,0.06595,0.06637,0.07545,0.07203,0.06154,0.05234,0.03539,0.02309,0.02222
2018,1019,26035,0.94123,0.04721,0.00695,0.00461,0.98345,0.01655,0.49522,0.50478,0.00818,0.03849,0.05178,0.05688,0.0575,0.05009,0.0593,0.04632,0.04955,0.05619,0.06679,0.07129,0.07693,0.07959,0.07148,0.06468,0.04383,0.02931,0.02182
2018,1021,44084,0.87973,0.10775,0.00542,0.0071,0.92272,0.07728,0.4907,0.5093,0.01214,0.05015,0.06658,0.06735,0.06469,0.05664,0.06803,0.05814,0.06061,0.06286,0.06524,0.06624,0.06832,0.06596,0.05621,0.04414,0.03006,0.01878,0.01785
2018,1023,12810,0.57564,0.42045,0.00195,0.00195,0.98954,0.01046,0.47268,0.52732,0.01085,0.04231,0.05082,0.05808,0.05824,0.05379,0.05488,0.04637,0.05379,0.0541,0.06105,0.06987,0.08103,0.07518,0.06776,0.06136,0.04504,0.02693,0.02857
2018,1025,23965,0.53962,0.44999,0.0053,0.00509,0.98661,0.01339,0.47277,0.52723,0.01218,0.04648,0.05512,0.06155,0.06564,0.05984,0.06188,0.04799,0.05854,0.05754,0.0623,0.06781,0.07436,0.06927,0.05637,0.0522,0.04014,0.0255,0.02529
2018,1027,13301,0.84452,0.14713,0.00541,0.00293,0.9703,0.0297,0.48801,0.51199,0.01135,0.04225,0.05556,0.05782,0.05977,0.05857,0.05706,0.05127,0.05782,0.05481,0.06503,0.07285,0.07586,0.07097,0.06428,0.05135,0.04082,0.0291,0.02346
2018,1029,15047,0.95833,0.03356,0.00498,0.00312,0.97461,0.02539,0.49392,0.50608,0.01289,0.04838,0.06247,0.06546,0.06121,0.04978,0.0626,0.05403,0.05695,0.05921,0.06892,0.07025,0.07171,0.06254,0.06008,0.05117,0.03841,0.02054,0.02339
2018,1031,52097,0.7745,0.1859,0.01626,0.02334,0.92261,0.07739,0.49147,0.50853,0.01157,0.04979,0.06524,0.06826,0.06423,0.05712,0.06461,0.0629,0.06359,0.06413,0.06849,0.06471,0.06296,0.06211,0.05231,0.04703,0.02983,0.02188,0.01923
2018,1033,54970,0.81848,0.16698,0.00648,0.00806,0.97109,0.02891,0.47901,0.52099,0.01106,0.04592,0.0573,0.05951,0.05685,0.05659,0.06816,0.05923,0.05789,0.05703,0.06422,0.06711,0.07058,0.07035,0.06242,0.04935,0.03853,0.0247,0.02319
2018,1035,12264,0.52373,0.46771,0.00554,0.00302,0.97782,0.02218,0.47839,0.52161,0.01125,0.0433,0.05822,0.05912,0.0574,0.05569,0.05936,0.05194,0.05104,0.05202,0.05643,0.06368,0.07648,0.07869,0.06279,0.06352,0.04313,0.02821,0.02772
2018,1037,10619,0.67568,0.31462,0.0064,0.0033,0.97467,0.02533,0.50042,0.49958,0.00904,0.03701,0.04106,0.04878,0.04652,0.05113,0.05641,0.04567,0.04972,0.05537,0.0727,0.07298,0.08993,0.08965,0.07421,0.06272,0.0437,0.02712,0.02627
2018,1039,36993,0.85678,0.13111,0.00711,0.005,0.98224,0.01776,0.48431,0.51569,0.01127,0.04814,0.06017,0.0619,0.05674,0.05025,0.0628,0.05425,0.05615,0.05282,0.06023,0.06539,0.07358,0.07415,0.06158,0.05542,0.0392,0.02844,0.02752
2018,1041,13855,0.73836,0.24251,0.0065,0.01263,0.97755,0.02245,0.48322,0.51678,0.00989,0.04728,0.0638,0.06582,0.06185,0.05464,0.06474,0.05457,0.05803,0.05543,0.0625,0.06431,0.07391,0.07189,0.06164,0.05449,0.0301,0.0223,0.02281
2018,1043,83300,0.96935,0.01567,0.00727,0.00771,0.95595,0.04405,0.49443,0.50557,0.01119,0.05024,0.0614,0.06257,0.06035,0.05486,0.06951,0.05983,0.05928,0.06104,0.0631,0.06531,0.06947,0.06677,0.05824,0.05012,0.03643,0.02251,0.01778
2018,1045,49268,0.75398,0.21832,0.00857,0.01914,0.93306,0.06694,0.49133,0.50867,0.01407,0.05373,0.06381,0.06087,0.05988,0.06519,0.07843,0.06852,0.06034,0.05563,0.06063,0.06,0.06627,0.06398,0.05291,0.04396,0.03195,0.02095,0.01888
2018,1047,38270,0.27954,0.7103,0.003,0.00716,0.9895,0.0105,0.46201,0.53799,0.01137,0.0498,0.06365,0.07076,0.06901,0.06151,0.06206,0.05506,0.05725,0.05328,0.05532,0.06323,0.07442,0.07343,0.05984,0.04792,0.03146,0.02205,0.01858
2018,1049,71430,0.944,0.02127,0.02288,0.01186,0.85225,0.14775,0.49595,0.50405,0.01149,0.04907,0.0658,0.07325,0.06724,0.0564,0.06364,0.05575,0.05947,0.06282,0.06767,0.06493,0.06665,0.06373,0.05587,0.04661,0.03193,0.02047,0.01721
2018,1051,81189,0.76922,0.21537,0.0052,0.01021,0.96982,0.03018,0.48249,0.51751,0.01137,0.04757,0.0607,0.06471,0.06301,0.06037,0.07317,0.06571,0.06655,0.06386,0.06907,0.06825,0.06932,0.06305,0.05104,0.04264,0.02888,0.01671,0.014
