sic,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
71,00-0000,4650,10.43,,,,
71,11-0000,480,20.58,,,,
71,11-1011,60,24.89,,,,
71,11-1021,210,23.06,,,,
71,11-9011,60,16.93,,,,
71,37-0000,690,12.24,,,,
71,37-1012,**,22.65,,,,
71,37-3011,190,11.77,,,,
71,37-3012,360,9.66,,,,
71,41-0000,**,*,,,,
71,41-4012,30,12.75,,,,
71,43-0000,430,9.14,,,,
71,43-1011,30,13.25,,,,
71,43-3031,100,10.11,,,,
71,43-6011,30,13.64,,,,
71,43-6014,130,7.93,,,,
71,43-9061,60,10.08,,,,
71,45-0000,1750,8.36,,,,
71,45-1011,180,12.96,,,,
71,45-2091,1090,10.61,,,,
71,45-2092,480,6.99,,,,
71,47-0000,100,9.56,,,,
71,47-2073,60,9.22,,,,
71,49-0000,210,10.13,,,,
71,49-3031,30,11.67,,,,
71,49-3041,90,13.28,,,,
71,53-0000,830,9.93,,,,
71,53-3032,400,11.42,,,,
71,53-3033,120,10.22,,,,
71,53-7062,220,7.56,,,,
72,00-0000,129790,6.85,,,,
72,11-0000,5880,22.58,,,,
72,11-1011,720,29.95,,,,
72,11-1021,2220,23.26,,,,
72,11-2022,570,28.83,,,,
72,11-3031,320,25.09,,,,
72,11-3040,160,18.32,,,,
72,11-3051,340,20.52,,,,
72,11-3071,240,16.86,,,,
72,11-9011,1040,18.8,,,,
72,13-0000,350,20.03,,,,
72,13-2011,230,20.88,,,,
72,15-0000,180,23.9,,,,
72,15-1061,140,21.96,,,,
72,17-0000,270,6.89,,,,
72,17-2021,60,28.57,,,,
72,19-0000,950,16.75,,,,
72,19-1010,**,17.47,,,,
72,19-4011,350,9.46,,,,
72,33-0000,110,7.47,,,,
72,33-9032,110,6.88,,,,
72,37-0000,2620,8.31,,,,
72,37-1012,**,12.55,,,,
72,37-2011,530,6.82,,,,
72,37-3011,**,7.77,,,,
72,37-3012,1250,7.92,,,,
72,37-3013,70,8.97,,,,
72,41-0000,1910,14.24,,,,
72,41-2031,100,6.85,,,,
72,41-4012,1420,16.21,,,,
72,43-0000,8480,9.44,,,,
72,43-1011,750,12.66,,,,
72,43-2011,40,9.54,,,,
72,43-3031,1620,10.45,,,,
72,43-3051,400,10.3,,,,
72,43-4051,60,15.92,,,,
72,43-4071,90,7.66,,,,
72,43-4151,170,10.47,,,,
72,43-4161,40,10.14,,,,
72,43-4171,400,7.93,,,,
72,43-5071,1010,8.09,,,,
72,43-6011,290,13.47,,,,
72,43-6014,760,9.29,,,,
72,43-9011,170,10.76,,,,
72,43-9021,**,7.47,,,,
72,43-9061,1650,7.86,,,,
72,45-0000,63880,6.52,,,,
72,45-1011,2780,12.68,,,,
72,45-1012,**,9.67,,,,
72,45-2011,100,11.43,,,,
72,45-2041,19450,6.48,,,,
72,45-2091,7090,7.24,,,,
72,45-2092,29090,6.32,,,,
72,45-2093,2120,6.43,,,,
72,47-0000,110,15.21,,,,
72,49-0000,4100,8.36,,,,
72,49-1011,**,18.92,,,,
72,49-3011,100,17.38,,,,
72,49-3031,160,11.48,,,,
72,49-3041,560,9.71,,,,
72,49-9042,1300,9.82,,,,
72,51-0000,11990,7.1,,,,
72,51-1011,760,15.12,,,,
72,51-9021,140,11.9,,,,
72,51-9198,740,7.41,,,,
72,53-0000,28900,6.95,,,,
72,53-1021,380,14.2,,,,
72,53-1031,80,18.2,,,,
72,53-2012,1130,*,,,,
72,53-3032,2820,9.12,,,,
72,53-3033,870,6.62,,,,
72,53-7051,3020,8.44,,,,
72,53-7062,5970,6.88,,,,
72,53-7064,10260,6.65,,,,
74,00-0000,210520,9.28,,,,
74,11-0000,5320,16.99,,,,
74,11-1011,1070,39.32,,,,
74,11-1021,2630,16.16,,,,
74,11-3040,170,13.16,,,,
74,11-9111,730,16.05,,,,
74,13-0000,510,14.26,,,,
74,13-2011,300,12.96,,,,
74,15-0000,110,12,,,,
74,29-0000,83770,13.37,,,,
74,29-1131,36790,28.2,,,,
74,29-2012,710,9.1,,,,
74,29-2056,44270,9.82,,,,
74,31-0000,47020,7.46,,,,
74,31-9096,46100,7.45,,,,
74,37-0000,2490,6.83,,,,
74,37-1012,**,8.05,,,,
74,37-2011,1920,6.54,,,,
74,37-2012,240,6.37,,,,
74,37-3011,**,6.56,,,,
74,39-0000,20280,6.91,,,,
74,39-1021,90,9.72,,,,
74,39-2021,20060,6.91,,,,
74,41-0000,**,7.86,,,,
74,41-2031,**,7.66,,,,
74,43-0000,49700,9,,,,
74,43-1011,4260,11.47,,,,
74,43-3011,420,8.96,,,,
74,43-3021,30,8.35,,,,
74,43-3031,3990,9.75,,,,
74,43-3051,**,8.39,,,,
74,43-3061,160,9.69,,,,
74,43-4171,31190,8.24,,,,
74,43-6011,540,12.25,,,,
74,43-6013,3310,8.81,,,,
74,43-6014,1620,9.56,,,,
74,43-9021,170,9.17,,,,
74,43-9022,**,9.67,,,,
74,43-9061,3110,8.54,,,,
74,45-0000,**,9.79,,,,
74,45-1011,80,11.09,,,,
74,49-0000,370,13.59,,,,
74,49-9042,360,7.99,,,,
74,53-0000,120,8.75,,,,
74,53-7062,60,7.14,,,,
75,00-0000,56320,8.27,,,,
75,11-0000,2560,16.8,,,,
75,11-1011,330,20.64,,,,
75,11-1021,1260,16.48,,,,
75,11-3031,100,18.71,,,,
75,11-9011,450,15.63,,,,
75,11-9111,**,6.29,,,,
75,13-0000,170,20.45,,,,
75,13-1021,**,61.64,,,,
75,13-2011,100,16.83,,,,
75,15-0000,150,19.53,,,,
75,15-1061,100,18.58,,,,
75,19-0000,1480,11.1,,,,
75,19-1010,110,14.11,,,,
75,19-4011,1360,10.71,,,,
75,25-0000,100,9.81,,,,
75,27-0000,220,17.64,,,,
75,27-3031,**,18.97,,,,
75,29-0000,430,14.46,,,,
75,29-1131,130,17.45,,,,
75,29-2056,260,12.75,,,,
75,31-0000,970,8.07,,,,
75,31-9096,890,8.21,,,,
75,33-0000,180,9.46,,,,
75,33-9011,50,9.81,,,,
75,33-9032,120,8.54,,,,
75,35-0000,80,7.74,,,,
75,37-0000,1000,8.81,,,,
75,37-1012,**,12.33,,,,
75,37-2011,370,6.46,,,,
75,37-2012,60,6.68,,,,
75,37-3011,350,9.49,,,,
75,39-0000,27840,7.88,,,,
75,39-1021,910,11.81,,,,
75,39-2011,3480,11,,,,
75,39-2021,22940,7.57,,,,
75,39-9021,**,6.32,,,,
75,41-0000,1010,9.37,,,,
75,41-1011,90,11.09,,,,
75,41-1012,60,15.87,,,,
75,41-2011,110,6.54,,,,
75,41-2021,**,6.26,,,,
75,41-2031,330,7.07,,,,
75,41-4011,50,16.54,,,,
75,41-4012,180,19.47,,,,
75,43-0000,5050,9.18,,,,
75,43-1011,280,13.51,,,,
75,43-2011,60,8.44,,,,
75,43-3031,470,11.2,,,,
75,43-3051,60,11.77,,,,
75,43-4051,140,8.92,,,,
75,43-4071,40,8.39,,,,
75,43-4151,30,10.57,,,,
75,43-4171,1070,8.42,,,,
75,43-5071,70,10.91,,,,
75,43-5081,**,6.34,,,,
75,43-6011,260,10.59,,,,
75,43-6014,790,10.28,,,,
75,43-9011,50,10.67,,,,
75,43-9021,140,10.39,,,,
75,43-9051,**,9.12,,,,
75,43-9061,1250,8.3,,,,
75,45-0000,10560,8.16,,,,
75,45-1011,940,11.91,,,,
75,45-1012,90,6.07,,,,
75,45-2011,160,12.01,,,,
75,45-2021,700,10.74,,,,
75,45-2091,**,9.26,,,,
75,45-2092,1010,7.44,,,,
75,45-2093,6860,7.83,,,,
75,49-0000,600,9.83,,,,
75,49-3041,80,10.17,,,,
75,49-9042,480,8.91,,,,
75,51-0000,2500,7.26,,,,
75,51-1011,90,13,,,,
75,51-3021,780,7.75,,,,
75,51-3022,190,8.15,,,,
75,51-3023,590,7.04,,,,
75,51-9198,140,7.34,,,,
75,53-0000,1390,7.9,,,,
75,53-3032,**,12.02,,,,
75,53-3033,120,9.56,,,,
75,53-7062,570,7.75,,,,
75,53-7064,360,6.57,,,,
76,00-0000,174670,6.39,,,,
76,11-0000,1150,19.91,,,,
76,11-1021,370,24.09,,,,
76,11-3031,80,34.24,,,,
76,11-3040,40,11.63,,,,
76,11-9011,440,18.37,,,,
76,13-0000,130,18.23,,,,
76,13-2011,40,21.11,,,,
76,37-0000,920,6.59,,,,
76,37-3011,**,7.01,,,,
76,37-3012,**,7.7,,,,
76,43-0000,1710,8.9,,,,
76,43-1011,60,12.7,,,,
76,43-3031,260,11,,,,
76,43-3051,290,8.93,,,,
76,43-4071,**,6.71,,,,
76,43-4171,60,7.67,,,,
76,43-6011,40,13.06,,,,
76,43-6014,340,9.65,,,,
76,43-9061,510,7.81,,,,
76,45-0000,167510,6.37,,,,
76,45-1011,3480,10.26,,,,
76,45-1012,7700,6.57,,,,
76,45-2041,720,6.48,,,,
76,45-2091,2840,6.84,,,,
76,45-2092,147420,6.35,,,,
76,45-2093,5300,6.31,,,,
76,49-0000,580,10.42,,,,
76,49-3031,110,11.27,,,,
