naics,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
113300,00-0000,56740,15.48,10.01,12.40,19.29,24.62
113300,11-0000,990,33.64,19.77,26.62,54.38,#
113300,11-1011,40,76.87,30.78,55.26,#,#
113300,11-1021,870,32.78,19.28,26.30,51.99,#
113300,11-9011,40,30.27,21.33,23.80,37.42,53.84
113300,13-0000,320,24.10,16.00,21.19,29.69,41.46
113300,13-1023,160,23.50,11.48,20.68,26.34,34.19
113300,13-1199,**,22.99,20.03,21.13,24.85,40.83
113300,13-2011,60,29.97,19.86,25.56,36.17,46.99
113300,19-0000,690,25.60,16.15,20.20,35.48,41.81
113300,19-1032,560,28.27,16.52,21.39,37.18,43.52
113300,19-4093,130,20.95,14.34,17.66,24.95,29.70
113300,33-0000,110,9.92,7.95,7.95,12.05,14.03
113300,33-9032,110,9.66,7.95,7.95,11.98,13.80
113300,37-0000,90,8.60,6.50,7.26,10.02,12.70
113300,37-2011,70,7.94,6.37,6.97,9.56,11.58
113300,41-0000,30,*,*,*,*,*
113300,43-0000,4260,11.77,7.30,8.86,15.37,20.40
113300,43-1011,140,18.24,13.02,14.42,25.22,30.14
113300,43-3031,1090,13.91,8.89,11.22,17.75,22.64
113300,43-3051,250,11.67,8.12,9.09,16.44,19.01
113300,43-4071,40,10.99,6.86,8.12,12.74,15.90
113300,43-4171,40,8.80,7.50,8.01,9.69,11.55
113300,43-6011,150,21.13,9.11,14.18,25.09,29.18
113300,43-6014,1070,11.31,7.55,9.19,13.97,17.50
113300,43-9061,1340,9.53,6.81,7.53,12.95,16.79
113300,45-0000,35950,15.71,10.42,12.68,19.28,24.24
113300,45-1011,2670,23.64,13.83,18.04,30.64,37.42
113300,45-2099,**,15.48,9.03,12.00,18.29,19.99
113300,45-4011,70,16.07,7.83,11.65,18.12,19.36
113300,45-4021,6050,14.63,9.59,11.46,18.69,25.72
113300,45-4022,22020,15.38,10.61,12.64,18.72,22.33
113300,45-4023,530,17.36,9.61,12.76,21.20,29.22
113300,45-4029,4350,16.06,9.14,13.40,18.85,21.67
113300,47-0000,550,14.73,10.33,11.75,20.02,24.41
113300,47-2073,510,14.43,10.26,11.59,19.46,23.89
113300,49-0000,1900,16.40,10.80,13.51,19.90,26.29
113300,49-1011,50,24.26,16.55,19.56,29.95,37.64
113300,49-3011,40,28.77,20.40,26.13,31.41,47.23
113300,49-3031,270,16.04,10.80,13.23,21.02,27.10
113300,49-3042,910,16.77,12.50,14.24,19.58,26.13
113300,49-9041,70,19.01,12.34,15.92,23.19,25.69
113300,49-9042,270,14.39,9.79,11.59,17.82,20.91
113300,49-9043,80,14.20,7.42,10.59,17.17,19.00
113300,49-9096,120,18.29,14.19,16.06,22.76,31.58
113300,49-9098,80,9.82,8.11,8.74,13.76,15.48
113300,51-0000,1490,16.55,10.40,12.64,20.55,24.01
113300,51-1011,50,19.89,13.48,15.23,24.37,36.95
113300,51-7041,1280,16.36,10.37,12.53,20.82,24.03
113300,51-7042,**,16.95,10.96,13.53,18.73,19.81
113300,51-9198,40,13.96,8.53,9.65,18.22,19.72
113300,53-0000,10330,15.28,10.34,12.78,18.63,22.60
113300,53-1031,100,21.56,15.00,17.45,28.56,34.91
113300,53-2012,60,*,*,*,*,*
113300,53-3032,8300,15.48,10.94,13.12,18.74,22.57
113300,53-3033,260,12.54,8.21,9.70,16.53,18.81
113300,53-7021,110,18.34,9.43,12.25,24.18,29.53
113300,53-7032,160,15.94,12.76,13.93,19.08,22.89
113300,53-7041,210,17.87,13.83,16.40,19.38,21.43
113300,53-7051,390,14.66,9.23,11.54,18.11,21.97
113300,53-7062,660,11.07,7.42,8.78,13.70,15.50
115100,00-0000,303680,8.84,7.67,8.01,10.29,15.07
115100,11-0000,4890,33.65,16.92,23.77,49.46,72.44
115100,11-1011,180,70.07,41.08,51.51,#,#
115100,11-1021,2010,38.05,18.37,26.10,56.48,#
115100,11-2021,30,48.94,30.38,38.25,67.10,#
115100,11-2022,130,65.01,33.98,44.88,77.97,#
115100,11-3011,30,32.26,18.94,27.16,51.96,59.76
115100,11-3031,200,42.78,26.78,33.63,51.65,#
115100,11-3051,210,31.21,20.05,24.85,40.76,50.53
115100,11-3071,230,30.21,21.66,26.45,36.90,47.52
115100,11-9011,1600,25.88,14.64,19.81,35.92,50.01
115100,11-9012,**,40.64,9.40,14.79,46.38,50.10
115100,11-9199,40,37.49,26.59,29.41,55.77,68.72
115100,13-0000,1000,25.85,16.46,20.58,33.17,40.51
115100,13-1021,90,27.34,12.19,19.68,33.03,57.43
115100,13-1079,30,26.20,16.66,21.30,33.62,37.69
115100,13-1081,**,25.41,17.95,21.18,29.74,32.57
115100,13-1199,200,23.24,12.62,18.69,31.15,48.20
115100,13-2011,570,26.45,17.69,21.33,33.38,39.46
115100,15-0000,140,25.36,15.27,20.66,35.69,42.70
115100,15-1061,70,24.15,14.82,20.74,33.62,38.98
115100,17-0000,90,32.18,17.20,18.90,37.81,41.42
115100,17-2021,70,33.11,17.48,19.10,37.94,41.50
115100,19-0000,720,17.90,11.00,13.11,26.81,37.46
115100,19-1012,80,24.27,11.15,18.82,32.43,46.72
115100,19-1013,260,26.43,13.74,19.64,32.13,43.90
115100,19-4011,290,13.63,10.33,11.87,15.42,19.82
115100,25-0000,100,*,*,*,*,*
115100,25-9021,100,*,*,*,*,*
115100,33-0000,120,8.97,7.21,8.12,10.19,12.58
115100,33-9032,120,8.97,7.21,8.12,10.19,12.58
115100,37-0000,2970,11.01,7.98,8.95,14.88,19.67
115100,37-1012,70,22.46,13.30,17.35,25.72,31.53
115100,37-2011,1020,9.03,7.17,8.04,10.67,13.80
115100,37-2021,**,11.08,7.00,10.05,12.11,17.97
115100,37-3011,220,10.09,8.05,8.69,15.66,25.53
115100,37-3012,1520,12.52,9.00,10.48,16.59,20.29
115100,41-0000,1850,24.60,8.28,13.87,36.37,48.37
115100,41-1012,40,37.81,23.78,29.71,50.61,64.40
115100,41-2031,90,9.87,6.91,7.77,13.59,15.90
115100,41-3099,780,20.11,7.37,10.67,35.57,50.12
115100,41-4011,40,24.36,19.20,21.48,34.58,38.31
115100,41-4012,820,29.02,14.62,21.66,38.86,47.98
115100,41-9099,50,21.24,11.64,17.45,25.78,35.31
115100,43-0000,13600,12.16,7.82,9.18,15.92,20.50
115100,43-1011,930,21.26,13.34,16.33,28.76,35.64
115100,43-3021,30,14.13,11.01,12.80,15.35,16.38
115100,43-3031,2890,13.73,8.82,10.69,17.79,22.30
115100,43-3051,700,13.80,8.77,10.88,16.21,19.25
115100,43-4051,240,13.42,8.60,10.50,17.79,21.89
115100,43-4071,180,9.23,6.78,8.00,12.29,16.05
115100,43-4151,110,14.97,8.82,10.50,17.57,19.22
115100,43-4161,110,14.82,8.89,10.81,19.42,27.21
115100,43-4171,340,10.32,7.15,8.07,12.62,15.53
115100,43-5032,**,17.17,9.15,14.87,18.91,23.22
115100,43-5061,30,18.29,11.28,14.32,22.13,25.05
115100,43-5071,1400,11.11,7.27,8.59,14.48,17.84
115100,43-5081,120,11.00,8.22,8.95,13.92,15.19
115100,43-5111,1100,9.19,7.83,8.40,10.26,14.13
115100,43-6011,500,17.74,12.42,14.60,20.94,25.56
115100,43-6014,1750,11.88,8.00,9.28,14.67,17.33
115100,43-9011,50,13.16,8.68,10.71,19.57,23.79
115100,43-9021,100,10.85,6.81,8.25,14.31,17.66
115100,43-9061,2840,10.22,7.13,8.20,13.38,15.93
115100,45-0000,223930,8.62,7.73,8.05,9.55,11.99
115100,45-1011,6920,15.07,9.51,11.51,20.77,27.29
115100,45-1012,930,16.37,9.68,12.22,22.58,26.63
115100,45-2011,650,15.73,9.08,10.78,23.56,26.01
115100,45-2041,12640,8.29,6.99,7.56,9.41,11.23
115100,45-2091,14930,10.06,7.42,8.51,12.82,15.99
115100,45-2092,185740,8.51,7.95,8.05,9.35,10.58
115100,45-2093,**,7.56,6.81,7.09,9.25,11.51
115100,45-2099,950,8.97,7.96,8.20,10.51,14.15
115100,47-0000,150,13.17,8.46,9.53,15.81,19.53
115100,47-2073,**,11.32,8.57,9.28,14.59,17.00
115100,49-0000,4530,13.39,8.25,9.87,17.80,23.41
115100,49-1011,250,24.51,13.77,18.00,31.07,39.23
115100,49-3011,110,14.97,9.73,11.35,22.10,27.51
115100,49-3031,200,15.34,9.70,12.65,19.38,23.80
115100,49-3041,1390,13.13,8.31,9.81,16.67,20.24
115100,49-9041,110,13.92,9.94,11.22,19.13,24.44
115100,49-9042,1880,13.01,8.09,9.63,17.51,22.64
115100,49-9043,460,12.69,8.29,9.47,14.89,19.00
115100,49-9098,90,8.32,6.77,7.41,9.70,12.15
115100,51-0000,10530,9.35,7.64,8.21,11.75,16.32
115100,51-1011,770,18.62,10.00,13.20,25.63,32.87
115100,51-2099,40,8.57,7.12,7.52,10.09,12.06
115100,51-3091,430,10.16,6.77,8.11,11.87,14.59
115100,51-4121,40,15.54,9.31,11.67,19.09,22.28
115100,51-9012,680,10.74,7.34,8.63,13.83,19.10
115100,51-9021,410,9.65,8.00,8.00,13.34,20.61
115100,51-9023,120,12.89,9.75,10.84,15.88,19.55
115100,51-9032,1010,10.90,9.10,10.14,11.66,12.11
115100,51-9041,270,6.93,6.15,6.44,7.43,7.72
115100,51-9061,920,9.46,8.10,8.61,11.86,15.56
115100,51-9111,3650,8.63,7.53,8.00,9.50,11.71
115100,51-9192,760,9.09,8.03,8.43,11.11,14.49
115100,51-9193,**,14.60,12.86,13.51,15.70,16.87
115100,51-9198,810,9.07,8.00,8.38,9.90,13.88
115100,51-9199,420,9.18,7.72,8.26,12.85,19.43
115100,53-0000,39030,9.30,7.43,8.20,11.81,16.41
115100,53-1021,1270,18.28,11.44,14.18,23.58,30.03
115100,53-1031,290,21.27,12.96,16.68,27.25,36.91
115100,53-2012,1010,*,*,*,*,*
115100,53-3032,3710,12.42,8.57,10.03,15.77,22.19
115100,53-3033,930,11.37,8.37,9.73,13.70,15.84
115100,53-7011,380,9.89,7.82,8.65,12.10,18.17
115100,53-7051,4040,10.19,7.93,8.71,13.34,16.08
115100,53-7061,140,9.07,7.73,8.34,9.79,13.25
115100,53-7062,9150,8.79,6.81,7.71,10.27,13.67
115100,53-7063,1000,8.17,6.55,7.19,9.61,11.67
115100,53-7064,**,8.89,7.59,8.09,9.71,11.77
115100,53-7199,**,13.11,8.00,10.30,14.61,15.50
115200,00-0000,28170,11.69,7.91,9.08,15.68,22.99
115200,11-0000,690,31.39,15.36,21.40,45.46,72.43
115200,11-1011,40,#,50.00,56.80,#,#
115200,11-1021,280,35.18,19.73,26.25,49.43,#
115200,11-9011,240,22.54,13.81,17.63,30.78,40.95
115200,13-0000,130,23.95,16.44,19.29,31.07,38.36
115200,13-1199,30,22.39,15.12,20.11,24.78,36.17
115200,13-2011,70,26.83,17.59,20.37,32.60,41.34
115200,15-0000,90,31.42,17.21,23.28,39.72,45.95
115200,19-0000,1130,14.88,9.69,11.38,20.45,30.81
115200,19-1011,170,21.86,12.59,14.50,41.07,50.19
115200,19-4011,740,13.63,9.51,10.92,17.87,23.43
115200,19-4099,130,*,*,*,*,*
115200,25-0000,100,18.89,11.21,13.90,23.57,30.00
115200,25-3021,80,17.05,10.67,13.32,22.04,24.31
115200,27-0000,90,15.47,10.05,11.79,20.14,27.81
115200,27-2022,50,*,*,*,*,*
115200,29-0000,110,28.03,13.51,16.08,42.14,54.61
115200,29-1131,40,43.36,19.24,29.37,54.59,61.48
115200,29-2056,30,14.99,12.94,13.71,16.97,18.88
115200,33-0000,150,13.18,8.98,10.67,15.51,18.48
115200,33-9032,150,13.18,8.98,10.67,15.51,18.48
115200,37-0000,940,11.07,8.02,8.84,14.77,18.89
115200,37-1012,**,18.40,11.59,13.78,23.48,27.44
115200,37-2011,110,10.63,7.25,8.54,13.14,15.48
115200,37-2012,70,11.55,7.43,8.81,14.44,16.18
115200,37-3011,600,10.01,8.02,8.58,13.42,17.08
115200,39-0000,5320,11.37,7.66,8.91,14.85,20.09
115200,39-1021,120,15.97,11.07,13.47,20.22,29.17
115200,39-2011,2060,14.51,8.46,11.55,18.88,27.24
115200,39-2021,3140,9.91,7.43,8.30,11.88,14.66
115200,41-0000,590,22.87,9.29,16.65,31.97,40.97
115200,41-1012,30,27.81,20.07,22.98,32.42,40.97
115200,41-3099,150,16.87,8.03,9.08,22.61,31.60
115200,41-4012,360,25.00,15.61,19.78,35.18,45.41
115200,43-0000,2350,13.67,7.82,9.85,17.46,21.07
115200,43-1011,120,19.92,15.65,17.28,25.14,31.61
115200,43-3031,440,14.72,7.61,10.55,18.25,20.71
115200,43-4051,110,16.49,9.62,12.85,18.88,21.82
115200,43-4171,90,13.01,7.88,10.85,14.87,16.55
115200,43-4199,**,13.80,8.69,10.88,17.57,22.76
115200,43-5021,**,8.75,7.60,8.03,9.46,12.43
115200,43-5071,60,13.78,8.47,10.12,16.40,18.82
115200,43-5111,140,13.13,7.93,9.07,15.20,18.14
115200,43-6011,150,18.50,14.51,16.51,21.18,25.37
115200,43-6014,340,12.53,7.85,9.32,15.75,19.96
115200,43-9021,**,14.16,8.71,10.21,16.70,21.15
115200,43-9051,**,13.38,10.01,12.04,14.57,15.29
115200,43-9061,570,10.84,7.35,8.03,14.28,18.44
115200,45-0000,15170,10.98,7.98,8.90,14.30,19.02
115200,45-1011,1310,16.97,10.73,12.95,23.30,30.38
115200,45-2011,60,20.81,13.82,15.57,26.21,30.73
115200,45-2021,1550,13.65,8.35,9.68,20.45,28.94
115200,45-2041,60,12.24,8.38,10.42,14.59,16.09
115200,45-2091,**,13.46,8.95,10.35,14.91,16.09
115200,45-2092,290,10.74,7.18,8.60,13.25,16.48
115200,45-2093,**,10.27,7.84,8.67,12.91,15.73
115200,45-2099,190,11.06,8.37,9.86,12.21,18.12
115200,49-0000,580,12.52,8.10,9.80,17.54,25.54
115200,49-3041,100,12.33,8.57,9.64,16.36,19.99
115200,49-9042,370,11.91,7.85,9.52,15.33,22.27
115200,49-9099,**,22.06,9.27,11.89,36.23,39.44
115200,51-0000,**,9.40,7.17,7.53,14.20,18.53
115200,53-0000,420,11.90,7.76,9.30,15.09,19.34
115200,53-3032,70,15.79,10.41,11.70,19.56,23.74
115200,53-3033,110,11.86,7.97,10.11,14.17,16.20
115200,53-7062,190,9.76,7.37,8.34,13.07,14.90
211100,00-0000,149800,26.62,12.44,17.74,40.67,63.41
211100,11-0000,14860,52.05,21.72,34.66,77.25,#
211100,11-1011,680,#,24.42,50.04,#,#
211100,11-1021,6260,53.57,19.90,34.17,#,#
211100,11-2021,190,59.91,33.31,40.84,#,#
211100,11-2022,90,59.93,25.97,38.59,79.18,#
211100,11-2031,40,49.90,28.28,38.16,75.54,#
211100,11-3011,540,39.14,15.33,27.17,50.80,69.33
211100,11-3021,240,56.54,37.32,45.44,71.78,#
211100,11-3031,1760,53.39,28.25,40.54,73.27,#
211100,11-3041,80,39.43,22.67,30.75,51.15,63.99
211100,11-3049,70,45.54,25.70,30.26,62.31,#
211100,11-3051,1590,50.43,27.22,36.86,65.61,#
211100,11-3061,110,51.48,30.58,41.03,63.75,#
211100,11-3071,110,49.28,27.42,36.24,69.45,#
211100,11-9021,170,46.14,27.48,34.30,62.84,#
211100,11-9041,860,66.82,39.33,51.17,#,#
211100,11-9121,150,55.44,37.82,45.06,#,#
211100,11-9141,1270,29.06,14.00,21.54,51.33,73.95
211100,11-9199,620,49.86,23.22,35.71,72.66,#
211100,13-0000,15910,31.70,18.54,23.81,41.56,55.47
211100,13-1022,50,25.44,17.36,20.81,34.88,41.83
211100,13-1023,1120,30.94,17.92,22.94,42.51,55.29
211100,13-1041,390,26.02,13.64,17.71,37.00,48.15
211100,13-1071,110,28.16,15.23,20.95,37.35,49.19
211100,13-1072,300,26.99,17.20,21.32,34.78,45.12
211100,13-1073,40,31.83,16.90,23.36,41.38,51.33
211100,13-1079,280,31.97,18.84,24.23,40.97,51.06
211100,13-1081,260,33.98,20.23,25.50,42.69,56.50
211100,13-1111,510,38.08,19.81,27.51,52.27,72.27
211100,13-1199,2580,34.48,16.48,23.49,47.22,63.81
211100,13-2011,7310,30.38,19.15,23.43,38.47,50.12
211100,13-2031,210,35.65,23.92,28.85,43.38,53.66
211100,13-2051,2340,35.38,21.77,27.35,46.41,59.18
211100,13-2099,140,43.02,15.99,26.71,63.47,79.56
211100,15-0000,5530,34.43,19.50,25.98,44.63,54.19
211100,15-1021,160,33.45,19.80,25.19,41.57,50.03
211100,15-1031,120,44.58,32.98,37.96,50.63,59.81
211100,15-1032,70,32.62,22.74,26.48,40.28,48.69
211100,15-1041,1410,26.90,16.24,20.12,36.29,47.60
211100,15-1051,490,32.54,21.48,26.53,43.73,55.09
211100,15-1061,280,35.49,20.32,27.45,45.23,54.07
211100,15-1071,320,34.54,21.48,26.94,43.04,52.45
211100,15-1081,480,35.12,20.43,26.52,43.72,50.71
211100,15-1099,**,39.11,25.10,31.44,48.68,60.05
211100,15-2031,**,34.49,21.01,26.90,46.46,56.12
211100,17-0000,17380,48.19,24.48,34.07,64.90,#
211100,17-1021,80,21.48,16.43,17.82,28.74,38.07
211100,17-1022,70,24.88,16.25,19.00,31.26,41.00
211100,17-2051,420,47.71,32.97,38.59,60.22,72.12
211100,17-2071,40,52.45,38.91,43.94,63.04,74.11
211100,17-2081,180,36.44,22.48,27.35,47.86,60.76
211100,17-2111,100,40.18,24.85,30.65,51.16,63.39
211100,17-2112,1160,42.84,22.56,32.33,54.87,67.20
211100,17-2141,470,42.92,26.52,34.01,55.37,70.43
211100,17-2151,990,40.59,23.49,33.07,60.07,78.98
211100,17-2171,8130,57.67,32.46,43.73,74.75,#
211100,17-3019,90,27.32,17.50,20.19,33.70,44.98
211100,17-3023,300,28.53,17.62,22.14,33.72,41.76
211100,17-3027,170,25.78,17.15,20.05,31.46,37.73
211100,17-3029,980,28.76,15.23,22.24,35.17,43.15
211100,17-3031,310,20.96,13.36,15.69,28.30,37.55
211100,19-0000,11580,40.00,20.01,27.59,63.49,#
211100,19-2012,40,48.88,28.62,37.87,63.26,#
211100,19-2031,140,36.48,21.89,28.02,47.87,63.30
211100,19-2041,250,27.35,16.42,19.48,38.84,48.98
211100,19-2042,5810,61.33,30.17,43.15,77.62,#
211100,19-3021,220,29.54,13.75,17.68,45.49,60.49
211100,19-4031,**,18.59,13.67,15.23,23.06,27.67
211100,19-4041,4900,29.65,17.63,22.79,37.61,47.09
211100,19-4091,60,23.91,15.46,18.22,29.46,36.23
211100,23-0000,1580,31.36,14.92,20.76,58.58,#
211100,23-1011,470,69.26,31.84,46.43,#,#
211100,23-2011,90,27.73,18.55,23.21,31.81,38.09
211100,23-2093,990,24.77,13.76,17.79,35.74,59.41
211100,27-0000,180,29.32,15.78,20.73,39.45,54.32
211100,27-1024,70,24.25,14.16,17.54,32.76,38.85
211100,27-3031,80,36.56,21.06,27.31,51.29,68.78
211100,29-0000,610,32.06,20.99,26.10,39.18,48.79
211100,29-9011,480,32.79,22.21,26.92,39.91,49.39
211100,29-9012,90,29.17,10.32,21.05,36.58,47.39
211100,33-0000,50,24.05,10.91,16.60,31.18,36.32
211100,37-0000,240,8.05,6.44,7.04,10.12,14.02
211100,37-2011,210,7.78,6.39,6.94,9.94,13.38
211100,39-0000,90,16.61,6.79,7.94,24.86,31.92
211100,39-9031,60,16.10,6.67,7.67,25.10,31.11
211100,41-0000,2790,28.70,11.09,16.95,45.56,64.27
211100,41-1012,40,32.55,21.07,26.59,58.51,#
211100,41-3099,**,27.62,8.49,14.86,34.80,39.86
211100,41-4011,300,37.57,24.45,28.11,47.10,58.80
211100,41-4012,250,28.36,6.83,13.40,50.47,63.21
