sic,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
710,0,4250,9.77,,,,
710,10000,310,17.9,,,,
710,19005,250,19.22,,,,
710,20000,80,12.82,,,,
710,21999,30,10.84,,,,
710,24300,30,14.93,,,,
710,40000,60,14.76,,,,
710,50000,500,8.67,,,,
710,51002,80,10.66,,,,
710,55108,130,8.86,,,,
710,55338,120,8.46,,,,
710,55347,120,6.95,,,,
710,58000,30,10.02,,,,
710,70000,1530,9.21,,,,
710,72002,170,16.15,,,,
710,79021,680,9.65,,,,
710,79036,210,9.5,,,,
710,79041,90,7.15,,,,
710,79856,300,7.64,,,,
710,79999,80,7.05,,,,
710,80000,1750,9.63,,,,
710,81000,100,15.68,,,,
710,81008,50,15.01,,,,
710,81099,30,12.89,,,,
710,85000,140,10.62,,,,
710,85321,80,10.23,,,,
710,92900,40,11.1,,,,
710,97100,1060,9.8,,,,
710,97102,830,10.46,,,,
710,97105,230,8.51,,,,
710,97899,30,22.19,,,,
710,97900,210,7.83,,,,
710,97947,160,7.46,,,,
710,97989,50,10.44,,,,
710,98000,140,7.63,,,,
710,98999,140,7.63,,,,
720,0,130710,6.58,,,,
720,10000,4840,20,,,,
720,13002,140,20.36,,,,
720,13005,360,13.39,,,,
720,13011,650,22.64,,,,
720,19005,3480,20.51,,,,
720,19999,130,18.26,,,,
720,20000,1300,16.28,,,,
720,21100,410,17.39,,,,
720,21114,400,17.28,,,,
720,21305,40,18.11,,,,
720,21511,100,12.47,,,,
720,21999,50,8.43,,,,
720,22100,70,22.37,,,,
720,22128,40,22.57,,,,
720,22399,40,21.77,,,,
720,24300,290,21,,,,
720,24305,240,20.24,,,,
720,24308,50,23.14,,,,
720,24500,110,11.5,,,,
720,24502,50,11.19,,,,
720,24599,60,11.87,,,,
720,25100,60,19.07,,,,
720,25104,30,15.16,,,,
720,25199,30,22.45,,,,
720,31323,30,13.95,,,,
720,39999,80,14.52,,,,
720,40000,490,15.61,,,,
720,41002,50,23.31,,,,
720,43000,60,21.72,,,,
720,43017,60,21.72,,,,
720,49005,50,16.8,,,,
720,49008,210,16.1,,,,
720,49011,30,7.21,,,,
720,49026,30,25.5,,,,
720,49999,60,10.47,,,,
720,50000,10730,8.57,,,,
720,51002,1480,12.56,,,,
720,55108,1140,8.53,,,,
720,55305,350,6.63,,,,
720,55307,30,9.23,,,,
720,55323,320,11.03,,,,
720,55338,2060,9.85,,,,
720,55341,40,10.55,,,,
720,55344,40,9.77,,,,
720,55347,2460,7.46,,,,
720,56000,230,7.05,,,,
720,56017,220,6.97,,,,
720,58000,2460,8.06,,,,
720,58017,200,6.17,,,,
720,58023,80,6.91,,,,
720,58028,2150,8.39,,,,
720,59999,100,7.92,,,,
720,60000,1670,6.62,,,,
720,63047,250,7.37,,,,
720,67005,1330,6.39,,,,
720,67099,70,7.05,,,,
720,70000,69260,5.93,,,,
720,72002,3070,13.23,,,,
720,79011,24500,5.71,,,,
720,79021,13120,6.96,,,,
720,79033,80,7.18,,,,
720,79036,500,7.04,,,,
720,79041,540,7.8,,,,
720,79856,25100,5.78,,,,
