naics,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
113300,00-0000,48780,19.73,11.84,15.46,24.89,30.98
113300,11-0000,760,40.53,16.28,26.15,56.81,76.83
113300,11-1000,540,35.89,15.33,21.43,51.68,72.67
113300,11-1020,520,35.22,15.22,20.68,50.71,71.49
113300,11-1021,520,35.22,15.22,20.68,50.71,71.49
113300,11-3000,100,45.09,28.99,37.08,57.19,72.51
113300,11-3050,60,42.78,27.05,34.7,47.71,60.17
113300,11-3051,60,42.78,27.05,34.7,47.71,60.17
113300,11-9000,110,52.85,22.71,42.41,74.79,99.32
113300,11-9190,100,52.13,23.34,42.44,76.23,#
113300,11-9199,100,52.13,23.34,42.44,76.23,#
113300,13-0000,260,26.62,14.26,19.94,33.25,49.94
113300,13-1000,220,25.8,12.78,18.68,30.8,51.55
113300,13-1020,140,26.41,17.32,21.88,29.81,43.71
113300,13-1020,140,26.41,17.32,21.88,29.81,43.71
113300,13-1190,60,*,*,*,*,*
113300,13-1199,60,*,*,*,*,*
113300,13-2000,40,30.1,22.94,26.19,39.45,46.52
113300,13-2010,40,30.1,22.94,26.19,39.45,46.52
113300,13-2011,40,30.1,22.94,26.19,39.45,46.52
113300,17-0000,**,36.24,22.87,29.65,41.84,46.42
113300,17-1000,**,31.76,15.05,25.74,43.02,46.61
113300,17-1020,**,31.76,15.05,25.74,43.02,46.61
113300,19-0000,700,30.79,20.32,24.91,38,46.11
113300,19-1000,670,31.01,20.33,24.98,38.2,46.4
113300,19-1030,660,31.01,20.29,24.89,38.14,46.31
113300,19-1032,660,31.01,20.29,24.89,38.14,46.31
113300,33-0000,120,10.83,10.21,10.22,13.01,27.24
113300,33-9000,110,10.7,10.21,10.22,12.26,27.44
113300,33-9030,100,10.3,10.21,10.22,11.44,12.72
113300,33-9032,100,10.3,10.21,10.22,11.44,12.72
113300,37-0000,200,14.15,9.71,11.56,17.29,20.05
113300,37-2000,100,12.66,8.72,10,16.48,18.35
113300,37-2010,100,12.66,8.72,10,16.48,18.35
113300,37-2011,100,12.66,8.72,10,16.48,18.35
113300,37-3000,100,14.82,11.38,12.94,18.66,23.91
113300,37-3010,100,14.82,11.38,12.94,18.66,23.91
113300,37-3013,**,14.78,11.31,12.98,18.48,23.6
113300,41-0000,70,23.91,9.05,13.86,33.18,47.9
113300,41-4000,40,25.99,9.32,14.16,31.89,40.5
113300,41-4010,40,25.99,9.32,14.16,31.89,40.5
113300,41-4012,40,25.99,9.32,14.16,31.89,40.5
113300,43-0000,3870,14.71,9.1,11.08,19.86,26.59
113300,43-1000,120,25.72,16.48,20.75,30.76,36.71
113300,43-1010,120,25.72,16.48,20.75,30.76,36.71
113300,43-1011,120,25.72,16.48,20.75,30.76,36.71
113300,43-3000,680,18.3,10.01,13.23,23.45,27.81
113300,43-3030,590,19.11,11.39,14.48,23.79,28.1
113300,43-3031,590,19.11,11.39,14.48,23.79,28.1
113300,43-5000,70,22.77,13.52,17.95,28.35,33.49
113300,43-5030,**,25.33,9.58,21.47,31.63,36.39
113300,43-5032,**,25.33,9.58,21.47,31.63,36.39
113300,43-6000,1300,14.5,9.21,11.4,19.04,24.87
113300,43-6010,1300,14.5,9.21,11.4,19.04,24.87
113300,43-6014,1280,14.41,9.18,11.35,18.82,24.29
113300,43-9000,1690,13.12,8.59,10.2,17.34,23.81
113300,43-9060,1690,13.11,8.59,10.2,17.33,23.81
113300,43-9061,1690,13.11,8.59,10.2,17.33,23.81
113300,45-0000,29580,20.67,12.77,16.33,25.55,31.07
113300,45-1000,2300,28.43,16.77,21.28,36.84,46.92
113300,45-1010,2300,28.43,16.77,21.28,36.84,46.92
113300,45-1011,2300,28.43,16.77,21.28,36.84,46.92
113300,45-2000,**,14.81,9.72,11.01,23.63,28.79
113300,45-2090,**,14.81,9.72,11.01,23.63,28.79
113300,45-2092,**,9.45,8.56,8.9,16.1,18.48
113300,45-2099,**,19.8,10.44,11.48,24.96,29.86
113300,45-4000,27020,20.3,12.65,16.14,24.71,29.95
113300,45-4020,**,20.31,12.66,16.15,24.72,29.96
113300,45-4021,3310,22.82,12.71,18.18,31.24,38.89
113300,45-4022,20860,19.92,12.65,15.94,24.31,29.09
113300,45-4023,180,18.46,13.24,16.15,22.12,25.19
113300,45-4029,**,20.42,12.61,16.47,24.33,29.02
113300,47-0000,300,22.38,15.73,19.27,26.22,32.55
113300,47-2000,280,21.98,15.57,18.68,24.8,29.44
113300,47-2060,40,21.43,15.7,17.71,24.42,28.68
113300,47-2061,40,21.43,15.7,17.71,24.42,28.68
113300,47-2070,230,21.92,15.45,18.82,24.58,29.4
113300,47-2073,230,21.92,15.45,18.82,24.58,29.4
113300,49-0000,2000,19.61,12.65,15.96,24.2,29.42
113300,49-1000,40,30.92,20.98,23.28,38.67,53.12
