area,state,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,1912220,12.49,6.60,8.56,19.52,29.02
1,Alabama,11-0000,77880,33.80,16.88,23.84,47.75,#
1,Alabama,11-1011,2700,68.35,29.63,43.95,#,#
1,Alabama,11-1021,28780,36.03,18.46,24.76,54.41,#
1,Alabama,11-1031,2010,*,*,*,*,*
1,Alabama,11-2011,250,25.55,13.98,18.21,37.59,54.48
1,Alabama,11-2021,1160,36.77,21.68,29.06,50.38,66.97
1,Alabama,11-2022,2980,38.28,17.99,26.00,51.36,69.88
1,Alabama,11-2031,460,32.10,18.47,24.61,42.33,57.13
1,Alabama,11-3011,1510,28.06,16.09,20.97,37.33,45.00
1,Alabama,11-3021,2240,42.41,27.12,33.83,52.86,64.27
1,Alabama,11-3031,5120,36.45,22.02,27.74,47.36,63.41
1,Alabama,11-3041,350,32.11,20.84,25.40,40.27,53.79
1,Alabama,11-3042,200,29.35,18.52,21.76,35.58,44.80
1,Alabama,11-3049,750,35.23,22.87,28.24,44.45,59.30
1,Alabama,11-3051,2470,32.48,19.39,24.82,41.56,51.37
1,Alabama,11-3061,880,38.36,21.59,29.75,47.42,57.63
1,Alabama,11-3071,1000,30.69,16.73,21.89,40.67,48.62
1,Alabama,11-9011,30,21.77,14.71,16.50,33.13,37.01
1,Alabama,11-9021,3860,28.47,18.60,21.87,37.89,54.87
1,Alabama,11-9031,460,17.43,11.98,13.13,30.04,35.98
1,Alabama,11-9032,2800,*,*,*,*,*
1,Alabama,11-9033,2510,31.31,18.52,23.50,42.65,55.50
1,Alabama,11-9039,660,30.98,13.72,23.15,37.01,46.64
1,Alabama,11-9041,2680,45.07,28.79,35.11,57.40,67.68
1,Alabama,11-9051,2150,18.31,12.17,14.64,24.86,31.42
1,Alabama,11-9061,490,18.09,12.44,14.18,25.34,36.48
1,Alabama,11-9081,510,16.23,10.05,11.60,22.14,28.84
1,Alabama,11-9111,2650,33.91,22.20,27.05,45.15,60.25
1,Alabama,11-9121,170,46.29,32.42,37.03,57.09,#
1,Alabama,11-9131,530,27.28,19.78,23.50,30.59,36.00
1,Alabama,11-9141,1040,26.98,15.64,19.48,37.30,49.68
1,Alabama,11-9151,930,21.40,13.63,16.71,28.99,36.78
1,Alabama,11-9199,3560,38.93,20.94,28.26,48.39,60.45
1,Alabama,13-0000,61520,24.44,13.39,17.85,33.21,43.27
1,Alabama,13-1021,130,23.07,15.05,17.91,30.54,55.68
1,Alabama,13-1022,1280,18.34,11.59,14.38,23.72,30.42
1,Alabama,13-1023,4790,24.30,13.87,17.98,32.60,41.45
1,Alabama,13-1031,2760,25.75,14.59,17.68,32.39,37.92
1,Alabama,13-1032,100,23.16,10.83,19.01,29.73,34.22
1,Alabama,13-1041,1860,21.80,13.31,16.44,27.75,33.97
1,Alabama,13-1051,2340,21.83,13.08,17.18,28.81,36.52
1,Alabama,13-1061,380,17.21,12.69,14.88,21.97,29.71
1,Alabama,13-1071,1320,16.62,10.60,12.57,23.48,34.64
1,Alabama,13-1072,790,20.53,13.72,16.95,24.74,29.96
1,Alabama,13-1073,2010,19.96,11.91,15.13,26.27,34.00
1,Alabama,13-1079,2770,21.75,6.49,15.88,29.43,38.13
1,Alabama,13-1081,1870,34.65,21.64,27.76,41.25,47.99
1,Alabama,13-1111,5250,31.80,18.28,23.92,41.55,68.37
1,Alabama,13-1121,200,15.76,10.47,12.69,20.89,26.09
1,Alabama,13-1199,8090,28.54,14.70,21.25,36.74,47.20
1,Alabama,13-2011,12770,23.32,14.71,18.36,29.98,39.46
1,Alabama,13-2021,920,20.53,12.17,14.85,29.54,35.20
1,Alabama,13-2031,810,28.67,19.55,23.33,35.63,41.51
1,Alabama,13-2041,530,22.02,14.73,16.95,33.54,42.24
1,Alabama,13-2051,1140,28.70,17.85,22.46,35.02,48.88
1,Alabama,13-2052,1240,34.94,16.78,24.40,62.30,#
1,Alabama,13-2053,870,20.91,13.01,17.84,26.86,40.66
1,Alabama,13-2061,290,25.02,13.98,17.12,38.39,48.72
1,Alabama,13-2071,770,14.78,11.61,12.79,18.40,29.98
1,Alabama,13-2072,3880,26.52,14.36,18.55,35.92,48.27
1,Alabama,13-2081,610,19.47,9.63,12.70,28.72,36.27
1,Alabama,13-2082,840,10.59,7.11,8.44,14.44,18.87
1,Alabama,13-2099,890,24.31,8.14,15.84,30.04,38.95
1,Alabama,15-0000,33590,28.84,15.36,20.58,37.73,46.00
1,Alabama,15-1011,470,43.43,30.27,37.31,51.28,58.06
1,Alabama,15-1021,4700,28.24,16.25,20.63,36.14,44.05
1,Alabama,15-1031,3440,34.32,19.82,25.90,42.51,49.32
1,Alabama,15-1032,3230,38.40,23.87,30.24,46.13,54.81
1,Alabama,15-1041,5020,16.75,9.95,12.61,21.50,26.91
1,Alabama,15-1051,7090,30.82,18.99,24.09,37.81,45.07
1,Alabama,15-1061,850,26.99,15.79,19.74,34.73,43.23
1,Alabama,15-1071,3670,26.17,16.81,20.72,33.08,40.94
1,Alabama,15-1081,1930,28.67,16.72,21.29,35.80,42.73
1,Alabama,15-1099,2320,34.06,18.26,26.45,40.82,49.42
1,Alabama,15-2011,50,23.12,18.30,20.38,38.45,55.32
1,Alabama,15-2021,40,44.28,38.08,41.14,47.68,50.22
1,Alabama,15-2031,620,35.82,16.30,21.58,44.98,53.26
1,Alabama,15-2041,150,26.27,16.63,19.68,32.53,37.53
1,Alabama,17-0000,40360,29.49,14.12,20.28,41.08,50.07
1,Alabama,17-1011,1020,32.04,20.21,24.09,40.27,45.64
1,Alabama,17-1012,100,30.87,13.73,25.12,36.45,40.11
1,Alabama,17-1021,300,18.97,14.40,16.59,22.11,28.41
1,Alabama,17-1022,960,17.17,10.45,13.22,21.55,27.10
1,Alabama,17-2011,3640,43.71,31.08,37.88,50.58,56.95
1,Alabama,17-2021,30,20.53,13.79,15.69,35.97,42.78
1,Alabama,17-2031,80,30.03,15.84,19.78,41.68,49.84
1,Alabama,17-2041,690,38.05,25.07,30.67,46.38,55.18
1,Alabama,17-2051,3030,30.17,18.68,22.87,38.06,45.97
