area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,00-0000,2004000,18.5,10.38,13.48,28.94,43.25
1,Alabama,11-0000,104280,46.12,22.92,31.83,63.53,86.89
1,Alabama,11-1011,710,65.83,24.48,52.15,90.64,#
1,Alabama,11-1021,36550,47.17,21.41,31.39,71.64,105.19
1,Alabama,11-1031,930,*,*,*,*,*
1,Alabama,11-2011,70,47.57,37.87,39.42,62.48,79.09
1,Alabama,11-2021,1430,55.25,31.23,39.67,79.89,105.71
1,Alabama,11-2022,3500,51.92,29.24,37.94,76.66,100.76
1,Alabama,11-2032,440,39.42,22.49,31.59,56.63,73.64
1,Alabama,11-2033,160,37.32,22.85,28.96,44.76,59.1
1,Alabama,11-3012,480,46.27,33.21,38.39,62.02,93.88
1,Alabama,11-3013,700,52.11,32.14,42.74,68.08,84.44
1,Alabama,11-3021,5150,61.13,35.07,46.67,79.21,95.46
1,Alabama,11-3031,5490,61.16,37.48,47.63,79.15,105.3
1,Alabama,11-3051,2710,51.36,31.79,40.07,67.97,84.56
1,Alabama,11-3061,1250,56.75,33.77,42.08,65.83,82.04
1,Alabama,11-3071,1010,47.96,29.63,38.4,62.97,78.85
1,Alabama,11-3111,100,49.55,35.82,40.38,65.15,80.05
1,Alabama,11-3121,1980,47.88,27.13,36.83,61.73,78.73
1,Alabama,11-3131,130,46.99,23.57,35.7,58.86,73.57
1,Alabama,11-9021,6460,45.42,28.79,35.12,58.58,77.09
1,Alabama,11-9031,530,20.69,14.29,17.24,23.32,38.41
1,Alabama,11-9032,3570,*,*,*,*,*
1,Alabama,11-9033,3160,45.77,29.05,37.08,63.11,103.29
1,Alabama,11-9039,2220,40.28,22.46,30.49,48.68,57.13
1,Alabama,11-9041,2740,66.37,42.62,56.11,80.98,101.65
1,Alabama,11-9051,3930,28.2,17.8,22.58,36.49,43.5
1,Alabama,11-9081,370,27.18,16.74,19.7,36.2,45.48
1,Alabama,11-9111,8480,39.5,28.21,33.38,49.92,66.72
1,Alabama,11-9121,220,54.73,38.02,44.5,73.57,#
1,Alabama,11-9131,270,40.2,36.21,37.53,44.06,48.31
1,Alabama,11-9141,3000,23.87,17.7,21.22,30.97,41.3
1,Alabama,11-9151,2250,28.6,17.62,22.9,37.91,47
1,Alabama,11-9161,210,28.69,17.78,22.12,38.91,49.12
1,Alabama,11-9171,280,30.77,24.77,28.64,45.53,80.42
1,Alabama,11-9199,3750,47.83,22.98,30.94,63.48,82.41
1,Alabama,13-0000,95760,31.57,18.73,23.85,45.02,59.57
1,Alabama,13-1020,8560,30.45,18.04,23.1,41.37,52.88
1,Alabama,13-1031,3820,36.26,21.7,25.76,40.19,47.14
1,Alabama,13-1032,40,32.33,21.32,24.46,39.02,45.2
1,Alabama,13-1041,2720,31.96,18.21,23.99,43.47,52.88
1,Alabama,13-1051,2300,28.97,17.18,22.1,37.32,48.72
1,Alabama,13-1071,9070,28.01,17.69,22.24,36.81,46.9
1,Alabama,13-1075,580,21.42,8.55,8.82,35.99,63.71
1,Alabama,13-1081,5190,43.5,24.06,32.05,52.78,61.46
1,Alabama,13-1082,900,47.51,24.85,32.9,60.19,79.22
1,Alabama,13-1111,5400,44.5,24.3,33.32,58.37,79.37
1,Alabama,13-1121,790,24.02,13.96,19.11,28.57,38.27
1,Alabama,13-1131,890,24.31,16.73,19.04,30.84,38.35
