naics,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
113000,00-0000,56740,15.48,10.01,12.40,19.29,24.62
113000,11-0000,990,33.64,19.77,26.62,54.38,#
113000,11-1011,40,76.87,30.78,55.26,#,#
113000,11-1021,870,32.78,19.28,26.30,51.99,#
113000,11-9011,40,30.27,21.33,23.80,37.42,53.84
113000,13-0000,320,24.10,16.00,21.19,29.69,41.46
113000,13-1023,160,23.50,11.48,20.68,26.34,34.19
113000,13-1199,**,22.99,20.03,21.13,24.85,40.83
113000,13-2011,60,29.97,19.86,25.56,36.17,46.99
113000,19-0000,690,25.60,16.15,20.20,35.48,41.81
113000,19-1032,560,28.27,16.52,21.39,37.18,43.52
113000,19-4093,130,20.95,14.34,17.66,24.95,29.70
113000,33-0000,110,9.92,7.95,7.95,12.05,14.03
113000,33-9032,110,9.66,7.95,7.95,11.98,13.80
113000,37-0000,90,8.60,6.50,7.26,10.02,12.70
113000,37-2011,70,7.94,6.37,6.97,9.56,11.58
113000,41-0000,30,23.45,13.07,18.46,38.73,49.81
113000,43-0000,4260,11.77,7.30,8.86,15.37,20.40
113000,43-1011,140,18.24,13.02,14.42,25.22,30.14
113000,43-3031,1090,13.91,8.89,11.22,17.75,22.64
113000,43-3051,250,11.67,8.12,9.09,16.44,19.01
113000,43-4071,40,10.99,6.86,8.12,12.74,15.90
113000,43-4171,40,8.80,7.50,8.01,9.69,11.55
113000,43-6011,150,21.13,9.11,14.18,25.09,29.18
113000,43-6014,1070,11.31,7.55,9.19,13.97,17.50
113000,43-9061,1340,9.53,6.81,7.53,12.95,16.79
113000,45-0000,35950,15.71,10.42,12.68,19.28,24.24
113000,45-1011,2670,23.64,13.83,18.04,30.64,37.42
113000,45-2099,230,15.48,9.03,12.00,18.29,19.99
113000,45-4011,70,16.07,7.83,11.65,18.12,19.36
113000,45-4021,6050,14.63,9.59,11.46,18.69,25.72
113000,45-4022,22020,15.38,10.61,12.64,18.72,22.33
113000,45-4023,530,17.36,9.61,12.76,21.20,29.22
113000,45-4029,4350,16.06,9.14,13.40,18.85,21.67
113000,47-0000,550,14.73,10.33,11.75,20.02,24.41
113000,47-2073,510,14.43,10.26,11.59,19.46,23.89
113000,49-0000,1900,16.40,10.80,13.51,19.90,26.29
113000,49-1011,50,24.26,16.55,19.56,29.95,37.64
113000,49-3011,40,28.77,20.40,26.13,31.41,47.23
113000,49-3031,270,16.04,10.80,13.23,21.02,27.10
113000,49-3042,910,16.77,12.50,14.24,19.58,26.13
113000,49-9041,70,19.01,12.34,15.92,23.19,25.69
113000,49-9042,270,14.39,9.79,11.59,17.82,20.91
113000,49-9043,80,14.20,7.42,10.59,17.17,19.00
113000,49-9096,120,18.29,14.19,16.06,22.76,31.58
113000,49-9098,80,9.82,8.11,8.74,13.76,15.48
113000,51-0000,1490,16.55,10.40,12.64,20.55,24.01
113000,51-1011,50,19.89,13.48,15.23,24.37,36.95
113000,51-7041,1280,16.36,10.37,12.53,20.82,24.03
113000,51-7042,50,16.95,10.96,13.53,18.73,19.81
113000,51-9198,40,13.96,8.53,9.65,18.22,19.72
113000,53-0000,10330,15.28,10.34,12.78,18.63,22.60
113000,53-1031,100,21.56,15.00,17.45,28.56,34.91
113000,53-2012,60,*,*,*,*,*
113000,53-3032,8300,15.48,10.94,13.12,18.74,22.57
113000,53-3033,260,12.54,8.21,9.70,16.53,18.81
113000,53-7021,110,18.34,9.43,12.25,24.18,29.53
113000,53-7032,160,15.94,12.76,13.93,19.08,22.89
113000,53-7041,210,17.87,13.83,16.40,19.38,21.43
113000,53-7051,390,14.66,9.23,11.54,18.11,21.97
113000,53-7062,660,11.07,7.42,8.78,13.70,15.50
115000,00-0000,331850,8.94,7.69,8.03,10.94,15.86
115000,11-0000,5580,33.38,16.68,23.43,49.00,72.44
115000,11-1011,220,71.87,41.93,53.05,#,#
115000,11-1021,2290,37.67,18.48,26.12,55.70,#
115000,11-2021,40,45.63,29.36,35.22,63.91,78.64
115000,11-2022,150,58.41,30.10,41.07,76.53,#
115000,11-3011,40,31.06,20.94,27.24,49.80,58.54
115000,11-3031,220,41.97,26.30,32.87,50.97,77.70
115000,11-3051,210,31.31,20.07,24.92,40.66,50.45
115000,11-3071,240,30.14,21.55,26.34,36.81,47.42
115000,11-9011,1840,25.40,14.57,19.35,35.47,48.27
115000,11-9012,**,39.13,8.90,13.29,46.41,50.76
115000,11-9199,60,38.79,25.45,30.58,53.68,63.87
115000,13-0000,1140,25.61,16.46,20.39,32.92,40.26
115000,13-1021,100,26.78,13.47,19.06,33.46,56.00
115000,13-1079,40,27.87,17.91,22.54,32.62,37.15
115000,13-1081,**,25.41,17.95,21.18,29.74,32.57
115000,13-1199,230,23.01,13.52,18.91,30.92,44.13
115000,13-2011,640,26.50,17.67,21.23,33.31,39.53
115000,15-0000,230,28.15,15.70,21.24,37.43,44.37
115000,15-1051,30,28.48,21.11,23.28,38.45,45.86
115000,15-1061,100,25.12,14.38,20.68,33.13,39.67
115000,17-0000,100,26.93,17.13,18.86,37.16,40.90
115000,17-2021,80,28.25,17.34,18.98,37.13,40.83
115000,19-0000,1850,15.51,10.12,11.99,23.38,33.04
115000,19-1011,170,21.86,12.59,14.50,41.07,50.19
115000,19-1012,110,23.92,10.45,16.04,32.79,45.87
115000,19-1013,260,26.39,13.75,19.63,32.11,43.85
115000,19-4011,1030,13.63,9.78,11.15,17.36,22.13
115000,19-4099,130,*,*,*,*,*
115000,25-0000,190,23.23,12.89,16.78,37.18,#
115000,25-3021,80,17.05,10.67,13.32,22.04,24.31
115000,25-9021,110,*,*,*,*,*
115000,27-0000,100,15.73,10.09,11.90,20.46,28.21
115000,27-2022,50,*,*,*,*,*
115000,29-0000,130,30.14,13.69,17.00,39.54,53.68
115000,29-1131,60,37.24,24.90,31.54,51.37,59.85
115000,29-2056,30,14.99,12.94,13.71,16.97,18.88
115000,33-0000,270,10.77,7.85,8.80,14.19,17.56
115000,33-9032,270,10.77,7.85,8.80,14.19,17.56
115000,37-0000,3900,11.02,8.00,8.92,14.85,19.44
115000,37-1012,190,20.25,11.96,14.73,24.56,29.41
115000,37-2011,1140,9.11,7.18,8.05,11.03,14.18
115000,37-2012,90,10.12,7.54,8.48,13.89,15.88
115000,37-2021,**,11.08,7.00,10.05,12.11,17.97
115000,37-3011,830,10.03,8.03,8.61,13.74,18.17
115000,37-3012,1530,12.52,9.01,10.49,16.54,20.26
115000,39-0000,5320,11.37,7.66,8.91,14.85,20.09
115000,39-1021,120,15.97,11.07,13.47,20.22,29.17
115000,39-2011,2060,14.51,8.46,11.55,18.88,27.24
115000,39-2021,3140,9.91,7.43,8.30,11.88,14.66
115000,41-0000,2440,23.98,8.67,14.91,35.07,47.34
115000,41-1012,80,32.06,21.44,25.80,42.99,57.21
115000,41-2011,30,7.53,6.46,6.86,9.54,12.92
115000,41-2031,90,9.73,6.94,7.82,13.44,15.84
115000,41-3099,930,19.17,7.51,10.29,32.53,48.56
115000,41-4011,60,24.88,20.26,22.05,34.79,38.53
115000,41-4012,1170,28.15,15.01,20.85,37.49,47.62
115000,41-9099,60,20.20,8.81,14.26,24.08,30.75
115000,43-0000,15950,12.39,7.82,9.24,16.18,20.60
115000,43-1011,1050,21.05,13.47,16.53,28.39,35.33
115000,43-3021,40,14.44,11.35,13.15,15.76,17.89
115000,43-3031,3330,13.84,8.65,10.68,17.89,22.16
115000,43-3051,720,13.85,8.76,10.89,16.33,19.23
115000,43-4051,340,14.59,8.86,10.90,18.31,21.86
115000,43-4071,180,9.24,6.79,8.00,12.28,15.96
115000,43-4151,120,14.77,8.87,10.73,17.43,19.16
115000,43-4161,110,14.74,8.90,10.76,19.35,27.15
115000,43-4171,430,10.87,7.27,8.32,13.48,15.81
115000,43-4199,**,13.47,8.51,10.52,17.31,22.36
115000,43-5021,**,8.75,7.63,7.98,9.52,12.37
115000,43-5032,**,17.15,9.21,14.73,18.89,22.56
115000,43-5061,30,18.25,11.32,14.41,22.03,25.01
115000,43-5071,1460,11.19,7.28,8.64,14.60,17.91
115000,43-5081,150,12.52,8.33,9.22,14.27,15.32
115000,43-5111,1240,9.29,7.87,8.42,11.34,15.13
115000,43-6011,650,17.96,12.79,15.11,21.00,25.53
115000,43-6014,2080,11.99,8.00,9.29,14.82,17.85
115000,43-9011,60,13.77,8.89,10.87,19.75,23.93
115000,43-9021,180,12.29,7.52,9.12,15.64,19.15
115000,43-9051,**,13.38,10.01,12.04,14.57,15.29
115000,43-9061,3410,10.32,7.19,8.14,13.53,16.20
115000,45-0000,239100,8.69,7.75,8.06,9.68,12.61
115000,45-1011,8230,15.38,9.66,11.72,21.19,27.93
115000,45-1012,**,16.52,9.71,12.31,22.62,26.50
115000,45-2011,700,16.45,9.18,11.05,23.72,26.23
115000,45-2021,1610,13.42,8.36,9.69,20.16,28.56
115000,45-2041,12700,8.30,6.99,7.56,9.42,11.30
115000,45-2091,15040,10.08,7.42,8.51,12.86,15.99
115000,45-2092,186030,8.51,7.95,8.05,9.35,10.60
115000,45-2093,12590,10.04,7.50,8.45,12.68,15.54
115000,45-2099,1150,9.22,8.01,8.23,11.22,14.72
115000,47-0000,170,13.25,8.54,9.71,15.98,21.46
115000,47-2073,**,11.26,8.60,9.35,14.46,16.45
115000,49-0000,5110,13.30,8.23,9.86,17.77,23.56
115000,49-1011,270,24.08,13.94,17.96,30.70,38.87
115000,49-3011,110,14.97,9.73,11.35,22.10,27.51
115000,49-3031,210,15.20,9.59,12.61,19.18,23.68
115000,49-3041,1490,13.10,8.34,9.79,16.65,20.23
115000,49-9041,110,13.92,9.94,11.22,19.13,24.44
115000,49-9042,2250,12.73,8.05,9.62,17.19,22.60
115000,49-9043,460,12.66,8.25,9.44,14.87,18.98
115000,49-9098,100,8.47,6.86,7.46,10.47,14.15
115000,49-9099,80,17.62,7.87,9.29,34.39,38.70
115000,51-0000,10750,9.35,7.61,8.19,11.77,16.46
