year,month,       value,state_code
2018,1,4.7,01
2018,2,4.3,01
2018,3,4.2,01
2018,4,4.2,01
2018,5,4.1,01
2018,6,4.2,01
2018,7,3.8,01
2018,8,3.7,01
2018,9,3.7,01
2018,10,3.7,01
2018,11,3.6,01
2018,12,3.7,01
2018,1,4.6,02
2018,2,6.1,02
2018,3,5.8,02
2018,4,5.5,02
2018,5,5.8,02
2018,6,6.1,02
2018,7,5.2,02
2018,8,6.1,02
2018,9,5.8,02
2018,10,5.8,02
2018,11,6.1,02
2018,12,6.4,02
2018,1,4.6,04
2018,2,4.5,04
2018,3,4.1,04
2018,4,4.0,04
2018,5,4.7,04
2018,6,4.8,04
2018,7,4.7,04
2018,8,4.6,04
2018,9,3.5,04
2018,10,4.8,04
2018,11,4.9,04
2018,12,5.1,04
2018,1,3.8,05
2018,2,4.1,05
2018,3,4.1,05
2018,4,4.0,05
2018,5,4.6,05
2018,6,4.6,05
2018,7,4.5,05
2018,8,4.6,05
2018,9,4.2,05
2018,10,4.2,05
2018,11,4.6,05
2018,12,4.2,05
2018,1,3.1,06
2018,2,3.3,06
2018,3,3.6,06
2018,4,3.4,06
2018,5,3.3,06
2018,6,3.2,06
2018,7,3.2,06
2018,8,3.4,06
2018,9,3.2,06
2018,10,3.6,06
2018,11,3.4,06
2018,12,3.2,06
2018,1,4.3,08
2018,2,4.5,08
2018,3,4.8,08
2018,4,4.0,08
2018,5,4.7,08
2018,6,4.1,08
2018,7,4.3,08
2018,8,4.5,08
2018,9,4.0,08
2018,10,3.5,08
2018,11,4.1,08
2018,12,3.7,08
2018,1,2.9,09
2018,2,2.7,09
2018,3,2.6,09
2018,4,2.8,09
2018,5,3.2,09
2018,6,3.0,09
2018,7,3.1,09
2018,8,3.0,09
2018,9,2.8,09
2018,10,3.1,09
2018,11,3.2,09
2018,12,3.3,09
2018,1,4.4,10
2018,2,4.8,10
2018,3,4.6,10
2018,4,4.6,10
2018,5,4.8,10
2018,6,4.5,10
2018,7,3.9,10
2018,8,4.3,10
2018,9,4.5,10
2018,10,4.5,10
2018,11,4.3,10
2018,12,4.7,10
2018,1,2.8,11
2018,2,2.9,11
2018,3,3.2,11
2018,4,2.9,11
2018,5,2.8,11
2018,6,3.8,11
2018,7,2.1,11
2018,8,2.5,11
2018,9,3.3,11
2018,10,3.0,11
2018,11,2.8,11
2018,12,2.6,11
2018,1,3.3,12
2018,2,3.0,12
2018,3,3.2,12
2018,4,3.3,12
2018,5,3.5,12
2018,6,3.3,12
2018,7,3.2,12
2018,8,3.6,12
2018,9,3.4,12
2018,10,3.8,12
2018,11,3.7,12
2018,12,3.5,12
2018,1,4.2,13
2018,2,5.4,13
2018,3,5.0,13
2018,4,4.3,13
2018,5,4.2,13
2018,6,3.9,13
2018,7,4.0,13
2018,8,4.1,13
2018,9,4.4,13
2018,10,4.2,13
2018,11,4.6,13
2018,12,3.9,13
2018,1,3.0,15
2018,2,3.2,15
2018,3,3.5,15
2018,4,3.2,15
2018,5,3.8,15
2018,6,3.3,15
2018,7,3.0,15
2018,8,3.5,15
2018,9,3.0,15
2018,10,3.6,15
2018,11,3.6,15
2018,12,3.8,15
2018,1,4.3,16
2018,2,4.4,16
2018,3,4.0,16
2018,4,5.0,16
2018,5,4.8,16
2018,6,4.5,16
2018,7,4.5,16
2018,8,4.4,16
2018,9,4.3,16
2018,10,4.6,16
2018,11,4.3,16
2018,12,4.3,16
2018,1,3.4,17
2018,2,3.8,17
2018,3,4.3,17
2018,4,4.4,17
2018,5,4.1,17
2018,6,3.9,17
2018,7,3.3,17
2018,8,4.3,17
2018,9,4.0,17
2018,10,4.0,17
2018,11,4.0,17
2018,12,3.8,17
2018,1,4.0,18
2018,2,4.9,18
2018,3,4.6,18
2018,4,4.6,18
2018,5,4.5,18
2018,6,4.7,18
2018,7,4.7,18
2018,8,5.1,18
2018,9,4.7,18
2018,10,4.4,18
2018,11,4.2,18
2018,12,4.4,18
2018,1,3.4,19
2018,2,3.7,19
2018,3,3.4,19
2018,4,3.2,19
2018,5,3.6,19
2018,6,3.5,19
2018,7,3.5,19
2018,8,3.7,19
2018,9,3.8,19
2018,10,3.5,19
2018,11,3.4,19
2018,12,3.8,19
2018,1,3.9,20
2018,2,3.8,20
2018,3,3.8,20
2018,4,3.8,20
2018,5,4.2,20
2018,6,3.5,20
2018,7,3.6,20
2018,8,3.5,20
2018,9,3.8,20
2018,10,3.8,20
2018,11,3.7,20
2018,12,3.9,20
2018,1,4.4,21
2018,2,4.1,21
2018,3,4.2,21
2018,4,4.1,21
2018,5,4.3,21
2018,6,4.8,21
2018,7,3.8,21
2018,8,4.4,21
2018,9,4.0,21
2018,10,5.6,21
2018,11,4.3,21
2018,12,4.6,21
2018,1,4.1,22
2018,2,4.4,22
2018,3,4.9,22
2018,4,4.3,22
2018,5,4.1,22
2018,6,3.9,22
2018,7,4.2,22
2018,8,4.3,22
2018,9,4.2,22
2018,10,4.1,22
2018,11,4.1,22
2018,12,4.5,22
2018,1,4.1,23
2018,2,3.8,23
2018,3,3.7,23
2018,4,4.6,23
2018,5,4.0,23
2018,6,4.9,23
2018,7,4.3,23
2018,8,4.1,23
2018,9,4.0,23
2018,10,3.9,23
2018,11,3.9,23
2018,12,3.6,23
2018,1,3.3,24
