year,month,       value,state_code
2019,1,95.0,01
2019,2,87.0,01
2019,3,96.0,01
2019,4,100.0,01
2019,5,98.0,01
2019,6,98.0,01
2019,7,93.0,01
2019,8,92.0,01
2019,9,103.0,01
2019,10,105.0,01
2019,11,94.0,01
2019,12,82.0,01
2019,1,22.0,02
2019,2,24.0,02
2019,3,24.0,02
2019,4,23.0,02
2019,5,24.0,02
2019,6,23.0,02
2019,7,22.0,02
2019,8,23.0,02
2019,9,22.0,02
2019,10,24.0,02
2019,11,22.0,02
2019,12,22.0,02
2019,1,194.0,04
2019,2,167.0,04
2019,3,160.0,04
2019,4,161.0,04
2019,5,169.0,04
2019,6,146.0,04
2019,7,151.0,04
2019,8,146.0,04
2019,9,173.0,04
2019,10,136.0,04
2019,11,157.0,04
2019,12,148.0,04
2019,1,55.0,05
2019,2,59.0,05
2019,3,62.0,05
2019,4,62.0,05
2019,5,60.0,05
2019,6,60.0,05
2019,7,64.0,05
2019,8,66.0,05
2019,9,68.0,05
2019,10,71.0,05
2019,11,63.0,05
2019,12,60.0,05
2019,1,762.0,06
2019,2,752.0,06
2019,3,769.0,06
2019,4,765.0,06
2019,5,749.0,06
2019,6,812.0,06
2019,7,766.0,06
2019,8,745.0,06
2019,9,754.0,06
2019,10,801.0,06
2019,11,760.0,06
2019,12,771.0,06
2019,1,150.0,08
2019,2,144.0,08
2019,3,153.0,08
2019,4,153.0,08
2019,5,155.0,08
2019,6,150.0,08
2019,7,150.0,08
2019,8,149.0,08
2019,9,158.0,08
2019,10,134.0,08
2019,11,135.0,08
2019,12,129.0,08
2019,1,62.0,09
2019,2,63.0,09
2019,3,66.0,09
2019,4,62.0,09
2019,5,67.0,09
2019,6,63.0,09
2019,7,61.0,09
2019,8,65.0,09
2019,9,65.0,09
2019,10,79.0,09
2019,11,66.0,09
2019,12,67.0,09
2019,1,24.0,10
2019,2,22.0,10
2019,3,25.0,10
2019,4,23.0,10
2019,5,23.0,10
2019,6,22.0,10
2019,7,24.0,10
2019,8,22.0,10
2019,9,22.0,10
2019,10,25.0,10
2019,11,23.0,10
2019,12,20.0,10
2019,1,27.0,11
2019,2,32.0,11
2019,3,30.0,11
2019,4,30.0,11
2019,5,32.0,11
2019,6,29.0,11
2019,7,32.0,11
2019,8,32.0,11
2019,9,34.0,11
2019,10,38.0,11
2019,11,32.0,11
2019,12,29.0,11
2019,1,460.0,12
2019,2,368.0,12
2019,3,432.0,12
2019,4,401.0,12
2019,5,421.0,12
2019,6,384.0,12
2019,7,425.0,12
2019,8,433.0,12
2019,9,436.0,12
2019,10,426.0,12
2019,11,415.0,12
2019,12,428.0,12
2019,1,226.0,13
2019,2,228.0,13
2019,3,243.0,13
2019,4,236.0,13
2019,5,218.0,13
2019,6,217.0,13
2019,7,226.0,13
2019,8,222.0,13
2019,9,249.0,13
2019,10,248.0,13
2019,11,239.0,13
2019,12,238.0,13
2019,1,49.0,15
2019,2,31.0,15
2019,3,30.0,15
2019,4,25.0,15
2019,5,31.0,15
2019,6,30.0,15
2019,7,31.0,15
2019,8,30.0,15
2019,9,32.0,15
2019,10,31.0,15
2019,11,28.0,15
2019,12,26.0,15
2019,1,39.0,16
2019,2,40.0,16
2019,3,40.0,16
2019,4,34.0,16
2019,5,39.0,16
2019,6,40.0,16
2019,7,47.0,16
2019,8,39.0,16
2019,9,42.0,16
2019,10,41.0,16
2019,11,40.0,16
2019,12,40.0,16
2019,1,321.0,17
2019,2,294.0,17
2019,3,308.0,17
2019,4,290.0,17
2019,5,266.0,17
2019,6,265.0,17
2019,7,256.0,17
2019,8,250.0,17
2019,9,256.0,17
2019,10,281.0,17
2019,11,259.0,17
2019,12,263.0,17
2019,1,178.0,18
2019,2,162.0,18
2019,3,149.0,18
2019,4,165.0,18
2019,5,154.0,18
2019,6,166.0,18
2019,7,163.0,18
2019,8,154.0,18
2019,9,156.0,18
2019,10,170.0,18
2019,11,140.0,18
2019,12,122.0,18
2019,1,75.0,19
2019,2,75.0,19
2019,3,80.0,19
2019,4,78.0,19
2019,5,78.0,19
2019,6,82.0,19
2019,7,75.0,19
2019,8,71.0,19
2019,9,74.0,19
2019,10,75.0,19
2019,11,70.0,19
2019,12,66.0,19
2019,1,72.0,20
2019,2,78.0,20
2019,3,79.0,20
2019,4,83.0,20
2019,5,72.0,20
2019,6,75.0,20
2019,7,71.0,20
2019,8,73.0,20
2019,9,70.0,20
2019,10,67.0,20
2019,11,64.0,20
2019,12,58.0,20
2019,1,91.0,21
2019,2,95.0,21
2019,3,93.0,21
2019,4,87.0,21
2019,5,92.0,21
2019,6,86.0,21
2019,7,79.0,21
2019,8,86.0,21
2019,9,97.0,21
2019,10,98.0,21
2019,11,95.0,21
2019,12,88.0,21
2019,1,90.0,22
2019,2,84.0,22
2019,3,90.0,22
2019,4,92.0,22
2019,5,92.0,22
2019,6,91.0,22
2019,7,92.0,22
2019,8,98.0,22
2019,9,103.0,22
2019,10,95.0,22
2019,11,92.0,22
2019,12,85.0,22
2019,1,31.0,23
2019,2,30.0,23
2019,3,31.0,23
2019,4,30.0,23
2019,5,34.0,23
2019,6,33.0,23
2019,7,27.0,23
2019,8,32.0,23
2019,9,33.0,23
2019,10,32.0,23
2019,11,30.0,23
2019,12,30.0,23
2019,1,141.0,24
2019,2,135.0,24
2019,3,154.0,24
2019,4,132.0,24
2019,5,138.0,24
2019,6,138.0,24
2019,7,128.0,24
2019,8,140.0,24
2019,9,142.0,24
2019,10,153.0,24
2019,11,137.0,24
2019,12,145.0,24
2019,1,194.0,25
2019,2,183.0,25
2019,3,185.0,25
2019,4,175.0,25
2019,5,175.0,25
2019,6,164.0,25
2019,7,148.0,25
2019,8,183.0,25
2019,9,163.0,25
2019,10,160.0,25
2019,11,151.0,25
2019,12,153.0,25
2019,1,226.0,26
2019,2,202.0,26
2019,3,238.0,26
2019,4,220.0,26
2019,5,218.0,26
2019,6,221.0,26
2019,7,204.0,26
2019,8,204.0,26
2019,9,210.0,26
2019,10,247.0,26
2019,11,222.0,26
2019,12,210.0,26
2019,1,156.0,27
2019,2,145.0,27
2019,3,141.0,27
2019,4,143.0,27
2019,5,160.0,27
2019,6,155.0,27
2019,7,134.0,27
2019,8,139.0,27
2019,9,133.0,27
2019,10,122.0,27
2019,11,130.0,27
2019,12,118.0,27
2019,1,54.0,28
2019,2,54.0,28
2019,3,55.0,28
2019,4,58.0,28
2019,5,56.0,28
2019,6,55.0,28
2019,7,47.0,28
2019,8,51.0,28
2019,9,55.0,28
2019,10,52.0,28
2019,11,49.0,28
2019,12,46.0,28
2019,1,155.0,29
2019,2,154.0,29
2019,3,149.0,29
2019,4,165.0,29
2019,5,164.0,29
2019,6,172.0,29
2019,7,178.0,29
2019,8,137.0,29
2019,9,140.0,29
2019,10,132.0,29
2019,11,123.0,29
2019,12,106.0,29
2019,1,27.0,30
2019,2,27.0,30
2019,3,27.0,30
2019,4,27.0,30
2019,5,30.0,30
2019,6,28.0,30
2019,7,29.0,30
2019,8,28.0,30
2019,9,27.0,30
2019,10,25.0,30
2019,11,26.0,30
2019,12,27.0,30
2019,1,52.0,31
2019,2,49.0,31
2019,3,50.0,31
2019,4,50.0,31
2019,5,51.0,31
2019,6,53.0,31
2019,7,50.0,31
2019,8,48.0,31
2019,9,49.0,31
2019,10,51.0,31
2019,11,49.0,31
2019,12,45.0,31
2019,1,68.0,32
2019,2,71.0,32
2019,3,69.0,32
2019,4,67.0,32
2019,5,71.0,32
2019,6,66.0,32
2019,7,60.0,32
2019,8,61.0,32
2019,9,61.0,32
2019,10,62.0,32
2019,11,70.0,32
2019,12,72.0,32
2019,1,32.0,33
2019,2,31.0,33
2019,3,31.0,33
2019,4,28.0,33
2019,5,33.0,33
2019,6,33.0,33
2019,7,32.0,33
2019,8,33.0,33
2019,9,31.0,33
2019,10,31.0,33
2019,11,31.0,33
2019,12,33.0,33
2019,1,188.0,34
2019,2,177.0,34
2019,3,192.0,34
2019,4,171.0,34
2019,5,191.0,34
2019,6,180.0,34
2019,7,175.0,34
2019,8,187.0,34
2019,9,176.0,34
2019,10,182.0,34
2019,11,194.0,34
2019,12,183.0,34
2019,1,46.0,35
2019,2,43.0,35
2019,3,48.0,35
2019,4,42.0,35
2019,5,48.0,35
2019,6,47.0,35
2019,7,51.0,35
2019,8,50.0,35
2019,9,47.0,35
2019,10,45.0,35
2019,11,45.0,35
2019,12,44.0,35
2019,1,386.0,36
2019,2,372.0,36
2019,3,359.0,36
2019,4,341.0,36
2019,5,400.0,36
2019,6,408.0,36
2019,7,361.0,36
2019,8,446.0,36
2019,9,403.0,36
2019,10,417.0,36
2019,11,378.0,36
2019,12,400.0,36
2019,1,286.0,37
2019,2,285.0,37
2019,3,299.0,37
2019,4,286.0,37
2019,5,282.0,37
2019,6,262.0,37
2019,7,263.0,37
2019,8,298.0,37
2019,9,286.0,37
2019,10,318.0,37
2019,11,262.0,37
2019,12,252.0,37
2019,1,39.0,38
2019,2,25.0,38
2019,3,26.0,38
2019,4,27.0,38
2019,5,27.0,38
2019,6,26.0,38
2019,7,26.0,38
2019,8,25.0,38
2019,9,23.0,38
2019,10,27.0,38
2019,11,21.0,38
2019,12,21.0,38
2019,1,322.0,39
2019,2,256.0,39
2019,3,269.0,39
2019,4,294.0,39
2019,5,283.0,39
2019,6,251.0,39
2019,7,289.0,39
2019,8,263.0,39
2019,9,276.0,39
2019,10,279.0,39
2019,11,265.0,39
2019,12,254.0,39
2019,1,78.0,40
2019,2,78.0,40
2019,3,89.0,40
