year,month,       value,state_code
2021,1,5.3,01
2021,2,5.7,01
2021,3,5.0,01
2021,4,6.4,01
2021,5,6.6,01
2021,6,6.7,01
2021,7,6.5,01
2021,8,6.8,01
2021,9,6.7,01
2021,10,7.2,01
2021,11,7.4,01
2021,12,6.9,01
2021,1,6.7,02
2021,2,6.7,02
2021,3,7.2,02
2021,4,7.5,02
2021,5,7.3,02
2021,6,8.9,02
2021,7,10.1,02
2021,8,9.1,02
2021,9,8.8,02
2021,10,9.3,02
2021,11,8.9,02
2021,12,9.5,02
2021,1,5.0,04
2021,2,5.7,04
2021,3,5.8,04
2021,4,6.4,04
2021,5,6.9,04
2021,6,6.5,04
2021,7,7.3,04
2021,8,7.5,04
2021,9,6.4,04
2021,10,6.9,04
2021,11,6.5,04
2021,12,7.0,04
2021,1,4.7,05
2021,2,4.5,05
2021,3,6.0,05
2021,4,6.1,05
2021,5,6.0,05
2021,6,6.4,05
2021,7,6.4,05
2021,8,7.5,05
2021,9,7.0,05
2021,10,6.6,05
2021,11,6.3,05
2021,12,6.5,05
2021,1,4.2,06
2021,2,4.4,06
2021,3,4.7,06
2021,4,5.4,06
2021,5,5.4,06
2021,6,5.8,06
2021,7,6.4,06
2021,8,6.4,06
2021,9,6.5,06
2021,10,6.6,06
2021,11,6.6,06
2021,12,6.9,06
2021,1,4.9,08
2021,2,4.6,08
2021,3,4.8,08
2021,4,6.6,08
2021,5,7.0,08
2021,6,7.9,08
2021,7,7.7,08
2021,8,7.2,08
2021,9,6.8,08
2021,10,7.1,08
2021,11,7.1,08
2021,12,8.1,08
2021,1,4.1,09
2021,2,4.2,09
2021,3,5.4,09
2021,4,5.6,09
2021,5,5.7,09
2021,6,5.3,09
2021,7,6.1,09
2021,8,6.1,09
2021,9,6.0,09
2021,10,6.2,09
2021,11,6.2,09
2021,12,6.2,09
2021,1,6.3,10
2021,2,5.5,10
2021,3,5.5,10
2021,4,6.1,10
2021,5,6.6,10
2021,6,6.2,10
2021,7,6.8,10
2021,8,6.9,10
2021,9,6.8,10
2021,10,7.1,10
2021,11,7.0,10
2021,12,7.4,10
2021,1,4.1,11
2021,2,4.4,11
2021,3,4.2,11
2021,4,5.6,11
2021,5,5.7,11
2021,6,6.3,11
2021,7,5.3,11
2021,8,6.1,11
2021,9,6.0,11
2021,10,6.2,11
2021,11,6.1,11
2021,12,6.5,11
2021,1,4.8,12
2021,2,5.4,12
2021,3,5.2,12
2021,4,5.5,12
2021,5,5.8,12
2021,6,6.1,12
2021,7,7.3,12
2021,8,7.0,12
2021,9,6.9,12
2021,10,7.6,12
2021,11,6.8,12
2021,12,7.2,12
2021,1,6.4,13
2021,2,6.4,13
2021,3,6.4,13
2021,4,6.8,13
2021,5,7.7,13
2021,6,7.6,13
2021,7,7.5,13
2021,8,8.3,13
2021,9,8.4,13
2021,10,8.5,13
2021,11,8.6,13
2021,12,8.8,13
2021,1,4.6,15
2021,2,4.5,15
2021,3,5.2,15
2021,4,7.1,15
2021,5,6.7,15
2021,6,6.8,15
2021,7,7.9,15
2021,8,6.1,15
2021,9,6.0,15
2021,10,6.4,15
2021,11,5.9,15
2021,12,6.1,15
2021,1,5.1,16
2021,2,5.1,16
2021,3,5.4,16
2021,4,6.1,16
2021,5,6.5,16
2021,6,7.7,16
2021,7,7.9,16
2021,8,7.7,16
2021,9,7.1,16
2021,10,7.4,16
2021,11,7.0,16
2021,12,7.1,16
2021,1,4.5,17
2021,2,4.3,17
2021,3,5.1,17
2021,4,5.4,17
2021,5,5.7,17
2021,6,6.2,17
2021,7,6.1,17
2021,8,6.9,17
2021,9,7.0,17
2021,10,7.0,17
2021,11,6.6,17
2021,12,7.3,17
2021,1,5.0,18
2021,2,4.7,18
2021,3,5.6,18
2021,4,6.1,18
2021,5,6.7,18
2021,6,7.0,18
2021,7,6.9,18
2021,8,6.8,18
2021,9,7.1,18
2021,10,7.4,18
2021,11,7.2,18
2021,12,7.8,18
2021,1,4.9,19
2021,2,4.9,19
2021,3,5.3,19
2021,4,5.6,19
2021,5,6.1,19
2021,6,5.7,19
2021,7,6.2,19
2021,8,6.3,19
2021,9,6.5,19
2021,10,6.6,19
2021,11,7.1,19
2021,12,8.1,19
2021,1,4.5,20
2021,2,4.7,20
2021,3,6.0,20
2021,4,5.4,20
2021,5,5.9,20
2021,6,5.7,20
2021,7,6.0,20
2021,8,5.8,20
2021,9,6.1,20
2021,10,6.8,20
2021,11,7.0,20
2021,12,6.9,20
2021,1,6.0,21
2021,2,5.7,21
2021,3,6.1,21
2021,4,8.0,21
2021,5,7.7,21
2021,6,7.5,21
2021,7,7.8,21
2021,8,8.2,21
2021,9,6.8,21
2021,10,7.5,21
2021,11,6.7,21
2021,12,7.7,21
2021,1,5.2,22
2021,2,5.5,22
2021,3,5.5,22
2021,4,5.8,22
2021,5,5.9,22
2021,6,6.7,22
2021,7,6.5,22
2021,8,6.8,22
2021,9,7.2,22
2021,10,8.2,22
2021,11,7.1,22
2021,12,7.6,22
2021,1,5.4,23
2021,2,5.2,23
2021,3,5.8,23
2021,4,6.3,23
2021,5,6.5,23
2021,6,6.3,23
2021,7,8.1,23
2021,8,7.4,23
2021,9,6.4,23
2021,10,6.3,23
2021,11,6.7,23
2021,12,7.1,23
2021,1,5.1,24
2021,2,5.9,24
2021,3,7.3,24
2021,4,7.7,24
2021,5,7.7,24
2021,6,6.9,24
2021,7,7.3,24
2021,8,7.2,24
2021,9,7.3,24
2021,10,7.5,24
2021,11,7.2,24
2021,12,7.4,24
2021,1,4.1,25
2021,2,4.7,25
2021,3,5.5,25
2021,4,5.6,25
2021,5,5.8,25
2021,6,5.9,25
2021,7,7.5,25
2021,8,7.5,25
2021,9,7.5,25
2021,10,8.1,25
2021,11,7.4,25
2021,12,7.6,25
2021,1,6.1,26
2021,2,6.4,26
2021,3,6.1,26
2021,4,7.1,26
2021,5,7.9,26
2021,6,7.8,26
2021,7,8.0,26
2021,8,8.0,26
2021,9,7.8,26
2021,10,7.9,26
2021,11,7.8,26
2021,12,7.8,26
2021,1,4.2,27
2021,2,4.6,27
2021,3,4.4,27
2021,4,5.4,27
2021,5,6.0,27
2021,6,6.0,27
2021,7,6.1,27
2021,8,5.8,27
2021,9,6.3,27
2021,10,7.4,27
2021,11,6.5,27
2021,12,7.8,27
2021,1,4.7,28
2021,2,5.7,28
2021,3,6.8,28
2021,4,6.4,28
2021,5,7.2,28
2021,6,6.9,28
2021,7,7.1,28
2021,8,6.7,28
2021,9,6.8,28
2021,10,7.0,28
2021,11,6.6,28
2021,12,7.3,28
2021,1,4.5,29
2021,2,4.8,29
2021,3,5.2,29
2021,4,5.6,29
2021,5,5.8,29
2021,6,5.8,29
2021,7,6.1,29
2021,8,6.9,29
2021,9,6.6,29
2021,10,7.4,29
2021,11,7.2,29
2021,12,7.2,29
2021,1,5.5,30
2021,2,5.7,30
2021,3,6.3,30
2021,4,6.9,30
2021,5,7.2,30
2021,6,7.7,30
2021,7,8.4,30
2021,8,7.8,30
2021,9,7.5,30
2021,10,8.1,30
2021,11,7.9,30
2021,12,8.1,30
2021,1,4.7,31
2021,2,5.1,31
2021,3,5.1,31
2021,4,5.5,31
2021,5,6.0,31
2021,6,6.2,31
2021,7,6.0,31
2021,8,6.6,31
2021,9,6.3,31
2021,10,6.6,31
2021,11,6.2,31
2021,12,6.6,31
2021,1,5.5,32
2021,2,5.6,32
2021,3,6.6,32
2021,4,6.4,32
2021,5,8.1,32
2021,6,8.4,32
2021,7,9.1,32
2021,8,8.1,32
2021,9,7.0,32
2021,10,7.5,32
2021,11,7.4,32
2021,12,7.0,32
2021,1,4.8,33
2021,2,5.7,33
2021,3,5.9,33
2021,4,6.7,33
2021,5,7.3,33
2021,6,7.4,33
2021,7,8.6,33
2021,8,7.9,33
2021,9,7.1,33
2021,10,7.4,33
2021,11,8.1,33
2021,12,8.3,33
2021,1,4.5,34
2021,2,5.4,34
2021,3,6.9,34
2021,4,6.4,34
2021,5,6.3,34
2021,6,6.5,34
2021,7,7.0,34
2021,8,7.2,34
2021,9,6.9,34
2021,10,7.1,34
2021,11,6.2,34
2021,12,6.7,34
2021,1,5.8,35
2021,2,5.6,35
2021,3,6.3,35
2021,4,6.6,35
2021,5,7.1,35
2021,6,7.3,35
2021,7,7.8,35
2021,8,7.6,35
2021,9,7.5,35
2021,10,8.3,35
2021,11,7.4,35
2021,12,7.7,35
2021,1,3.8,36
2021,2,4.2,36
2021,3,4.5,36
2021,4,5.5,36
2021,5,5.8,36
2021,6,5.5,36
2021,7,6.3,36
2021,8,6.2,36
2021,9,6.2,36
2021,10,6.3,36
2021,11,7.1,36
2021,12,6.6,36
2021,1,6.4,37
2021,2,6.1,37
2021,3,6.5,37
2021,4,6.4,37
2021,5,6.0,37
2021,6,7.1,37
2021,7,7.0,37
2021,8,7.1,37
2021,9,6.8,37
2021,10,6.6,37
2021,11,7.3,37
2021,12,8.7,37
2021,1,5.1,38
2021,2,5.3,38
2021,3,5.1,38
2021,4,6.1,38
2021,5,6.1,38
2021,6,6.5,38
2021,7,6.3,38
2021,8,6.7,38
2021,9,7.1,38
2021,10,6.9,38
2021,11,7.1,38
2021,12,7.3,38
2021,1,4.7,39
2021,2,5.1,39
2021,3,5.1,39
2021,4,5.3,39
2021,5,5.6,39
2021,6,5.6,39
2021,7,6.7,39
2021,8,6.1,39
2021,9,7.1,39
2021,10,7.5,39
2021,11,7.6,39
2021,12,7.3,39
2021,1,5.2,40
2021,2,5.8,40
2021,3,6.2,40
2021,4,6.5,40
2021,5,6.3,40
2021,6,6.6,40
2021,7,6.6,40
2021,8,6.1,40
2021,9,7.1,40
2021,10,7.0,40
2021,11,7.0,40
2021,12,7.4,40
2021,1,5.2,41
2021,2,5.8,41
2021,3,6.3,41
2021,4,6.5,41
2021,5,7.2,41
2021,6,7.0,41
2021,7,7.6,41
2021,8,7.4,41
2021,9,6.9,41
2021,10,7.4,41
2021,11,7.0,41
2021,12,7.5,41
2021,1,4.5,42
2021,2,5.0,42
2021,3,6.0,42
2021,4,6.7,42
2021,5,7.2,42
2021,6,6.8,42
2021,7,7.3,42
2021,8,7.5,42
2021,9,7.2,42
2021,10,6.5,42
2021,11,6.6,42
2021,12,7.9,42
2021,1,4.9,44
2021,2,5.4,44
2021,3,6.1,44
2021,4,6.9,44
2021,5,6.3,44
2021,6,6.8,44
2021,7,7.7,44
2021,8,7.5,44
2021,9,7.5,44
2021,10,7.8,44
2021,11,7.2,44
2021,12,7.6,44
2021,1,6.1,45
2021,2,6.5,45
2021,3,6.3,45
2021,4,6.7,45
2021,5,7.6,45
2021,6,6.6,45
2021,7,8.0,45
2021,8,7.9,45
2021,9,7.7,45
2021,10,7.8,45
2021,11,7.2,45
2021,12,8.3,45
2021,1,4.6,46
2021,2,5.2,46
2021,3,5.6,46
2021,4,6.8,46
2021,5,6.0,46
2021,6,6.2,46
2021,7,6.1,46
2021,8,6.5,46
2021,9,6.9,46
2021,10,7.5,46
2021,11,7.1,46
2021,12,6.9,46
2021,1,5.6,47
2021,2,5.6,47
2021,3,5.9,47
2021,4,6.3,47
2021,5,7.0,47
2021,6,6.6,47
2021,7,7.1,47
2021,8,7.0,47
2021,9,6.9,47
2021,10,7.2,47
2021,11,7.7,47
2021,12,7.6,47
2021,1,4.5,48
2021,2,5.0,48
2021,3,5.5,48
2021,4,6.0,48
2021,5,6.4,48
2021,6,6.7,48
2021,7,6.6,48
2021,8,6.8,48
2021,9,6.4,48
2021,10,6.9,48
2021,11,7.0,48
2021,12,7.4,48
2021,1,4.5,49
2021,2,5.1,49
2021,3,5.0,49
2021,4,5.4,49
2021,5,5.9,49
2021,6,6.5,49
2021,7,7.2,49
2021,8,6.9,49
2021,9,6.3,49
2021,10,6.8,49
2021,11,6.3,49
2021,12,6.8,49
2021,1,4.7,50
2021,2,5.6,50
2021,3,6.2,50
2021,4,7.0,50
2021,5,7.2,50
2021,6,6.9,50
2021,7,7.7,50
2021,8,7.2,50
2021,9,7.2,50
2021,10,7.7,50
2021,11,7.4,50
2021,12,8.0,50
2021,1,5.0,51
2021,2,6.2,51
2021,3,5.4,51
2021,4,6.5,51
2021,5,6.9,51
2021,6,6.5,51
2021,7,7.1,51
2021,8,6.8,51
2021,9,7.7,51
2021,10,6.6,51
2021,11,7.0,51
2021,12,6.9,51
2021,1,3.5,53
2021,2,4.6,53
2021,3,5.0,53
2021,4,5.4,53
2021,5,5.7,53
2021,6,5.8,53
2021,7,6.4,53
2021,8,6.2,53
2021,9,6.4,53
2021,10,6.6,53
2021,11,6.3,53
2021,12,6.1,53
2021,1,6.2,54
2021,2,7.3,54
2021,3,6.3,54
2021,4,7.5,54
2021,5,8.0,54
2021,6,8.0,54
2021,7,7.4,54
2021,8,7.6,54
2021,9,7.5,54
2021,10,7.3,54
2021,11,7.9,54
2021,12,8.0,54
2021,1,3.6,55
2021,2,4.7,55
2021,3,5.6,55
2021,4,6.0,55
2021,5,6.4,55
2021,6,6.4,55
2021,7,6.8,55
2021,8,6.8,55
2021,9,7.0,55
2021,10,6.7,55
2021,11,6.7,55
2021,12,6.8,55
2021,1,5.5,56
2021,2,6.1,56
2021,3,5.8,56
2021,4,6.4,56
2021,5,7.0,56
2021,6,7.3,56
2021,7,7.6,56
2021,8,7.6,56
2021,9,7.3,56
2021,10,7.9,56
2021,11,7.9,56
2021,12,7.8,56
