year,month,       value,state_code
2011,1,29.0,01
2011,2,26.0,01
2011,3,25.0,01
2011,4,26.0,01
2011,5,24.0,01
2011,6,27.0,01
2011,7,25.0,01
2011,8,25.0,01
2011,9,25.0,01
2011,10,26.0,01
2011,11,31.0,01
2011,12,33.0,01
2011,1,6.0,02
2011,2,7.0,02
2011,3,6.0,02
2011,4,6.0,02
2011,5,11.0,02
2011,6,6.0,02
2011,7,7.0,02
2011,8,7.0,02
2011,9,7.0,02
2011,10,9.0,02
2011,11,7.0,02
2011,12,7.0,02
2011,1,32.0,04
2011,2,27.0,04
2011,3,37.0,04
2011,4,41.0,04
2011,5,29.0,04
2011,6,28.0,04
2011,7,28.0,04
2011,8,38.0,04
2011,9,36.0,04
2011,10,37.0,04
2011,11,40.0,04
2011,12,34.0,04
2011,1,19.0,05
2011,2,20.0,05
2011,3,16.0,05
2011,4,12.0,05
2011,5,19.0,05
2011,6,15.0,05
2011,7,14.0,05
2011,8,18.0,05
2011,9,15.0,05
2011,10,14.0,05
2011,11,15.0,05
2011,12,17.0,05
2011,1,140.0,06
2011,2,156.0,06
2011,3,151.0,06
2011,4,135.0,06
2011,5,213.0,06
2011,6,196.0,06
2011,7,202.0,06
2011,8,197.0,06
2011,9,224.0,06
2011,10,164.0,06
2011,11,195.0,06
2011,12,191.0,06
2011,1,28.0,08
2011,2,59.0,08
2011,3,28.0,08
2011,4,29.0,08
2011,5,39.0,08
2011,6,44.0,08
2011,7,33.0,08
2011,8,25.0,08
2011,9,34.0,08
2011,10,29.0,08
2011,11,25.0,08
2011,12,34.0,08
2011,1,19.0,09
2011,2,22.0,09
2011,3,20.0,09
2011,4,19.0,09
2011,5,22.0,09
2011,6,19.0,09
2011,7,18.0,09
2011,8,23.0,09
2011,9,18.0,09
2011,10,21.0,09
2011,11,22.0,09
2011,12,18.0,09
2011,1,7.0,10
2011,2,6.0,10
2011,3,7.0,10
2011,4,7.0,10
2011,5,7.0,10
2011,6,6.0,10
2011,7,7.0,10
2011,8,7.0,10
2011,9,7.0,10
2011,10,7.0,10
2011,11,7.0,10
2011,12,6.0,10
2011,1,7.0,11
2011,2,6.0,11
2011,3,7.0,11
2011,4,6.0,11
2011,5,7.0,11
2011,6,7.0,11
2011,7,7.0,11
2011,8,7.0,11
2011,9,8.0,11
2011,10,7.0,11
2011,11,7.0,11
2011,12,7.0,11
2011,1,115.0,12
2011,2,122.0,12
2011,3,118.0,12
2011,4,108.0,12
2011,5,143.0,12
2011,6,123.0,12
2011,7,112.0,12
2011,8,114.0,12
2011,9,101.0,12
2011,10,112.0,12
2011,11,109.0,12
2011,12,102.0,12
2011,1,63.0,13
2011,2,52.0,13
2011,3,49.0,13
2011,4,79.0,13
2011,5,46.0,13
2011,6,62.0,13
2011,7,55.0,13
2011,8,60.0,13
2011,9,56.0,13
2011,10,39.0,13
2011,11,71.0,13
2011,12,56.0,13
2011,1,6.0,15
2011,2,7.0,15
2011,3,7.0,15
2011,4,7.0,15
2011,5,8.0,15
2011,6,6.0,15
2011,7,7.0,15
2011,8,7.0,15
2011,9,6.0,15
2011,10,7.0,15
2011,11,7.0,15
2011,12,7.0,15
2011,1,9.0,16
2011,2,10.0,16
2011,3,10.0,16
2011,4,10.0,16
2011,5,13.0,16
2011,6,11.0,16
2011,7,11.0,16
2011,8,11.0,16
2011,9,11.0,16
2011,10,10.0,16
2011,11,10.0,16
2011,12,11.0,16
2011,1,72.0,17
2011,2,52.0,17
2011,3,64.0,17
2011,4,80.0,17
2011,5,90.0,17
2011,6,85.0,17
2011,7,94.0,17
2011,8,77.0,17
2011,9,63.0,17
2011,10,69.0,17
2011,11,61.0,17
2011,12,56.0,17
2011,1,40.0,18
2011,2,36.0,18
2011,3,56.0,18
2011,4,60.0,18
2011,5,51.0,18
2011,6,62.0,18
2011,7,48.0,18
2011,8,36.0,18
2011,9,41.0,18
2011,10,67.0,18
2011,11,43.0,18
2011,12,47.0,18
2011,1,26.0,19
2011,2,15.0,19
2011,3,19.0,19
2011,4,18.0,19
2011,5,22.0,19
2011,6,21.0,19
2011,7,19.0,19
2011,8,16.0,19
2011,9,18.0,19
2011,10,16.0,19
2011,11,13.0,19
2011,12,15.0,19
2011,1,21.0,20
2011,2,12.0,20
2011,3,20.0,20
2011,4,15.0,20
2011,5,21.0,20
2011,6,21.0,20
2011,7,17.0,20
2011,8,15.0,20
2011,9,18.0,20
2011,10,14.0,20
2011,11,15.0,20
2011,12,15.0,20
2011,1,35.0,21
2011,2,25.0,21
2011,3,26.0,21
2011,4,25.0,21
2011,5,24.0,21
2011,6,26.0,21
2011,7,26.0,21
2011,8,35.0,21
2011,9,28.0,21
2011,10,22.0,21
2011,11,32.0,21
2011,12,24.0,21
2011,1,27.0,22
2011,2,22.0,22
2011,3,32.0,22
2011,4,21.0,22
2011,5,23.0,22
2011,6,28.0,22
2011,7,20.0,22
2011,8,36.0,22
2011,9,28.0,22
2011,10,23.0,22
2011,11,27.0,22
2011,12,25.0,22
2011,1,10.0,23
2011,2,9.0,23
2011,3,9.0,23
2011,4,9.0,23
2011,5,8.0,23
2011,6,9.0,23
2011,7,8.0,23
2011,8,8.0,23
2011,9,8.0,23
2011,10,12.0,23
2011,11,9.0,23
2011,12,8.0,23
2011,1,37.0,24
2011,2,38.0,24
2011,3,56.0,24
2011,4,28.0,24
2011,5,31.0,24
2011,6,24.0,24
2011,7,39.0,24
2011,8,36.0,24
2011,9,41.0,24
2011,10,30.0,24
2011,11,38.0,24
2011,12,37.0,24
2011,1,49.0,25
2011,2,54.0,25
2011,3,45.0,25
2011,4,46.0,25
2011,5,43.0,25
2011,6,54.0,25
2011,7,41.0,25
2011,8,45.0,25
2011,9,49.0,25
2011,10,68.0,25
2011,11,42.0,25
2011,12,56.0,25
2011,1,62.0,26
2011,2,47.0,26
2011,3,79.0,26
2011,4,66.0,26
2011,5,61.0,26
2011,6,75.0,26
2011,7,60.0,26
2011,8,59.0,26
2011,9,103.0,26
2011,10,62.0,26
2011,11,89.0,26
2011,12,75.0,26
2011,1,31.0,27
2011,2,29.0,27
2011,3,26.0,27
2011,4,28.0,27
2011,5,28.0,27
2011,6,48.0,27
2011,7,38.0,27
2011,8,23.0,27
2011,9,36.0,27
2011,10,33.0,27
2011,11,32.0,27
2011,12,28.0,27
2011,1,15.0,28
2011,2,14.0,28
2011,3,15.0,28
2011,4,12.0,28
2011,5,13.0,28
2011,6,14.0,28
2011,7,14.0,28
2011,8,13.0,28
2011,9,14.0,28
2011,10,15.0,28
2011,11,15.0,28
2011,12,15.0,28
2011,1,52.0,29
2011,2,24.0,29
2011,3,28.0,29
2011,4,43.0,29
2011,5,31.0,29
2011,6,49.0,29
2011,7,28.0,29
2011,8,33.0,29
2011,9,32.0,29
2011,10,31.0,29
2011,11,30.0,29
2011,12,29.0,29
2011,1,6.0,30
2011,2,8.0,30
2011,3,7.0,30
2011,4,7.0,30
2011,5,8.0,30
2011,6,8.0,30
2011,7,8.0,30
2011,8,9.0,30
2011,9,9.0,30
2011,10,7.0,30
2011,11,8.0,30
2011,12,7.0,30
2011,1,14.0,31
2011,2,8.0,31
2011,3,13.0,31
2011,4,12.0,31
2011,5,12.0,31
2011,6,12.0,31
2011,7,10.0,31
2011,8,11.0,31
2011,9,10.0,31
2011,10,10.0,31
2011,11,10.0,31
2011,12,9.0,31
2011,1,18.0,32
2011,2,25.0,32
2011,3,20.0,32
2011,4,19.0,32
2011,5,25.0,32
2011,6,19.0,32
2011,7,19.0,32
2011,8,19.0,32
2011,9,17.0,32
2011,10,14.0,32
2011,11,18.0,32
2011,12,16.0,32
2011,1,10.0,33
2011,2,10.0,33
2011,3,9.0,33
2011,4,7.0,33
2011,5,9.0,33
2011,6,10.0,33
2011,7,11.0,33
2011,8,10.0,33
2011,9,10.0,33
2011,10,10.0,33
2011,11,11.0,33
2011,12,10.0,33
2011,1,66.0,34
2011,2,60.0,34
2011,3,53.0,34
2011,4,49.0,34
2011,5,63.0,34
2011,6,47.0,34
2011,7,57.0,34
2011,8,43.0,34
2011,9,79.0,34
2011,10,46.0,34
2011,11,50.0,34
2011,12,23.0,34
2011,1,9.0,35
2011,2,11.0,35
2011,3,9.0,35
2011,4,11.0,35
2011,5,11.0,35
2011,6,14.0,35
2011,7,10.0,35
2011,8,12.0,35
2011,9,12.0,35
2011,10,10.0,35
2011,11,12.0,35
2011,12,10.0,35
2011,1,100.0,36
2011,2,143.0,36
2011,3,121.0,36
2011,4,174.0,36
2011,5,155.0,36
2011,6,143.0,36
2011,7,137.0,36
2011,8,129.0,36
2011,9,112.0,36
2011,10,101.0,36
2011,11,112.0,36
2011,12,114.0,36
2011,1,46.0,37
2011,2,41.0,37
2011,3,38.0,37
2011,4,47.0,37
2011,5,56.0,37
2011,6,60.0,37
2011,7,52.0,37
2011,8,66.0,37
2011,9,37.0,37
2011,10,53.0,37
2011,11,58.0,37
2011,12,79.0,37
2011,1,6.0,38
2011,2,4.0,38
2011,3,6.0,38
2011,4,9.0,38
2011,5,7.0,38
2011,6,8.0,38
2011,7,6.0,38
2011,8,6.0,38
2011,9,7.0,38
2011,10,6.0,38
2011,11,6.0,38
2011,12,6.0,38
2011,1,57.0,39
2011,2,62.0,39
2011,3,62.0,39
2011,4,57.0,39
2011,5,77.0,39
2011,6,84.0,39
2011,7,59.0,39
2011,8,73.0,39
2011,9,62.0,39
2011,10,50.0,39
2011,11,71.0,39
2011,12,51.0,39
2011,1,22.0,40
2011,2,28.0,40
2011,3,19.0,40
2011,4,21.0,40
2011,5,19.0,40
2011,6,15.0,40
2011,7,21.0,40
2011,8,24.0,40
2011,9,19.0,40
2011,10,19.0,40
2011,11,22.0,40
2011,12,24.0,40
2011,1,16.0,41
2011,2,21.0,41
2011,3,26.0,41
2011,4,27.0,41
2011,5,29.0,41
2011,6,32.0,41
2011,7,30.0,41
2011,8,36.0,41
2011,9,23.0,41
2011,10,28.0,41
2011,11,45.0,41
2011,12,24.0,41
2011,1,80.0,42
2011,2,59.0,42
2011,3,72.0,42
2011,4,49.0,42
2011,5,52.0,42
2011,6,70.0,42
2011,7,70.0,42
2011,8,66.0,42
2011,9,56.0,42
2011,10,67.0,42
