year,month,       value,state_code
2020,1,0.9,01
2020,2,1.0,01
2020,3,4.3,01
2020,4,4.6,01
2020,5,1.5,01
2020,6,1.8,01
2020,7,0.9,01
2020,8,0.8,01
2020,9,0.8,01
2020,10,0.9,01
2020,11,1.3,01
2020,12,0.9,01
2020,1,2.1,02
2020,2,2.1,02
2020,3,10.4,02
2020,4,10.2,02
2020,5,2.5,02
2020,6,2.4,02
2020,7,2.4,02
2020,8,1.4,02
2020,9,1.7,02
2020,10,1.3,02
2020,11,2.3,02
2020,12,2.3,02
2020,1,1.1,04
2020,2,1.1,04
2020,3,6.1,04
2020,4,5.9,04
2020,5,1.3,04
2020,6,1.3,04
2020,7,1.4,04
2020,8,0.9,04
2020,9,1.1,04
2020,10,0.8,04
2020,11,1.0,04
2020,12,1.0,04
2020,1,1.0,05
2020,2,1.2,05
2020,3,6.0,05
2020,4,5.6,05
2020,5,1.0,05
2020,6,1.6,05
2020,7,1.0,05
2020,8,1.0,05
2020,9,1.0,05
2020,10,1.0,05
2020,11,1.1,05
2020,12,1.1,05
2020,1,1.1,06
2020,2,1.2,06
2020,3,8.6,06
2020,4,7.5,06
2020,5,1.6,06
2020,6,1.9,06
2020,7,1.7,06
2020,8,1.2,06
2020,9,1.2,06
2020,10,1.3,06
2020,11,1.7,06
2020,12,1.7,06
2020,1,1.2,08
2020,2,1.2,08
2020,3,9.4,08
2020,4,7.5,08
2020,5,1.4,08
2020,6,2.2,08
2020,7,1.6,08
2020,8,0.7,08
2020,9,1.4,08
2020,10,1.0,08
2020,11,3.0,08
2020,12,2.3,08
2020,1,1.4,09
2020,2,1.5,09
2020,3,8.1,09
2020,4,6.5,09
2020,5,1.5,09
2020,6,1.4,09
2020,7,1.4,09
2020,8,1.3,09
2020,9,1.2,09
2020,10,1.1,09
2020,11,2.4,09
2020,12,2.3,09
2020,1,1.3,10
2020,2,1.3,10
2020,3,8.2,10
2020,4,7.2,10
2020,5,1.2,10
2020,6,1.9,10
2020,7,1.4,10
2020,8,1.4,10
2020,9,1.1,10
2020,10,1.1,10
2020,11,1.3,10
2020,12,1.1,10
2020,1,0.6,11
2020,2,0.7,11
2020,3,5.4,11
2020,4,5.4,11
2020,5,1.0,11
2020,6,1.1,11
2020,7,0.8,11
2020,8,0.8,11
2020,9,1.1,11
2020,10,0.7,11
2020,11,0.7,11
2020,12,0.8,11
2020,1,1.0,12
2020,2,1.2,12
2020,3,10.6,12
2020,4,4.9,12
2020,5,1.3,12
2020,6,1.2,12
2020,7,1.2,12
2020,8,1.3,12
2020,9,1.1,12
2020,10,1.2,12
2020,11,0.9,12
2020,12,1.2,12
2020,1,1.3,13
2020,2,1.5,13
2020,3,5.5,13
2020,4,6.0,13
2020,5,1.5,13
2020,6,1.6,13
2020,7,1.5,13
2020,8,1.3,13
2020,9,1.0,13
2020,10,1.1,13
2020,11,1.4,13
2020,12,1.2,13
2020,1,0.8,15
2020,2,1.1,15
2020,3,8.5,15
2020,4,12.8,15
2020,5,2.0,15
2020,6,1.9,15
2020,7,1.5,15
2020,8,0.8,15
2020,9,2.1,15
2020,10,1.1,15
2020,11,1.5,15
2020,12,1.3,15
2020,1,1.2,16
2020,2,1.6,16
2020,3,7.2,16
2020,4,9.2,16
2020,5,1.5,16
2020,6,1.4,16
2020,7,1.3,16
2020,8,1.1,16
2020,9,1.3,16
2020,10,1.2,16
2020,11,1.9,16
2020,12,1.4,16
2020,1,1.0,17
2020,2,0.9,17
2020,3,9.1,17
2020,4,6.1,17
2020,5,1.6,17
2020,6,1.5,17
2020,7,1.5,17
2020,8,1.4,17
2020,9,1.7,17
2020,10,1.9,17
2020,11,2.0,17
2020,12,1.6,17
2020,1,1.9,18
2020,2,1.3,18
2020,3,9.0,18
2020,4,11.4,18
2020,5,1.0,18
2020,6,1.3,18
2020,7,1.0,18
2020,8,0.8,18
2020,9,1.3,18
2020,10,1.4,18
2020,11,1.4,18
2020,12,1.1,18
2020,1,1.1,19
2020,2,1.3,19
