year,month,       value,state_code
2001,1,45.0,01
2001,2,43.0,01
2001,3,42.0,01
2001,4,48.0,01
2001,5,43.0,01
2001,6,46.0,01
2001,7,41.0,01
2001,8,43.0,01
2001,9,39.0,01
2001,10,41.0,01
2001,11,34.0,01
2001,12,51.0,01
2001,1,11.0,02
2001,2,10.0,02
2001,3,11.0,02
2001,4,10.0,02
2001,5,9.0,02
2001,6,10.0,02
2001,7,14.0,02
2001,8,9.0,02
2001,9,8.0,02
2001,10,9.0,02
2001,11,10.0,02
2001,12,9.0,02
2001,1,62.0,04
2001,2,48.0,04
2001,3,56.0,04
2001,4,59.0,04
2001,5,54.0,04
2001,6,58.0,04
2001,7,57.0,04
2001,8,50.0,04
2001,9,46.0,04
2001,10,55.0,04
2001,11,57.0,04
2001,12,55.0,04
2001,1,32.0,05
2001,2,33.0,05
2001,3,30.0,05
2001,4,25.0,05
2001,5,29.0,05
2001,6,28.0,05
2001,7,28.0,05
2001,8,26.0,05
2001,9,28.0,05
2001,10,27.0,05
2001,11,22.0,05
2001,12,26.0,05
2001,1,349.0,06
2001,2,288.0,06
2001,3,326.0,06
2001,4,356.0,06
2001,5,345.0,06
2001,6,309.0,06
2001,7,320.0,06
2001,8,304.0,06
2001,9,262.0,06
2001,10,255.0,06
2001,11,250.0,06
2001,12,247.0,06
2001,1,68.0,08
2001,2,56.0,08
2001,3,69.0,08
2001,4,66.0,08
2001,5,54.0,08
2001,6,52.0,08
2001,7,57.0,08
2001,8,53.0,08
2001,9,49.0,08
2001,10,48.0,08
2001,11,55.0,08
2001,12,51.0,08
2001,1,29.0,09
2001,2,31.0,09
2001,3,29.0,09
2001,4,31.0,09
2001,5,29.0,09
2001,6,28.0,09
2001,7,29.0,09
2001,8,31.0,09
2001,9,27.0,09
2001,10,32.0,09
2001,11,29.0,09
2001,12,27.0,09
2001,1,11.0,10
2001,2,12.0,10
2001,3,10.0,10
2001,4,12.0,10
2001,5,10.0,10
2001,6,10.0,10
2001,7,11.0,10
2001,8,10.0,10
2001,9,11.0,10
2001,10,12.0,10
2001,11,10.0,10
2001,12,10.0,10
2001,1,15.0,11
2001,2,13.0,11
2001,3,12.0,11
2001,4,13.0,11
2001,5,10.0,11
2001,6,9.0,11
2001,7,11.0,11
2001,8,12.0,11
2001,9,11.0,11
2001,10,12.0,11
2001,11,11.0,11
2001,12,11.0,11
2001,1,219.0,12
2001,2,175.0,12
2001,3,164.0,12
2001,4,164.0,12
2001,5,165.0,12
2001,6,152.0,12
2001,7,157.0,12
2001,8,156.0,12
2001,9,129.0,12
2001,10,132.0,12
2001,11,131.0,12
2001,12,130.0,12
2001,1,105.0,13
2001,2,103.0,13
2001,3,96.0,13
2001,4,92.0,13
2001,5,84.0,13
2001,6,92.0,13
2001,7,109.0,13
2001,8,108.0,13
2001,9,99.0,13
2001,10,112.0,13
2001,11,102.0,13
2001,12,79.0,13
2001,1,12.0,15
2001,2,11.0,15
2001,3,11.0,15
2001,4,14.0,15
2001,5,11.0,15
2001,6,11.0,15
2001,7,11.0,15
2001,8,10.0,15
2001,9,8.0,15
2001,10,13.0,15
2001,11,12.0,15
2001,12,11.0,15
2001,1,17.0,16
2001,2,15.0,16
2001,3,16.0,16
2001,4,17.0,16
2001,5,15.0,16
2001,6,15.0,16
2001,7,14.0,16
2001,8,13.0,16
2001,9,12.0,16
2001,10,14.0,16
2001,11,15.0,16
2001,12,13.0,16
2001,1,156.0,17
2001,2,135.0,17
2001,3,131.0,17
2001,4,128.0,17
2001,5,122.0,17
2001,6,116.0,17
2001,7,115.0,17
2001,8,148.0,17
2001,9,110.0,17
2001,10,94.0,17
2001,11,94.0,17
2001,12,104.0,17
2001,1,85.0,18
2001,2,66.0,18
2001,3,79.0,18
2001,4,69.0,18
2001,5,66.0,18
2001,6,73.0,18
2001,7,62.0,18
2001,8,65.0,18
2001,9,59.0,18
2001,10,56.0,18
2001,11,46.0,18
2001,12,55.0,18
2001,1,38.0,19
2001,2,36.0,19
2001,3,37.0,19
2001,4,38.0,19
2001,5,36.0,19
2001,6,39.0,19
2001,7,37.0,19
2001,8,35.0,19
2001,9,31.0,19
2001,10,30.0,19
2001,11,27.0,19
2001,12,31.0,19
2001,1,33.0,20
2001,2,31.0,20
2001,3,31.0,20
2001,4,32.0,20
2001,5,36.0,20
2001,6,30.0,20
2001,7,32.0,20
2001,8,34.0,20
2001,9,31.0,20
2001,10,27.0,20
2001,11,28.0,20
2001,12,28.0,20
2001,1,46.0,21
2001,2,47.0,21
2001,3,26.0,21
2001,4,61.0,21
2001,5,49.0,21
2001,6,49.0,21
2001,7,49.0,21
2001,8,50.0,21
2001,9,45.0,21
2001,10,42.0,21
2001,11,45.0,21
2001,12,43.0,21
2001,1,51.0,22
2001,2,53.0,22
2001,3,45.0,22
2001,4,48.0,22
2001,5,47.0,22
2001,6,49.0,22
2001,7,49.0,22
2001,8,47.0,22
2001,9,43.0,22
2001,10,60.0,22
2001,11,42.0,22
2001,12,39.0,22
2001,1,15.0,23
2001,2,14.0,23
2001,3,14.0,23
2001,4,14.0,23
2001,5,13.0,23
2001,6,14.0,23
2001,7,14.0,23
2001,8,15.0,23
2001,9,14.0,23
2001,10,17.0,23
2001,11,15.0,23
2001,12,14.0,23
2001,1,61.0,24
2001,2,63.0,24
2001,3,52.0,24
2001,4,53.0,24
2001,5,53.0,24
2001,6,48.0,24
2001,7,48.0,24
2001,8,54.0,24
2001,9,53.0,24
2001,10,47.0,24
2001,11,49.0,24
2001,12,44.0,24
2001,1,66.0,25
2001,2,61.0,25
2001,3,69.0,25
2001,4,70.0,25
2001,5,54.0,25
2001,6,56.0,25
2001,7,60.0,25
2001,8,69.0,25
2001,9,57.0,25
2001,10,63.0,25
2001,11,48.0,25
2001,12,61.0,25
2001,1,122.0,26
2001,2,103.0,26
2001,3,96.0,26
2001,4,106.0,26
2001,5,82.0,26
2001,6,87.0,26
2001,7,98.0,26
2001,8,81.0,26
2001,9,70.0,26
2001,10,84.0,26
2001,11,71.0,26
2001,12,73.0,26
2001,1,68.0,27
2001,2,63.0,27
2001,3,76.0,27
2001,4,73.0,27
2001,5,71.0,27
2001,6,70.0,27
2001,7,63.0,27
2001,8,61.0,27
2001,9,66.0,27
2001,10,61.0,27
2001,11,47.0,27
2001,12,58.0,27
2001,1,31.0,28
2001,2,35.0,28
2001,3,29.0,28
2001,4,26.0,28
2001,5,28.0,28
2001,6,26.0,28
2001,7,26.0,28
2001,8,25.0,28
2001,9,23.0,28
2001,10,23.0,28
2001,11,21.0,28
2001,12,21.0,28
2001,1,82.0,29
2001,2,86.0,29
2001,3,84.0,29
2001,4,88.0,29
2001,5,98.0,29
2001,6,87.0,29
2001,7,85.0,29
2001,8,78.0,29
2001,9,76.0,29
2001,10,68.0,29
2001,11,54.0,29
2001,12,63.0,29
2001,1,12.0,30
2001,2,11.0,30
2001,3,12.0,30
2001,4,13.0,30
