year,month,       value,state_code
2005,1,2.3,01
2005,2,2.2,01
2005,3,2.2,01
2005,4,2.2,01
2005,5,2.4,01
2005,6,2.9,01
2005,7,2.3,01
2005,8,2.5,01
2005,9,2.5,01
2005,10,2.7,01
2005,11,2.0,01
2005,12,2.2,01
2005,1,3.2,02
2005,2,3.6,02
2005,3,3.6,02
2005,4,3.9,02
2005,5,3.6,02
2005,6,3.9,02
2005,7,3.5,02
2005,8,4.2,02
2005,9,4.5,02
2005,10,3.9,02
2005,11,3.8,02
2005,12,3.9,02
2005,1,2.8,04
2005,2,2.4,04
2005,3,2.4,04
2005,4,2.2,04
2005,5,2.6,04
2005,6,2.7,04
2005,7,2.1,04
2005,8,2.9,04
2005,9,2.7,04
2005,10,2.8,04
2005,11,2.8,04
2005,12,2.8,04
2005,1,2.4,05
2005,2,2.2,05
2005,3,2.4,05
2005,4,2.4,05
2005,5,2.6,05
2005,6,2.5,05
2005,7,2.4,05
2005,8,2.5,05
2005,9,2.6,05
2005,10,2.5,05
2005,11,2.4,05
2005,12,2.3,05
2005,1,1.8,06
2005,2,1.9,06
2005,3,2.0,06
2005,4,1.9,06
2005,5,1.8,06
2005,6,2.0,06
2005,7,2.0,06
2005,8,2.1,06
2005,9,2.1,06
2005,10,2.0,06
2005,11,2.0,06
2005,12,1.8,06
2005,1,2.3,08
2005,2,2.4,08
2005,3,2.6,08
2005,4,2.6,08
2005,5,2.6,08
2005,6,3.1,08
2005,7,3.1,08
2005,8,2.8,08
2005,9,3.3,08
2005,10,2.5,08
2005,11,3.2,08
2005,12,3.6,08
2005,1,1.9,09
2005,2,1.4,09
2005,3,1.6,09
2005,4,2.1,09
2005,5,1.4,09
2005,6,1.4,09
2005,7,1.7,09
2005,8,1.7,09
2005,9,1.5,09
2005,10,1.6,09
2005,11,1.7,09
2005,12,1.7,09
2005,1,2.3,10
2005,2,2.3,10
2005,3,2.1,10
2005,4,2.1,10
2005,5,2.1,10
2005,6,3.0,10
2005,7,2.3,10
2005,8,2.5,10
2005,9,2.3,10
2005,10,2.5,10
2005,11,2.3,10
2005,12,3.0,10
2005,1,1.5,11
2005,2,1.8,11
2005,3,1.6,11
2005,4,1.5,11
2005,5,1.8,11
2005,6,1.6,11
2005,7,1.6,11
2005,8,1.5,11
2005,9,1.8,11
2005,10,1.6,11
2005,11,1.6,11
2005,12,1.7,11
2005,1,2.3,12
2005,2,2.1,12
2005,3,2.2,12
2005,4,2.4,12
2005,5,2.2,12
2005,6,2.3,12
2005,7,2.4,12
2005,8,2.7,12
2005,9,2.6,12
2005,10,2.5,12
2005,11,2.3,12
2005,12,2.6,12
2005,1,2.1,13
2005,2,2.5,13
2005,3,2.7,13
2005,4,2.5,13
2005,5,2.2,13
2005,6,2.4,13
2005,7,2.5,13
2005,8,2.3,13
2005,9,2.4,13
2005,10,2.3,13
2005,11,1.9,13
2005,12,2.3,13
2005,1,1.9,15
2005,2,1.7,15
2005,3,2.2,15
2005,4,1.8,15
2005,5,1.8,15
2005,6,2.0,15
2005,7,1.8,15
2005,8,2.1,15
2005,9,2.3,15
2005,10,2.1,15
2005,11,2.3,15
2005,12,2.0,15
2005,1,2.3,16
2005,2,2.7,16
2005,3,3.0,16
2005,4,2.6,16
2005,5,2.5,16
2005,6,2.8,16
2005,7,2.3,16
2005,8,2.9,16
2005,9,3.1,16
2005,10,2.8,16
2005,11,2.9,16
2005,12,2.7,16
2005,1,1.6,17
2005,2,1.5,17
2005,3,1.8,17
2005,4,1.8,17
2005,5,1.8,17
2005,6,1.6,17
2005,7,1.9,17
2005,8,1.9,17
2005,9,1.7,17
2005,10,1.7,17
2005,11,2.0,17
2005,12,1.6,17
2005,1,2.2,18
2005,2,2.1,18
2005,3,2.0,18
2005,4,2.3,18
2005,5,2.1,18
2005,6,2.3,18
