year,month,       value,state_code
2020,1,78.0,01
2020,2,79.0,01
2020,3,125.0,01
2020,4,118.0,01
2020,5,64.0,01
2020,6,78.0,01
2020,7,73.0,01
2020,8,73.0,01
2020,9,84.0,01
2020,10,85.0,01
2020,11,82.0,01
2020,12,77.0,01
2020,1,20.0,02
2020,2,21.0,02
2020,3,44.0,02
2020,4,38.0,02
2020,5,14.0,02
2020,6,16.0,02
2020,7,18.0,02
2020,8,13.0,02
2020,9,13.0,02
2020,10,10.0,02
2020,11,15.0,02
2020,12,19.0,02
2020,1,116.0,04
2020,2,117.0,04
2020,3,237.0,04
2020,4,206.0,04
2020,5,79.0,04
2020,6,99.0,04
2020,7,114.0,04
2020,8,97.0,04
2020,9,120.0,04
2020,10,101.0,04
2020,11,121.0,04
2020,12,124.0,04
2020,1,54.0,05
2020,2,57.0,05
2020,3,108.0,05
2020,4,88.0,05
2020,5,35.0,05
2020,6,52.0,05
2020,7,47.0,05
2020,8,49.0,05
2020,9,52.0,05
2020,10,54.0,05
2020,11,54.0,05
2020,12,57.0,05
2020,1,592.0,06
2020,2,611.0,06
2020,3,1867.0,06
2020,4,1354.0,06
2020,5,490.0,06
2020,6,578.0,06
2020,7,619.0,06
2020,8,501.0,06
2020,9,538.0,06
2020,10,569.0,06
2020,11,592.0,06
2020,12,636.0,06
2020,1,122.0,08
2020,2,126.0,08
2020,3,339.0,08
2020,4,221.0,08
2020,5,80.0,08
2020,6,128.0,08
2020,7,107.0,08
2020,8,90.0,08
2020,9,106.0,08
2020,10,98.0,08
2020,11,156.0,08
2020,12,139.0,08
2020,1,63.0,09
2020,2,63.0,09
2020,3,166.0,09
2020,4,116.0,09
2020,5,42.0,09
2020,6,46.0,09
2020,7,46.0,09
2020,8,45.0,09
2020,9,47.0,09
2020,10,47.0,09
2020,11,67.0,09
2020,12,68.0,09
2020,1,21.0,10
2020,2,20.0,10
2020,3,49.0,10
2020,4,39.0,10
2020,5,14.0,10
2020,6,17.0,10
2020,7,18.0,10
2020,8,19.0,10
2020,9,17.0,10
2020,10,19.0,10
2020,11,19.0,10
2020,12,20.0,10
2020,1,20.0,11
2020,2,21.0,11
2020,3,55.0,11
2020,4,49.0,11
2020,5,22.0,11
2020,6,23.0,11
2020,7,19.0,11
2020,8,20.0,11
2020,9,20.0,11
2020,10,21.0,11
2020,11,20.0,11
2020,12,21.0,11
2020,1,335.0,12
2020,2,348.0,12
2020,3,1185.0,12
2020,4,522.0,12
2020,5,248.0,12
2020,6,302.0,12
2020,7,337.0,12
2020,8,308.0,12
2020,9,327.0,12
2020,10,381.0,12
2020,11,329.0,12
2020,12,338.0,12
2020,1,217.0,13
2020,2,212.0,13
2020,3,338.0,13
2020,4,337.0,13
2020,5,168.0,13
2020,6,161.0,13
2020,7,200.0,13
2020,8,218.0,13
2020,9,194.0,13
2020,10,183.0,13
2020,11,206.0,13
2020,12,224.0,13
2020,1,20.0,15
2020,2,23.0,15
2020,3,71.0,15
2020,4,78.0,15
2020,5,24.0,15
2020,6,22.0,15
2020,7,25.0,15
2020,8,18.0,15
2020,9,35.0,15
2020,10,17.0,15
2020,11,19.0,15
2020,12,15.0,15
2020,1,33.0,16
2020,2,39.0,16
2020,3,73.0,16
2020,4,77.0,16
2020,5,24.0,16
2020,6,28.0,16
2020,7,30.0,16
2020,8,27.0,16
2020,9,29.0,16
2020,10,32.0,16
2020,11,38.0,16
2020,12,34.0,16
2020,1,211.0,17
2020,2,208.0,17
2020,3,675.0,17
2020,4,460.0,17
2020,5,210.0,17
2020,6,197.0,17
2020,7,223.0,17
2020,8,198.0,17
2020,9,228.0,17
2020,10,246.0,17
2020,11,253.0,17
2020,12,256.0,17
2020,1,157.0,18
2020,2,132.0,18
2020,3,366.0,18
2020,4,367.0,18
2020,5,83.0,18
2020,6,96.0,18
2020,7,109.0,18
2020,8,100.0,18
2020,9,129.0,18
2020,10,118.0,18
2020,11,126.0,18
2020,12,123.0,18
2020,1,57.0,19
2020,2,57.0,19
2020,3,156.0,19
2020,4,97.0,19
2020,5,48.0,19
2020,6,53.0,19
2020,7,63.0,19
2020,8,58.0,19
2020,9,52.0,19
2020,10,61.0,19
2020,11,59.0,19
2020,12,42.0,19
2020,1,56.0,20
2020,2,55.0,20
2020,3,147.0,20
