year,month,       value,state_code
2001,1,4.0,01
2001,2,3.9,01
2001,3,4.1,01
2001,4,4.1,01
2001,5,3.8,01
2001,6,4.1,01
2001,7,3.7,01
2001,8,3.7,01
2001,9,3.4,01
2001,10,3.9,01
2001,11,4.2,01
2001,12,4.5,01
2001,1,7.4,02
2001,2,5.9,02
2001,3,8.7,02
2001,4,6.2,02
2001,5,5.9,02
2001,6,6.2,02
2001,7,8.2,02
2001,8,6.8,02
2001,9,6.2,02
2001,10,6.5,02
2001,11,6.9,02
2001,12,5.9,02
2001,1,5.3,04
2001,2,4.0,04
2001,3,4.8,04
2001,4,4.5,04
2001,5,4.3,04
2001,6,4.2,04
2001,7,4.4,04
2001,8,4.3,04
2001,9,4.1,04
2001,10,4.8,04
2001,11,4.3,04
2001,12,4.1,04
2001,1,4.6,05
2001,2,4.7,05
2001,3,4.5,05
2001,4,3.9,05
2001,5,4.3,05
2001,6,4.4,05
2001,7,4.3,05
2001,8,3.6,05
2001,9,4.4,05
2001,10,4.1,05
2001,11,4.5,05
2001,12,4.1,05
2001,1,4.4,06
2001,2,3.7,06
2001,3,3.8,06
2001,4,4.2,06
2001,5,3.8,06
2001,6,3.7,06
2001,7,4.0,06
2001,8,4.1,06
2001,9,3.6,06
2001,10,3.9,06
2001,11,3.5,06
2001,12,3.3,06
2001,1,5.5,08
2001,2,4.4,08
2001,3,5.4,08
2001,4,4.9,08
2001,5,4.5,08
2001,6,4.2,08
2001,7,5.0,08
2001,8,5.2,08
2001,9,5.3,08
2001,10,4.9,08
2001,11,5.0,08
2001,12,4.8,08
2001,1,3.2,09
2001,2,3.4,09
2001,3,3.5,09
2001,4,3.6,09
2001,5,3.5,09
2001,6,3.4,09
2001,7,3.5,09
2001,8,3.7,09
2001,9,3.1,09
2001,10,3.9,09
2001,11,3.4,09
2001,12,3.0,09
2001,1,4.5,10
2001,2,4.3,10
2001,3,4.0,10
2001,4,4.7,10
2001,5,3.8,10
2001,6,4.5,10
2001,7,4.8,10
2001,8,4.1,10
2001,9,4.6,10
2001,10,5.3,10
2001,11,5.3,10
2001,12,4.6,10
2001,1,4.1,11
2001,2,2.9,11
2001,3,3.1,11
2001,4,3.1,11
2001,5,2.6,11
2001,6,2.8,11
2001,7,3.1,11
2001,8,3.0,11
2001,9,2.9,11
2001,10,3.5,11
2001,11,3.2,11
2001,12,2.9,11
2001,1,4.9,12
2001,2,3.8,12
2001,3,3.9,12
2001,4,3.8,12
2001,5,3.6,12
2001,6,3.8,12
2001,7,3.8,12
2001,8,3.4,12
2001,9,3.8,12
2001,10,3.6,12
2001,11,3.8,12
2001,12,3.6,12
2001,1,4.7,13
2001,2,4.1,13
2001,3,4.4,13
2001,4,3.8,13
2001,5,3.9,13
2001,6,4.6,13
2001,7,4.7,13
2001,8,4.5,13
2001,9,4.1,13
2001,10,4.6,13
2001,11,5.1,13
2001,12,3.7,13
2001,1,4.3,15
2001,2,3.0,15
2001,3,3.6,15
2001,4,3.9,15
2001,5,3.6,15
2001,6,3.4,15
2001,7,3.6,15
2001,8,3.4,15
2001,9,3.0,15
2001,10,4.7,15
2001,11,3.8,15
2001,12,3.3,15
2001,1,6.0,16
2001,2,4.6,16
2001,3,5.4,16
2001,4,5.4,16
2001,5,4.7,16
2001,6,4.7,16
2001,7,4.7,16
2001,8,4.6,16
2001,9,4.4,16
2001,10,5.0,16
2001,11,4.8,16
2001,12,4.4,16
2001,1,4.4,17
2001,2,4.1,17
2001,3,3.5,17
2001,4,3.5,17
2001,5,3.8,17
2001,6,3.9,17
2001,7,3.5,17
2001,8,4.1,17
2001,9,4.1,17
2001,10,3.2,17
2001,11,3.2,17
2001,12,3.8,17
2001,1,5.8,18
2001,2,4.0,18
2001,3,4.7,18
2001,4,4.2,18
2001,5,4.4,18
2001,6,4.6,18
2001,7,4.2,18
2001,8,4.0,18
2001,9,4.2,18
2001,10,3.5,18
2001,11,3.3,18
2001,12,3.3,18
2001,1,4.4,19
2001,2,4.3,19
2001,3,4.3,19
2001,4,4.4,19
2001,5,4.9,19
2001,6,4.6,19
2001,7,4.4,19
2001,8,4.2,19
2001,9,4.3,19
2001,10,4.2,19
2001,11,3.5,19
2001,12,3.7,19
2001,1,4.2,20
2001,2,4.3,20
