year,month,       value,state_code
2016,1,1.6,01
2016,2,1.6,01
2016,3,1.5,01
2016,4,1.7,01
2016,5,1.6,01
2016,6,1.6,01
2016,7,1.7,01
2016,8,1.7,01
2016,9,1.7,01
2016,10,1.9,01
2016,11,1.7,01
2016,12,1.7,01
2016,1,1.3,02
2016,2,1.4,02
2016,3,1.3,02
2016,4,1.2,02
2016,5,1.3,02
2016,6,1.3,02
2016,7,1.3,02
2016,8,1.3,02
2016,9,1.3,02
2016,10,1.3,02
2016,11,1.3,02
2016,12,1.3,02
2016,1,1.4,04
2016,2,1.9,04
2016,3,1.5,04
2016,4,1.7,04
2016,5,1.5,04
2016,6,1.7,04
2016,7,1.5,04
2016,8,1.5,04
2016,9,1.4,04
2016,10,1.6,04
2016,11,1.4,04
2016,12,1.5,04
2016,1,1.2,05
2016,2,1.2,05
2016,3,1.0,05
2016,4,1.1,05
2016,5,1.2,05
2016,6,1.1,05
2016,7,1.2,05
2016,8,1.2,05
2016,9,1.2,05
2016,10,1.2,05
2016,11,1.1,05
2016,12,1.0,05
2016,1,1.7,06
2016,2,1.7,06
2016,3,1.6,06
2016,4,1.6,06
2016,5,1.7,06
2016,6,1.7,06
2016,7,1.7,06
2016,8,1.7,06
2016,9,1.5,06
2016,10,1.6,06
2016,11,1.4,06
2016,12,1.6,06
2016,1,0.8,08
2016,2,0.9,08
2016,3,0.8,08
2016,4,0.8,08
2016,5,0.8,08
2016,6,0.8,08
2016,7,0.7,08
2016,8,0.8,08
2016,9,0.7,08
2016,10,0.7,08
2016,11,0.7,08
2016,12,0.6,08
2016,1,1.6,09
2016,2,1.7,09
2016,3,1.6,09
2016,4,1.7,09
2016,5,1.6,09
2016,6,1.4,09
2016,7,1.5,09
2016,8,1.6,09
2016,9,1.5,09
2016,10,1.7,09
2016,11,1.4,09
2016,12,1.3,09
2016,1,1.0,10
2016,2,1.1,10
2016,3,0.9,10
2016,4,1.0,10
2016,5,1.1,10
2016,6,1.0,10
2016,7,1.1,10
2016,8,1.1,10
2016,9,1.1,10
2016,10,1.3,10
2016,11,1.2,10
2016,12,1.2,10
2016,1,0.8,11
2016,2,1.0,11
2016,3,0.9,11
2016,4,0.7,11
2016,5,0.9,11
2016,6,0.9,11
2016,7,0.8,11
2016,8,0.9,11
2016,9,1.0,11
2016,10,1.0,11
2016,11,0.8,11
2016,12,1.0,11
2016,1,1.5,12
2016,2,1.6,12
2016,3,1.4,12
2016,4,1.5,12
2016,5,1.5,12
2016,6,1.2,12
2016,7,1.4,12
2016,8,1.5,12
2016,9,1.4,12
2016,10,1.4,12
2016,11,1.5,12
2016,12,1.3,12
2016,1,1.4,13
2016,2,1.4,13
2016,3,1.2,13
2016,4,1.4,13
2016,5,1.3,13
2016,6,1.4,13
2016,7,1.4,13
2016,8,1.4,13
2016,9,1.3,13
2016,10,1.4,13
2016,11,1.4,13
2016,12,1.4,13
2016,1,1.0,15
2016,2,0.9,15
2016,3,0.9,15
2016,4,0.8,15
2016,5,0.8,15
2016,6,0.8,15
2016,7,0.8,15
2016,8,0.6,15
2016,9,0.8,15
2016,10,0.9,15
2016,11,0.7,15
2016,12,0.8,15
2016,1,1.1,16
2016,2,1.1,16
2016,3,0.9,16
2016,4,0.8,16
2016,5,0.9,16
2016,6,0.9,16
2016,7,0.9,16
2016,8,0.9,16
2016,9,1.0,16
2016,10,1.0,16
2016,11,0.9,16
2016,12,0.9,16
2016,1,1.7,17
2016,2,1.7,17
2016,3,1.8,17
2016,4,1.8,17
2016,5,1.6,17
2016,6,1.8,17
2016,7,1.6,17
2016,8,1.8,17
2016,9,1.8,17
2016,10,1.7,17
2016,11,1.7,17
2016,12,1.6,17
2016,1,1.4,18
2016,2,1.3,18
2016,3,1.3,18
2016,4,1.4,18
2016,5,1.3,18
2016,6,1.3,18
2016,7,1.2,18
2016,8,1.3,18
2016,9,1.2,18
2016,10,1.3,18
2016,11,1.2,18
2016,12,1.1,18
2016,1,1.0,19
2016,2,1.1,19
2016,3,0.9,19
2016,4,1.0,19
2016,5,1.1,19
2016,6,1.1,19
2016,7,0.9,19
2016,8,1.2,19
2016,9,1.1,19
2016,10,1.1,19
2016,11,1.0,19
2016,12,0.9,19
2016,1,1.1,20
2016,2,1.1,20
2016,3,1.1,20
2016,4,1.1,20
2016,5,1.1,20
2016,6,1.1,20
2016,7,1.0,20
2016,8,1.2,20
2016,9,1.2,20
2016,10,1.1,20
2016,11,1.1,20
2016,12,1.1,20
2016,1,1.1,21
2016,2,1.1,21
2016,3,0.9,21
2016,4,1.1,21
2016,5,1.1,21
2016,6,1.2,21
2016,7,1.1,21
2016,8,1.4,21
2016,9,1.4,21
2016,10,1.5,21
2016,11,1.4,21
2016,12,1.4,21
2016,1,1.5,22
2016,2,1.5,22
2016,3,1.5,22
2016,4,1.7,22
2016,5,1.6,22
2016,6,1.9,22
2016,7,1.8,22
2016,8,1.8,22
2016,9,1.7,22
2016,10,1.9,22
2016,11,1.7,22
2016,12,1.6,22
2016,1,0.9,23
2016,2,1.0,23
2016,3,1.0,23
2016,4,0.7,23
2016,5,1.0,23
2016,6,0.9,23
2016,7,1.0,23
2016,8,1.0,23
2016,9,1.0,23
2016,10,0.9,23
2016,11,0.9,23
2016,12,0.9,23
2016,1,1.2,24
2016,2,1.1,24
2016,3,1.1,24
2016,4,1.2,24
2016,5,1.3,24
2016,6,1.3,24
2016,7,1.2,24
2016,8,1.1,24
2016,9,1.2,24
2016,10,1.2,24
2016,11,1.2,24
2016,12,1.2,24
2016,1,1.1,25
2016,2,1.1,25
2016,3,1.1,25
2016,4,1.1,25
2016,5,1.0,25
2016,6,1.0,25
2016,7,0.9,25
2016,8,1.0,25
2016,9,0.9,25
2016,10,1.0,25
2016,11,1.0,25
2016,12,0.9,25
2016,1,1.5,26
2016,2,1.4,26
2016,3,1.5,26
2016,4,1.4,26
2016,5,1.4,26
2016,6,1.3,26
2016,7,1.3,26
2016,8,1.5,26
2016,9,1.5,26
2016,10,1.4,26
2016,11,1.2,26
2016,12,1.3,26
2016,1,1.0,27
2016,2,1.0,27
2016,3,1.1,27
2016,4,0.9,27
2016,5,1.0,27
2016,6,1.0,27
2016,7,0.9,27
2016,8,0.9,27
2016,9,1.0,27
2016,10,1.1,27
2016,11,1.0,27
2016,12,1.0,27
2016,1,1.6,28
2016,2,1.7,28
2016,3,1.8,28
2016,4,1.9,28
2016,5,1.8,28
2016,6,1.9,28
2016,7,1.9,28
2016,8,1.9,28
2016,9,1.9,28
2016,10,2.0,28
2016,11,1.9,28
2016,12,1.7,28
