year,value,fips,month,county_name,state_abbr,state_name
1990,16582.0,01001,01,Autauga County,AL,Alabama
1990,16591.0,01001,02,Autauga County,AL,Alabama
1990,16719.0,01001,03,Autauga County,AL,Alabama
1990,16898.0,01001,04,Autauga County,AL,Alabama
1990,16889.0,01001,05,Autauga County,AL,Alabama
1990,17122.0,01001,06,Autauga County,AL,Alabama
1990,17170.0,01001,07,Autauga County,AL,Alabama
1990,17115.0,01001,08,Autauga County,AL,Alabama
1990,17007.0,01001,09,Autauga County,AL,Alabama
1990,17150.0,01001,10,Autauga County,AL,Alabama
1990,17010.0,01001,11,Autauga County,AL,Alabama
1990,16974.0,01001,12,Autauga County,AL,Alabama
1990,46050.0,01003,01,Baldwin County,AL,Alabama
1990,46008.0,01003,02,Baldwin County,AL,Alabama
1990,46465.0,01003,03,Baldwin County,AL,Alabama
1990,46343.0,01003,04,Baldwin County,AL,Alabama
1990,46806.0,01003,05,Baldwin County,AL,Alabama
1990,47331.0,01003,06,Baldwin County,AL,Alabama
1990,47631.0,01003,07,Baldwin County,AL,Alabama
1990,46927.0,01003,08,Baldwin County,AL,Alabama
1990,46879.0,01003,09,Baldwin County,AL,Alabama
1990,47055.0,01003,10,Baldwin County,AL,Alabama
1990,47347.0,01003,11,Baldwin County,AL,Alabama
1990,47905.0,01003,12,Baldwin County,AL,Alabama
1990,11249.0,01005,01,Barbour County,AL,Alabama
1990,11130.0,01005,02,Barbour County,AL,Alabama
1990,11381.0,01005,03,Barbour County,AL,Alabama
1990,11262.0,01005,04,Barbour County,AL,Alabama
1990,11369.0,01005,05,Barbour County,AL,Alabama
1990,11693.0,01005,06,Barbour County,AL,Alabama
1990,11594.0,01005,07,Barbour County,AL,Alabama
1990,11662.0,01005,08,Barbour County,AL,Alabama
1990,11652.0,01005,09,Barbour County,AL,Alabama
1990,11679.0,01005,10,Barbour County,AL,Alabama
1990,11756.0,01005,11,Barbour County,AL,Alabama
1990,11698.0,01005,12,Barbour County,AL,Alabama
1990,7405.0,01007,01,Bibb County,AL,Alabama
1990,7363.0,01007,02,Bibb County,AL,Alabama
1990,7314.0,01007,03,Bibb County,AL,Alabama
1990,7225.0,01007,04,Bibb County,AL,Alabama
1990,7282.0,01007,05,Bibb County,AL,Alabama
1990,7573.0,01007,06,Bibb County,AL,Alabama
1990,7502.0,01007,07,Bibb County,AL,Alabama
1990,8066.0,01007,08,Bibb County,AL,Alabama
1990,7469.0,01007,09,Bibb County,AL,Alabama
1990,7544.0,01007,10,Bibb County,AL,Alabama
1990,7390.0,01007,11,Bibb County,AL,Alabama
1990,7254.0,01007,12,Bibb County,AL,Alabama
1990,18750.0,01009,01,Blount County,AL,Alabama
1990,18860.0,01009,02,Blount County,AL,Alabama
1990,20172.0,01009,03,Blount County,AL,Alabama
1990,18995.0,01009,04,Blount County,AL,Alabama
1990,18959.0,01009,05,Blount County,AL,Alabama
1990,19120.0,01009,06,Blount County,AL,Alabama
1990,19252.0,01009,07,Blount County,AL,Alabama
1990,19254.0,01009,08,Blount County,AL,Alabama
1990,19106.0,01009,09,Blount County,AL,Alabama
1990,19291.0,01009,10,Blount County,AL,Alabama
1990,19279.0,01009,11,Blount County,AL,Alabama
1990,19317.0,01009,12,Blount County,AL,Alabama
1990,4236.0,01011,01,Bullock County,AL,Alabama
1990,4205.0,01011,02,Bullock County,AL,Alabama
1990,4209.0,01011,03,Bullock County,AL,Alabama
1990,4329.0,01011,04,Bullock County,AL,Alabama
1990,4288.0,01011,05,Bullock County,AL,Alabama
1990,4577.0,01011,06,Bullock County,AL,Alabama
1990,4680.0,01011,07,Bullock County,AL,Alabama
1990,4531.0,01011,08,Bullock County,AL,Alabama
1990,4489.0,01011,09,Bullock County,AL,Alabama
1990,4536.0,01011,10,Bullock County,AL,Alabama
1990,4481.0,01011,11,Bullock County,AL,Alabama
1990,4428.0,01011,12,Bullock County,AL,Alabama
1990,8943.0,01013,01,Butler County,AL,Alabama
1990,8781.0,01013,02,Butler County,AL,Alabama
1990,8775.0,01013,03,Butler County,AL,Alabama
1990,8887.0,01013,04,Butler County,AL,Alabama
1990,8957.0,01013,05,Butler County,AL,Alabama
1990,9152.0,01013,06,Butler County,AL,Alabama
1990,8964.0,01013,07,Butler County,AL,Alabama
1990,8926.0,01013,08,Butler County,AL,Alabama
1990,8803.0,01013,09,Butler County,AL,Alabama
1990,8837.0,01013,10,Butler County,AL,Alabama
1990,8647.0,01013,11,Butler County,AL,Alabama
1990,8612.0,01013,12,Butler County,AL,Alabama
1990,51370.0,01015,01,Calhoun County,AL,Alabama
1990,51426.0,01015,02,Calhoun County,AL,Alabama
1990,51955.0,01015,03,Calhoun County,AL,Alabama
1990,51589.0,01015,04,Calhoun County,AL,Alabama
1990,51347.0,01015,05,Calhoun County,AL,Alabama
1990,51753.0,01015,06,Calhoun County,AL,Alabama
1990,52137.0,01015,07,Calhoun County,AL,Alabama
1990,51743.0,01015,08,Calhoun County,AL,Alabama
1990,51304.0,01015,09,Calhoun County,AL,Alabama
1990,51536.0,01015,10,Calhoun County,AL,Alabama
1990,51510.0,01015,11,Calhoun County,AL,Alabama
1990,51575.0,01015,12,Calhoun County,AL,Alabama
1990,17560.0,01017,01,Chambers County,AL,Alabama
