year,value,fips,month,county_name,state_abbr,state_name
2024,2.7,01001,01,Autauga County,AL,Alabama
2024,3.0,01001,02,Autauga County,AL,Alabama
2024,3.2,01003,01,Baldwin County,AL,Alabama
2024,3.2,01003,02,Baldwin County,AL,Alabama
2024,5.4,01005,01,Barbour County,AL,Alabama
2024,5.9,01005,02,Barbour County,AL,Alabama
2024,3.1,01007,01,Bibb County,AL,Alabama
2024,3.4,01007,02,Bibb County,AL,Alabama
2024,3.0,01009,01,Blount County,AL,Alabama
2024,3.1,01009,02,Blount County,AL,Alabama
2024,3.0,01011,01,Bullock County,AL,Alabama
2024,3.6,01011,02,Bullock County,AL,Alabama
2024,3.9,01013,01,Butler County,AL,Alabama
2024,4.1,01013,02,Butler County,AL,Alabama
2024,3.8,01015,01,Calhoun County,AL,Alabama
2024,3.9,01015,02,Calhoun County,AL,Alabama
2024,3.6,01017,01,Chambers County,AL,Alabama
2024,3.3,01017,02,Chambers County,AL,Alabama
2024,3.3,01019,01,Cherokee County,AL,Alabama
2024,3.1,01019,02,Cherokee County,AL,Alabama
2024,2.8,01021,01,Chilton County,AL,Alabama
2024,3.0,01021,02,Chilton County,AL,Alabama
2024,5.1,01023,01,Choctaw County,AL,Alabama
2024,4.8,01023,02,Choctaw County,AL,Alabama
2024,7.1,01025,01,Clarke County,AL,Alabama
2024,6.5,01025,02,Clarke County,AL,Alabama
2024,3.0,01027,01,Clay County,AL,Alabama
2024,3.4,01027,02,Clay County,AL,Alabama
2024,3.0,01029,01,Cleburne County,AL,Alabama
2024,3.3,01029,02,Cleburne County,AL,Alabama
2024,3.2,01031,01,Coffee County,AL,Alabama
2024,3.5,01031,02,Coffee County,AL,Alabama
2024,4.1,01033,01,Colbert County,AL,Alabama
2024,3.8,01033,02,Colbert County,AL,Alabama
2024,4.4,01035,01,Conecuh County,AL,Alabama
2024,4.6,01035,02,Conecuh County,AL,Alabama
2024,3.8,01037,01,Coosa County,AL,Alabama
2024,3.5,01037,02,Coosa County,AL,Alabama
2024,3.9,01039,01,Covington County,AL,Alabama
2024,3.9,01039,02,Covington County,AL,Alabama
2024,3.5,01041,01,Crenshaw County,AL,Alabama
2024,3.5,01041,02,Crenshaw County,AL,Alabama
2024,2.7,01043,01,Cullman County,AL,Alabama
2024,2.9,01043,02,Cullman County,AL,Alabama
2024,3.5,01045,01,Dale County,AL,Alabama
2024,3.6,01045,02,Dale County,AL,Alabama
2024,6.8,01047,01,Dallas County,AL,Alabama
2024,6.8,01047,02,Dallas County,AL,Alabama
2024,3.0,01049,01,DeKalb County,AL,Alabama
2024,3.1,01049,02,DeKalb County,AL,Alabama
2024,2.9,01051,01,Elmore County,AL,Alabama
2024,2.9,01051,02,Elmore County,AL,Alabama
2024,4.3,01053,01,Escambia County,AL,Alabama
2024,4.0,01053,02,Escambia County,AL,Alabama
2024,3.9,01055,01,Etowah County,AL,Alabama
2024,3.9,01055,02,Etowah County,AL,Alabama
2024,4.3,01057,01,Fayette County,AL,Alabama
2024,4.1,01057,02,Fayette County,AL,Alabama
2024,3.0,01059,01,Franklin County,AL,Alabama
2024,3.2,01059,02,Franklin County,AL,Alabama
2024,3.2,01061,01,Geneva County,AL,Alabama
2024,3.3,01061,02,Geneva County,AL,Alabama
2024,7.3,01063,01,Greene County,AL,Alabama
2024,6.5,01063,02,Greene County,AL,Alabama
2024,4.3,01065,01,Hale County,AL,Alabama
2024,4.4,01065,02,Hale County,AL,Alabama
2024,3.4,01067,01,Henry County,AL,Alabama
2024,3.8,01067,02,Henry County,AL,Alabama
2024,3.6,01069,01,Houston County,AL,Alabama
2024,3.5,01069,02,Houston County,AL,Alabama
2024,3.3,01071,01,Jackson County,AL,Alabama
2024,3.5,01071,02,Jackson County,AL,Alabama
2024,3.2,01073,01,Jefferson County,AL,Alabama
2024,3.3,01073,02,Jefferson County,AL,Alabama
2024,4.0,01075,01,Lamar County,AL,Alabama
2024,3.6,01075,02,Lamar County,AL,Alabama
2024,3.5,01077,01,Lauderdale County,AL,Alabama
2024,3.4,01077,02,Lauderdale County,AL,Alabama
2024,3.0,01079,01,Lawrence County,AL,Alabama
2024,3.1,01079,02,Lawrence County,AL,Alabama
2024,3.0,01081,01,Lee County,AL,Alabama
2024,3.1,01081,02,Lee County,AL,Alabama
2024,2.7,01083,01,Limestone County,AL,Alabama
2024,2.8,01083,02,Limestone County,AL,Alabama
2024,6.0,01085,01,Lowndes County,AL,Alabama
2024,5.7,01085,02,Lowndes County,AL,Alabama
2024,4.0,01087,01,Macon County,AL,Alabama
2024,4.0,01087,02,Macon County,AL,Alabama
2024,2.8,01089,01,Madison County,AL,Alabama
2024,2.8,01089,02,Madison County,AL,Alabama
2024,4.0,01091,01,Marengo County,AL,Alabama
2024,4.2,01091,02,Marengo County,AL,Alabama
2024,4.0,01093,01,Marion County,AL,Alabama
2024,3.6,01093,02,Marion County,AL,Alabama
2024,2.7,01095,01,Marshall County,AL,Alabama
2024,2.9,01095,02,Marshall County,AL,Alabama
2024,4.5,01097,01,Mobile County,AL,Alabama
2024,4.4,01097,02,Mobile County,AL,Alabama
2024,5.7,01099,01,Monroe County,AL,Alabama
2024,5.8,01099,02,Monroe County,AL,Alabama
2024,3.6,01101,01,Montgomery County,AL,Alabama
2024,3.6,01101,02,Montgomery County,AL,Alabama
2024,2.6,01103,01,Morgan County,AL,Alabama
2024,2.7,01103,02,Morgan County,AL,Alabama
2024,6.8,01105,01,Perry County,AL,Alabama
2024,6.6,01105,02,Perry County,AL,Alabama
2024,4.2,01107,01,Pickens County,AL,Alabama
2024,4.2,01107,02,Pickens County,AL,Alabama
2024,3.5,01109,01,Pike County,AL,Alabama
2024,3.6,01109,02,Pike County,AL,Alabama
2024,3.4,01111,01,Randolph County,AL,Alabama
2024,3.5,01111,02,Randolph County,AL,Alabama
2024,4.1,01113,01,Russell County,AL,Alabama
2024,3.9,01113,02,Russell County,AL,Alabama
2024,2.9,01115,01,St. Clair County,AL,Alabama
2024,3.0,01115,02,St. Clair County,AL,Alabama
2024,2.5,01117,01,Shelby County,AL,Alabama
2024,2.6,01117,02,Shelby County,AL,Alabama
2024,4.9,01119,01,Sumter County,AL,Alabama
2024,5.2,01119,02,Sumter County,AL,Alabama
2024,3.7,01121,01,Talladega County,AL,Alabama
2024,3.7,01121,02,Talladega County,AL,Alabama
2024,3.3,01123,01,Tallapoosa County,AL,Alabama
2024,3.3,01123,02,Tallapoosa County,AL,Alabama
2024,3.0,01125,01,Tuscaloosa County,AL,Alabama
2024,3.2,01125,02,Tuscaloosa County,AL,Alabama
2024,3.5,01127,01,Walker County,AL,Alabama
2024,3.6,01127,02,Walker County,AL,Alabama
2024,3.7,01129,01,Washington County,AL,Alabama
2024,3.8,01129,02,Washington County,AL,Alabama
2024,10.4,01131,01,Wilcox County,AL,Alabama
2024,10.6,01131,02,Wilcox County,AL,Alabama
2024,3.7,01133,01,Winston County,AL,Alabama
2024,3.7,01133,02,Winston County,AL,Alabama
2024,2.8,02013,01,Aleutians East Borough,AK,Alaska
2024,2.6,02013,02,Aleutians East Borough,AK,Alaska
2024,3.7,02016,01,Aleutians West Census Area,AK,Alaska
2024,2.4,02016,02,Aleutians West Census Area,AK,Alaska
2024,4.1,02020,01,Anchorage Municipality,AK,Alaska
2024,4.4,02020,02,Anchorage Municipality,AK,Alaska
2024,11.4,02050,01,Bethel Census Area,AK,Alaska
2024,12.4,02050,02,Bethel Census Area,AK,Alaska
2024,9.3,02060,01,Bristol Bay Borough,AK,Alaska
2024,9.8,02060,02,Bristol Bay Borough,AK,Alaska
2024,14.2,02068,01,Denali Borough,AK,Alaska
2024,14.0,02068,02,Denali Borough,AK,Alaska
2024,8.5,02070,01,Dillingham Census Area,AK,Alaska
2024,9.1,02070,02,Dillingham Census Area,AK,Alaska
2024,4.7,02090,01,Fairbanks North Star Borough,AK,Alaska
2024,4.9,02090,02,Fairbanks North Star Borough,AK,Alaska
2024,11.1,02100,01,Haines Borough,AK,Alaska
2024,12.4,02100,02,Haines Borough,AK,Alaska
2024,11.4,02105,01,Hoonah-Angoon Census Area,AK,Alaska
2024,12.2,02105,02,Hoonah-Angoon Census Area,AK,Alaska
2024,3.9,02110,01,Juneau City and Borough,AK,Alaska
2024,4.3,02110,02,Juneau City and Borough,AK,Alaska
2024,6.2,02122,01,Kenai Peninsula Borough,AK,Alaska
2024,7.0,02122,02,Kenai Peninsula Borough,AK,Alaska
2024,5.2,02130,01,Ketchikan Gateway Borough,AK,Alaska
2024,5.6,02130,02,Ketchikan Gateway Borough,AK,Alaska
2024,7.9,02150,01,Kodiak Island Borough,AK,Alaska
2024,5.0,02150,02,Kodiak Island Borough,AK,Alaska
2024,16.7,02158,01,Kusilvak Census Area,AK,Alaska
2024,18.0,02158,02,Kusilvak Census Area,AK,Alaska
2024,7.3,02164,01,Lake and Peninsula Borough,AK,Alaska
2024,7.7,02164,02,Lake and Peninsula Borough,AK,Alaska
2024,5.7,02170,01,Matanuska-Susitna Borough,AK,Alaska
2024,6.3,02170,02,Matanuska-Susitna Borough,AK,Alaska
2024,8.7,02180,01,Nome Census Area,AK,Alaska
2024,9.3,02180,02,Nome Census Area,AK,Alaska
2024,4.8,02185,01,North Slope Borough,AK,Alaska
2024,5.5,02185,02,North Slope Borough,AK,Alaska
2024,10.2,02188,01,Northwest Arctic Borough,AK,Alaska
2024,11.8,02188,02,Northwest Arctic Borough,AK,Alaska
2024,7.4,02195,01,Petersburg Borough,AK,Alaska
2024,6.8,02195,02,Petersburg Borough,AK,Alaska
2024,8.3,02198,01,Prince of Wales-Hyder Census Area,AK,Alaska
2024,9.5,02198,02,Prince of Wales-Hyder Census Area,AK,Alaska
2024,4.0,02220,01,Sitka City and Borough,AK,Alaska
2024,4.3,02220,02,Sitka City and Borough,AK,Alaska
2024,14.9,02230,01,Skagway Municipality,AK,Alaska
2024,17.4,02230,02,Skagway Municipality,AK,Alaska
2024,7.2,02240,01,Southeast Fairbanks Census Area,AK,Alaska
2024,7.4,02240,02,Southeast Fairbanks Census Area,AK,Alaska
2024,6.3,02275,01,Wrangell City and Borough,AK,Alaska
2024,7.1,02275,02,Wrangell City and Borough,AK,Alaska
2024,8.7,02282,01,Yakutat City and Borough,AK,Alaska
2024,11.4,02282,02,Yakutat City and Borough,AK,Alaska
2024,10.9,02290,01,Yukon-Koyukuk Census Area,AK,Alaska
2024,12.3,02290,02,Yukon-Koyukuk Census Area,AK,Alaska
2024,7.9,04001,01,Apache County,AZ,Arizona
2024,7.4,04001,02,Apache County,AZ,Arizona
2024,4.4,04003,01,Cochise County,AZ,Arizona
2024,4.3,04003,02,Cochise County,AZ,Arizona
2024,4.3,04005,01,Coconino County,AZ,Arizona
2024,4.1,04005,02,Coconino County,AZ,Arizona
2024,4.3,04007,01,Gila County,AZ,Arizona
2024,4.2,04007,02,Gila County,AZ,Arizona
2024,3.6,04009,01,Graham County,AZ,Arizona
2024,3.3,04009,02,Graham County,AZ,Arizona
2024,2.8,04011,01,Greenlee County,AZ,Arizona
2024,2.8,04011,02,Greenlee County,AZ,Arizona
2024,4.6,04012,01,La Paz County,AZ,Arizona
2024,4.5,04012,02,La Paz County,AZ,Arizona
2024,3.3,04013,01,Maricopa County,AZ,Arizona
2024,3.2,04013,02,Maricopa County,AZ,Arizona
2024,4.5,04015,01,Mohave County,AZ,Arizona
2024,4.5,04015,02,Mohave County,AZ,Arizona
2024,6.0,04017,01,Navajo County,AZ,Arizona
2024,5.6,04017,02,Navajo County,AZ,Arizona
2024,3.7,04019,01,Pima County,AZ,Arizona
2024,3.6,04019,02,Pima County,AZ,Arizona
2024,4.1,04021,01,Pinal County,AZ,Arizona
2024,4.0,04021,02,Pinal County,AZ,Arizona
2024,6.4,04023,01,Santa Cruz County,AZ,Arizona
2024,5.9,04023,02,Santa Cruz County,AZ,Arizona
2024,3.5,04025,01,Yavapai County,AZ,Arizona
2024,3.5,04025,02,Yavapai County,AZ,Arizona
2024,11.1,04027,01,Yuma County,AZ,Arizona
2024,9.7,04027,02,Yuma County,AZ,Arizona
2024,3.4,05001,01,Arkansas County,AR,Arkansas
2024,3.0,05001,02,Arkansas County,AR,Arkansas
2024,6.7,05003,01,Ashley County,AR,Arkansas
