year,value,state_fip,month,state_name,state_abbr
1991,1779517.0,01,01,Alabama,AL
1991,1780932.0,01,02,Alabama,AL
1991,1782147.0,01,03,Alabama,AL
1991,1782930.0,01,04,Alabama,AL
1991,1783310.0,01,05,Alabama,AL
1991,1783477.0,01,06,Alabama,AL
1991,1783529.0,01,07,Alabama,AL
1991,1783691.0,01,08,Alabama,AL
1991,1784311.0,01,09,Alabama,AL
1991,1785187.0,01,10,Alabama,AL
1991,1786147.0,01,11,Alabama,AL
1991,1787353.0,01,12,Alabama,AL
1991,252522.0,02,01,Alaska,AK
1991,252497.0,02,02,Alaska,AK
1991,252507.0,02,03,Alaska,AK
1991,252646.0,02,04,Alaska,AK
1991,252909.0,02,05,Alaska,AK
1991,253159.0,02,06,Alaska,AK
1991,253312.0,02,07,Alaska,AK
1991,253404.0,02,08,Alaska,AK
1991,253585.0,02,09,Alaska,AK
1991,253941.0,02,10,Alaska,AK
1991,254443.0,02,11,Alaska,AK
1991,255040.0,02,12,Alaska,AK
1991,1700897.0,04,01,Arizona,AZ
1991,1700010.0,04,02,Arizona,AZ
1991,1700024.0,04,03,Arizona,AZ
1991,1700544.0,04,04,Arizona,AZ
1991,1701072.0,04,05,Arizona,AZ
1991,1701667.0,04,06,Arizona,AZ
1991,1702473.0,04,07,Arizona,AZ
1991,1703299.0,04,08,Arizona,AZ
1991,1704266.0,04,09,Arizona,AZ
1991,1705230.0,04,10,Arizona,AZ
1991,1706280.0,04,11,Arizona,AZ
1991,1707766.0,04,12,Arizona,AZ
1991,1048764.0,05,01,Arkansas,AR
1991,1048078.0,05,02,Arkansas,AR
1991,1047778.0,05,03,Arkansas,AR
1991,1047948.0,05,04,Arkansas,AR
1991,1048738.0,05,05,Arkansas,AR
1991,1050221.0,05,06,Arkansas,AR
1991,1052135.0,05,07,Arkansas,AR
1991,1054326.0,05,08,Arkansas,AR
1991,1056762.0,05,09,Arkansas,AR
1991,1059331.0,05,10,Arkansas,AR
1991,1062055.0,05,11,Arkansas,AR
1991,1065036.0,05,12,Arkansas,AR
1991,14041881.0,06,01,California,CA
1991,14007246.0,06,02,California,CA
1991,13978756.0,06,03,California,CA
1991,13956787.0,06,04,California,CA
1991,13941896.0,06,05,California,CA
1991,13933881.0,06,06,California,CA
1991,13930842.0,06,07,California,CA
1991,13930143.0,06,08,California,CA
1991,13929655.0,06,09,California,CA
1991,13926208.0,06,10,California,CA
1991,13918928.0,06,11,California,CA
1991,13908998.0,06,12,California,CA
1991,1702179.0,08,01,Colorado,CO
1991,1703408.0,08,02,Colorado,CO
1991,1704804.0,08,03,Colorado,CO
1991,1706321.0,08,04,Colorado,CO
1991,1708140.0,08,05,Colorado,CO
1991,1709984.0,08,06,Colorado,CO
1991,1711091.0,08,07,Colorado,CO
1991,1711313.0,08,08,Colorado,CO
1991,1711057.0,08,09,Colorado,CO
1991,1710534.0,08,10,Colorado,CO
1991,1710283.0,08,11,Colorado,CO
1991,1710621.0,08,12,Colorado,CO
1991,1717520.0,09,01,Connecticut,CT
1991,1716372.0,09,02,Connecticut,CT
1991,1715093.0,09,03,Connecticut,CT
1991,1713438.0,09,04,Connecticut,CT
1991,1711538.0,09,05,Connecticut,CT
1991,1709742.0,09,06,Connecticut,CT
1991,1708138.0,09,07,Connecticut,CT
1991,1706671.0,09,08,Connecticut,CT
1991,1705240.0,09,09,Connecticut,CT
1991,1703402.0,09,10,Connecticut,CT
1991,1700802.0,09,11,Connecticut,CT
1991,1697588.0,09,12,Connecticut,CT
1991,339352.0,10,01,Delaware,DE
1991,339382.0,10,02,Delaware,DE
1991,339595.0,10,03,Delaware,DE
1991,339735.0,10,04,Delaware,DE
1991,339715.0,10,05,Delaware,DE
1991,339713.0,10,06,Delaware,DE
1991,339951.0,10,07,Delaware,DE
1991,340480.0,10,08,Delaware,DE
1991,341264.0,10,09,Delaware,DE
1991,342071.0,10,10,Delaware,DE
1991,342743.0,10,11,Delaware,DE
1991,343313.0,10,12,Delaware,DE
1991,297870.0,11,01,District of Columbia,DC
1991,297262.0,11,02,District of Columbia,DC
1991,296694.0,11,03,District of Columbia,DC
1991,296288.0,11,04,District of Columbia,DC
1991,296020.0,11,05,District of Columbia,DC
1991,295819.0,11,06,District of Columbia,DC
1991,295532.0,11,07,District of Columbia,DC
1991,295128.0,11,08,District of Columbia,DC
1991,294727.0,11,09,District of Columbia,DC
1991,294284.0,11,10,District of Columbia,DC
1991,293836.0,11,11,District of Columbia,DC
1991,293470.0,11,12,District of Columbia,DC
1991,6036418.0,12,01,Florida,FL
1991,6022155.0,12,02,Florida,FL
1991,6011904.0,12,03,Florida,FL
1991,6006927.0,12,04,Florida,FL
1991,6006811.0,12,05,Florida,FL
1991,6009923.0,12,06,Florida,FL
1991,6013813.0,12,07,Florida,FL
1991,6016467.0,12,08,Florida,FL
1991,6017182.0,12,09,Florida,FL
1991,6015959.0,12,10,Florida,FL
1991,6013806.0,12,11,Florida,FL
1991,6012430.0,12,12,Florida,FL
1991,3118417.0,13,01,Georgia,GA
1991,3121165.0,13,02,Georgia,GA
1991,3124983.0,13,03,Georgia,GA
1991,3129497.0,13,04,Georgia,GA
1991,3134286.0,13,05,Georgia,GA
1991,3138864.0,13,06,Georgia,GA
1991,3143241.0,13,07,Georgia,GA
1991,3147833.0,13,08,Georgia,GA
1991,3152742.0,13,09,Georgia,GA
1991,3157237.0,13,10,Georgia,GA
1991,3160744.0,13,11,Georgia,GA
1991,3163383.0,13,12,Georgia,GA
1991,546983.0,15,01,Hawaii,HI
1991,547401.0,15,02,Hawaii,HI
1991,547554.0,15,03,Hawaii,HI
1991,547736.0,15,04,Hawaii,HI
1991,548157.0,15,05,Hawaii,HI
1991,548847.0,15,06,Hawaii,HI
1991,549649.0,15,07,Hawaii,HI
1991,550345.0,15,08,Hawaii,HI
1991,550764.0,15,09,Hawaii,HI
1991,550870.0,15,10,Hawaii,HI
1991,550798.0,15,11,Hawaii,HI
1991,550709.0,15,12,Hawaii,HI
1991,468000.0,16,01,Idaho,ID
1991,469509.0,16,02,Idaho,ID
1991,471259.0,16,03,Idaho,ID
1991,473148.0,16,04,Idaho,ID
1991,475131.0,16,05,Idaho,ID
1991,477179.0,16,06,Idaho,ID
1991,479113.0,16,07,Idaho,ID
1991,480798.0,16,08,Idaho,ID
1991,482220.0,16,09,Idaho,ID
1991,483298.0,16,10,Idaho,ID
1991,484163.0,16,11,Idaho,ID
1991,485146.0,16,12,Idaho,ID
1991,5549549.0,17,01,Illinois,IL
1991,5544901.0,17,02,Illinois,IL
1991,5536746.0,17,03,Illinois,IL
1991,5526693.0,17,04,Illinois,IL
1991,5515850.0,17,05,Illinois,IL
1991,5504263.0,17,06,Illinois,IL
1991,5491052.0,17,07,Illinois,IL
1991,5477621.0,17,08,Illinois,IL
1991,5466879.0,17,09,Illinois,IL
1991,5460625.0,17,10,Illinois,IL
1991,5459501.0,17,11,Illinois,IL
1991,5463670.0,17,12,Illinois,IL
1991,2646324.0,18,01,Indiana,IN
1991,2642477.0,18,02,Indiana,IN
1991,2640135.0,18,03,Indiana,IN
1991,2639306.0,18,04,Indiana,IN
1991,2639414.0,18,05,Indiana,IN
1991,2640172.0,18,06,Indiana,IN
1991,2640755.0,18,07,Indiana,IN
1991,2640826.0,18,08,Indiana,IN
1991,2641294.0,18,09,Indiana,IN
1991,2642723.0,18,10,Indiana,IN
1991,2645103.0,18,11,Indiana,IN
1991,2648239.0,18,12,Indiana,IN
1991,1390903.0,19,01,Iowa,IA
1991,1391902.0,19,02,Iowa,IA
1991,1393907.0,19,03,Iowa,IA
1991,1396635.0,19,04,Iowa,IA
1991,1399625.0,19,05,Iowa,IA
1991,1402348.0,19,06,Iowa,IA
1991,1404249.0,19,07,Iowa,IA
1991,1405115.0,19,08,Iowa,IA
1991,1405265.0,19,09,Iowa,IA
1991,1405140.0,19,10,Iowa,IA
1991,1412112.0,19,11,Iowa,IA
1991,1419539.0,19,12,Iowa,IA
1991,1221724.0,20,01,Kansas,KS
1991,1222640.0,20,02,Kansas,KS
1991,1223776.0,20,03,Kansas,KS
1991,1224891.0,20,04,Kansas,KS
1991,1225852.0,20,05,Kansas,KS
1991,1226704.0,20,06,Kansas,KS
1991,1227613.0,20,07,Kansas,KS
1991,1228907.0,20,08,Kansas,KS
1991,1230817.0,20,09,Kansas,KS
1991,1233184.0,20,10,Kansas,KS
1991,1235798.0,20,11,Kansas,KS
1991,1238457.0,20,12,Kansas,KS
1991,1634422.0,21,01,Kentucky,KY
1991,1633789.0,21,02,Kentucky,KY
1991,1633636.0,21,03,Kentucky,KY
1991,1633427.0,21,04,Kentucky,KY
1991,1632847.0,21,05,Kentucky,KY
1991,1631860.0,21,06,Kentucky,KY
1991,1630537.0,21,07,Kentucky,KY
1991,1629249.0,21,08,Kentucky,KY
1991,1628648.0,21,09,Kentucky,KY
1991,1628678.0,21,10,Kentucky,KY
1991,1629195.0,21,11,Kentucky,KY
1991,1630202.0,21,12,Kentucky,KY
1991,1755975.0,22,01,Louisiana,LA
1991,1757873.0,22,02,Louisiana,LA
1991,1759806.0,22,03,Louisiana,LA
1991,1761668.0,22,04,Louisiana,LA
1991,1763693.0,22,05,Louisiana,LA
1991,1766104.0,22,06,Louisiana,LA
1991,1768782.0,22,07,Louisiana,LA
1991,1771424.0,22,08,Louisiana,LA
1991,1773739.0,22,09,Louisiana,LA
1991,1775371.0,22,10,Louisiana,LA
1991,1776222.0,22,11,Louisiana,LA
1991,1776474.0,22,12,Louisiana,LA
1991,592306.0,23,01,Maine,ME
1991,591524.0,23,02,Maine,ME
1991,590615.0,23,03,Maine,ME
1991,589790.0,23,04,Maine,ME
1991,589241.0,23,05,Maine,ME
1991,589171.0,23,06,Maine,ME
1991,589596.0,23,07,Maine,ME
1991,590259.0,23,08,Maine,ME
1991,590869.0,23,09,Maine,ME
