year,value,state_fip,month,state_name,state_abbr
1982,215903.0,01,01,Alabama,AL
1982,221066.0,01,02,Alabama,AL
1982,225734.0,01,03,Alabama,AL
1982,230204.0,01,04,Alabama,AL
1982,234451.0,01,05,Alabama,AL
1982,238619.0,01,06,Alabama,AL
1982,242924.0,01,07,Alabama,AL
1982,247343.0,01,08,Alabama,AL
1982,251726.0,01,09,Alabama,AL
1982,255659.0,01,10,Alabama,AL
1982,258548.0,01,11,Alabama,AL
1982,259767.0,01,12,Alabama,AL
1982,20223.0,02,01,Alaska,AK
1982,20377.0,02,02,Alaska,AK
1982,20540.0,02,03,Alaska,AK
1982,20707.0,02,04,Alaska,AK
1982,20861.0,02,05,Alaska,AK
1982,21011.0,02,06,Alaska,AK
1982,21197.0,02,07,Alaska,AK
1982,21475.0,02,08,Alaska,AK
1982,21905.0,02,09,Alaska,AK
1982,22466.0,02,10,Alaska,AK
1982,23062.0,02,11,Alaska,AK
1982,23560.0,02,12,Alaska,AK
1982,102097.0,04,01,Arizona,AZ
1982,108354.0,04,02,Arizona,AZ
1982,114522.0,04,03,Arizona,AZ
1982,120586.0,04,04,Arizona,AZ
1982,126518.0,04,05,Arizona,AZ
1982,132309.0,04,06,Arizona,AZ
1982,138087.0,04,07,Arizona,AZ
1982,143795.0,04,08,Arizona,AZ
1982,149402.0,04,09,Arizona,AZ
1982,154583.0,04,10,Arizona,AZ
1982,158474.0,04,11,Arizona,AZ
1982,160142.0,04,12,Arizona,AZ
1982,94561.0,05,01,Arkansas,AR
1982,94880.0,05,02,Arkansas,AR
1982,94796.0,05,03,Arkansas,AR
1982,94585.0,05,04,Arkansas,AR
1982,94465.0,05,05,Arkansas,AR
1982,94510.0,05,06,Arkansas,AR
1982,94878.0,05,07,Arkansas,AR
1982,95817.0,05,08,Arkansas,AR
1982,97409.0,05,09,Arkansas,AR
1982,99453.0,05,10,Arkansas,AR
1982,101511.0,05,11,Arkansas,AR
1982,103096.0,05,12,Arkansas,AR
1982,1056846.0,06,01,California,CA
1982,1092597.0,06,02,California,CA
1982,1126322.0,06,03,California,CA
1982,1158103.0,06,04,California,CA
1982,1187432.0,06,05,California,CA
1982,1214905.0,06,06,California,CA
1982,1242401.0,06,07,California,CA
1982,1271017.0,06,08,California,CA
1982,1300229.0,06,09,California,CA
1982,1327136.0,06,10,California,CA
1982,1347378.0,06,11,California,CA
1982,1356607.0,06,12,California,CA
1982,96760.0,08,01,Colorado,CO
1982,100457.0,08,02,Colorado,CO
1982,104095.0,08,03,Colorado,CO
1982,107913.0,08,04,Colorado,CO
1982,112180.0,08,05,Colorado,CO
1982,117309.0,08,06,Colorado,CO
1982,123511.0,08,07,Colorado,CO
1982,130320.0,08,08,Colorado,CO
1982,136590.0,08,09,Colorado,CO
1982,141201.0,08,10,Colorado,CO
1982,143871.0,08,11,Colorado,CO
1982,144698.0,08,12,Colorado,CO
1982,108261.0,09,01,Connecticut,CT
1982,109384.0,09,02,Connecticut,CT
1982,110175.0,09,03,Connecticut,CT
1982,110634.0,09,04,Connecticut,CT
1982,110795.0,09,05,Connecticut,CT
1982,110751.0,09,06,Connecticut,CT
1982,110671.0,09,07,Connecticut,CT
1982,110700.0,09,08,Connecticut,CT
1982,110882.0,09,09,Connecticut,CT
1982,111084.0,09,10,Connecticut,CT
1982,111107.0,09,11,Connecticut,CT
1982,110625.0,09,12,Connecticut,CT
1982,24714.0,10,01,Delaware,DE
1982,24886.0,10,02,Delaware,DE
1982,24852.0,10,03,Delaware,DE
1982,24689.0,10,04,Delaware,DE
1982,24472.0,10,05,Delaware,DE
1982,24283.0,10,06,Delaware,DE
1982,24211.0,10,07,Delaware,DE
1982,24281.0,10,08,Delaware,DE
1982,24426.0,10,09,Delaware,DE
1982,24601.0,10,10,Delaware,DE
1982,24762.0,10,11,Delaware,DE
1982,24838.0,10,12,Delaware,DE
1982,29343.0,11,01,District of Columbia,DC
1982,29993.0,11,02,District of Columbia,DC
1982,30612.0,11,03,District of Columbia,DC
1982,31120.0,11,04,District of Columbia,DC
1982,31467.0,11,05,District of Columbia,DC
1982,31699.0,11,06,District of Columbia,DC
1982,31924.0,11,07,District of Columbia,DC
1982,32298.0,11,08,District of Columbia,DC
1982,32906.0,11,09,District of Columbia,DC
1982,33639.0,11,10,District of Columbia,DC
1982,34365.0,11,11,District of Columbia,DC
1982,34936.0,11,12,District of Columbia,DC
1982,357169.0,12,01,Florida,FL
1982,365295.0,12,02,Florida,FL
1982,372942.0,12,03,Florida,FL
1982,380198.0,12,04,Florida,FL
1982,386885.0,12,05,Florida,FL
1982,393189.0,12,06,Florida,FL
1982,400024.0,12,07,Florida,FL
1982,408495.0,12,08,Florida,FL
1982,418777.0,12,09,Florida,FL
1982,429562.0,12,10,Florida,FL
1982,438970.0,12,11,Florida,FL
1982,445023.0,12,12,Florida,FL
1982,193331.0,13,01,Georgia,GA
1982,195795.0,13,02,Georgia,GA
1982,197656.0,13,03,Georgia,GA
1982,199089.0,13,04,Georgia,GA
1982,200147.0,13,05,Georgia,GA
1982,201273.0,13,06,Georgia,GA
1982,203363.0,13,07,Georgia,GA
1982,207098.0,13,08,Georgia,GA
1982,212578.0,13,09,Georgia,GA
1982,218978.0,13,10,Georgia,GA
1982,224610.0,13,11,Georgia,GA
1982,227682.0,13,12,Georgia,GA
1982,26366.0,15,01,Hawaii,HI
1982,27025.0,15,02,Hawaii,HI
1982,27598.0,15,03,Hawaii,HI
1982,28090.0,15,04,Hawaii,HI
1982,28445.0,15,05,Hawaii,HI
1982,28575.0,15,06,Hawaii,HI
1982,28523.0,15,07,Hawaii,HI
1982,28372.0,15,08,Hawaii,HI
1982,28213.0,15,09,Hawaii,HI
1982,28161.0,15,10,Hawaii,HI
1982,28289.0,15,11,Hawaii,HI
1982,28559.0,15,12,Hawaii,HI
1982,40637.0,16,01,Idaho,ID
1982,42026.0,16,02,Idaho,ID
1982,42931.0,16,03,Idaho,ID
1982,43313.0,16,04,Idaho,ID
1982,43288.0,16,05,Idaho,ID
1982,43161.0,16,06,Idaho,ID
1982,43236.0,16,07,Idaho,ID
1982,43730.0,16,08,Idaho,ID
1982,44655.0,16,09,Idaho,ID
1982,45840.0,16,10,Idaho,ID
1982,46947.0,16,11,Idaho,ID
1982,47508.0,16,12,Idaho,ID
1982,533512.0,17,01,Illinois,IL
1982,551371.0,17,02,Illinois,IL
1982,571381.0,17,03,Illinois,IL
1982,593033.0,17,04,Illinois,IL
1982,614962.0,17,05,Illinois,IL
1982,636113.0,17,06,Illinois,IL
1982,656463.0,17,07,Illinois,IL
1982,675911.0,17,08,Illinois,IL
1982,693941.0,17,09,Illinois,IL
1982,709506.0,17,10,Illinois,IL
1982,721259.0,17,11,Illinois,IL
1982,727692.0,17,12,Illinois,IL
1982,300194.0,18,01,Indiana,IN
1982,305643.0,18,02,Indiana,IN
1982,307814.0,18,03,Indiana,IN
1982,307670.0,18,04,Indiana,IN
1982,306457.0,18,05,Indiana,IN
1982,306120.0,18,06,Indiana,IN
1982,308097.0,18,07,Indiana,IN
1982,312506.0,18,08,Indiana,IN
1982,318727.0,18,09,Indiana,IN
1982,325011.0,18,10,Indiana,IN
1982,329100.0,18,11,Indiana,IN
1982,329407.0,18,12,Indiana,IN
1982,110852.0,19,01,Iowa,IA
1982,113280.0,19,02,Iowa,IA
1982,115124.0,19,03,Iowa,IA
1982,116279.0,19,04,Iowa,IA
1982,116823.0,19,05,Iowa,IA
1982,117174.0,19,06,Iowa,IA
1982,117799.0,19,07,Iowa,IA
1982,119102.0,19,08,Iowa,IA
1982,121251.0,19,09,Iowa,IA
1982,123941.0,19,10,Iowa,IA
1982,126566.0,19,11,Iowa,IA
1982,128510.0,19,12,Iowa,IA
1982,59078.0,20,01,Kansas,KS
1982,61832.0,20,02,Kansas,KS
1982,64874.0,20,03,Kansas,KS
1982,68387.0,20,04,Kansas,KS
1982,72186.0,20,05,Kansas,KS
1982,75922.0,20,06,Kansas,KS
1982,79338.0,20,07,Kansas,KS
1982,82177.0,20,08,Kansas,KS
1982,84222.0,20,09,Kansas,KS
1982,85327.0,20,10,Kansas,KS
1982,85439.0,20,11,Kansas,KS
1982,84535.0,20,12,Kansas,KS
1982,162358.0,21,01,Kentucky,KY
1982,166342.0,21,02,Kentucky,KY
1982,170244.0,21,03,Kentucky,KY
1982,173888.0,21,04,Kentucky,KY
1982,177063.0,21,05,Kentucky,KY
1982,179703.0,21,06,Kentucky,KY
1982,182315.0,21,07,Kentucky,KY
1982,185629.0,21,08,Kentucky,KY
1982,190126.0,21,09,Kentucky,KY
1982,195630.0,21,10,Kentucky,KY
1982,201075.0,21,11,Kentucky,KY
1982,204976.0,21,12,Kentucky,KY
1982,174540.0,22,01,Louisiana,LA
1982,177474.0,22,02,Louisiana,LA
1982,179499.0,22,03,Louisiana,LA
1982,181199.0,22,04,Louisiana,LA
1982,183281.0,22,05,Louisiana,LA
1982,186010.0,22,06,Louisiana,LA
1982,189403.0,22,07,Louisiana,LA
1982,193413.0,22,08,Louisiana,LA
1982,198008.0,22,09,Louisiana,LA
1982,203247.0,22,10,Louisiana,LA
1982,208979.0,22,11,Louisiana,LA
1982,214706.0,22,12,Louisiana,LA
1982,42252.0,23,01,Maine,ME
1982,43127.0,23,02,Maine,ME
1982,43898.0,23,03,Maine,ME
1982,44453.0,23,04,Maine,ME
