year,value,state_fip,month,state_name,state_abbr
2015,6.1,01,01,Alabama,AL
2015,6.1,01,02,Alabama,AL
2015,6.1,01,03,Alabama,AL
2015,6.1,01,04,Alabama,AL
2015,6.1,01,05,Alabama,AL
2015,6.2,01,06,Alabama,AL
2015,6.2,01,07,Alabama,AL
2015,6.2,01,08,Alabama,AL
2015,6.1,01,09,Alabama,AL
2015,6.1,01,10,Alabama,AL
2015,6.1,01,11,Alabama,AL
2015,6.1,01,12,Alabama,AL
2015,6.2,02,01,Alaska,AK
2015,6.3,02,02,Alaska,AK
2015,6.3,02,03,Alaska,AK
2015,6.3,02,04,Alaska,AK
2015,6.3,02,05,Alaska,AK
2015,6.3,02,06,Alaska,AK
2015,6.2,02,07,Alaska,AK
2015,6.2,02,08,Alaska,AK
2015,6.2,02,09,Alaska,AK
2015,6.3,02,10,Alaska,AK
2015,6.3,02,11,Alaska,AK
2015,6.4,02,12,Alaska,AK
2015,6.4,04,01,Arizona,AZ
2015,6.3,04,02,Arizona,AZ
2015,6.2,04,03,Arizona,AZ
2015,6.2,04,04,Arizona,AZ
2015,6.1,04,05,Arizona,AZ
2015,6.1,04,06,Arizona,AZ
2015,6.1,04,07,Arizona,AZ
2015,6.0,04,08,Arizona,AZ
2015,6.0,04,09,Arizona,AZ
2015,5.9,04,10,Arizona,AZ
2015,5.8,04,11,Arizona,AZ
2015,5.8,04,12,Arizona,AZ
2015,5.5,05,01,Arkansas,AR
2015,5.4,05,02,Arkansas,AR
2015,5.4,05,03,Arkansas,AR
2015,5.3,05,04,Arkansas,AR
2015,5.2,05,05,Arkansas,AR
2015,5.1,05,06,Arkansas,AR
2015,4.9,05,07,Arkansas,AR
2015,4.8,05,08,Arkansas,AR
2015,4.6,05,09,Arkansas,AR
2015,4.5,05,10,Arkansas,AR
2015,4.4,05,11,Arkansas,AR
2015,4.3,05,12,Arkansas,AR
2015,6.8,06,01,California,CA
2015,6.7,06,02,California,CA
2015,6.6,06,03,California,CA
2015,6.5,06,04,California,CA
2015,6.4,06,05,California,CA
2015,6.3,06,06,California,CA
2015,6.2,06,07,California,CA
2015,6.0,06,08,California,CA
2015,5.9,06,09,California,CA
2015,5.8,06,10,California,CA
2015,5.8,06,11,California,CA
2015,5.7,06,12,California,CA
2015,4.1,08,01,Colorado,CO
2015,4.1,08,02,Colorado,CO
2015,4.1,08,03,Colorado,CO
2015,4.0,08,04,Colorado,CO
2015,3.9,08,05,Colorado,CO
2015,3.8,08,06,Colorado,CO
2015,3.7,08,07,Colorado,CO
2015,3.6,08,08,Colorado,CO
2015,3.5,08,09,Colorado,CO
2015,3.4,08,10,Colorado,CO
2015,3.4,08,11,Colorado,CO
2015,3.3,08,12,Colorado,CO
2015,6.0,09,01,Connecticut,CT
2015,5.9,09,02,Connecticut,CT
2015,5.8,09,03,Connecticut,CT
2015,5.8,09,04,Connecticut,CT
2015,5.7,09,05,Connecticut,CT
2015,5.6,09,06,Connecticut,CT
2015,5.6,09,07,Connecticut,CT
2015,5.5,09,08,Connecticut,CT
2015,5.4,09,09,Connecticut,CT
2015,5.4,09,10,Connecticut,CT
2015,5.4,09,11,Connecticut,CT
2015,5.3,09,12,Connecticut,CT
2015,5.0,10,01,Delaware,DE
2015,4.9,10,02,Delaware,DE
2015,4.9,10,03,Delaware,DE
2015,4.9,10,04,Delaware,DE
2015,4.9,10,05,Delaware,DE
2015,4.8,10,06,Delaware,DE
2015,4.8,10,07,Delaware,DE
