year,state_fip,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2018,1,4891628,0.70105,0.27403,0.00761,0.01731,0.95599,0.04401,0.48357,0.51643,0.01191,0.04851,0.06097,0.06346,0.06465,0.06652,0.06963,0.06214,0.06215,0.05886,0.06393,0.06429,0.06883,0.06509,0.05539,0.04428,0.03077,0.02008,0.01853
2018,2,736624,0.68824,0.04957,0.17389,0.0883,0.92755,0.07245,0.52171,0.47829,0.01402,0.05751,0.071,0.06722,0.06221,0.07161,0.08385,0.07783,0.07043,0.05814,0.05903,0.06035,0.06688,0.06169,0.0476,0.03187,0.0189,0.01052,0.00934
2018,4,7164228,0.84121,0.05841,0.05711,0.04327,0.6847,0.3153,0.49694,0.50306,0.01133,0.04901,0.06299,0.06651,0.06615,0.06873,0.07227,0.06532,0.06399,0.0588,0.06018,0.05834,0.06159,0.05905,0.05431,0.04699,0.03341,0.02104,0.02
2018,5,3012161,0.80369,0.16298,0.01133,0.022,0.92343,0.07657,0.49104,0.50896,0.01236,0.05089,0.06414,0.06673,0.06571,0.06686,0.06865,0.06316,0.06356,0.05865,0.06107,0.06119,0.06577,0.06175,0.05386,0.04413,0.03136,0.02034,0.01983
2018,6,39437463,0.73868,0.07239,0.0199,0.16902,0.60944,0.39056,0.49719,0.50281,0.01172,0.04978,0.06314,0.0646,0.06448,0.06843,0.07919,0.07387,0.06973,0.06314,0.0648,0.06319,0.06363,0.05714,0.04675,0.03617,0.02471,0.01682,0.01871
2018,8,5697155,0.88587,0.05352,0.0194,0.04121,0.78338,0.21662,0.50344,0.49656,0.01122,0.04741,0.06127,0.06419,0.06354,0.06636,0.0799,0.07764,0.07311,0.06412,0.06448,0.06009,0.0645,0.06031,0.05056,0.03731,0.02355,0.01493,0.01552
2018,9,3574561,0.81136,0.12922,0.00708,0.05234,0.83485,0.16515,0.48767,0.51233,0.00982,0.04144,0.05497,0.06108,0.06752,0.06798,0.06257,0.06232,0.06106,0.05751,0.06572,0.07269,0.07541,0.06783,0.05329,0.04292,0.0301,0.02023,0.02551
2018,10,966985,0.70598,0.24195,0.00756,0.04451,0.90547,0.09453,0.48352,0.51648,0.01109,0.04585,0.05836,0.05977,0.06236,0.05987,0.06915,0.06411,0.06058,0.05436,0.06023,0.06616,0.07111,0.06913,0.06166,0.05047,0.03406,0.021,0.02066
2018,11,704147,0.46183,0.48112,0.00733,0.04972,0.88892,0.11108,0.4748,0.5252,0.01353,0.05054,0.05328,0.04049,0.05225,0.07537,0.1185,0.11563,0.08874,0.06132,0.0556,0.05233,0.05265,0.04768,0.04007,0.03014,0.02087,0.01387,0.01714
2018,12,21254926,0.78474,0.17597,0.00568,0.03362,0.74141,0.25859,0.48889,0.51111,0.01053,0.04329,0.05441,0.05668,0.05666,0.05956,0.06742,0.0636,0.06182,0.05871,0.06346,0.06557,0.06905,0.0648,0.05947,0.05266,0.03912,0.0262,0.02696
2018,13,10519389,0.61439,0.33276,0.00583,0.04702,0.90343,0.09657,0.4863,0.5137,0.01212,0.05048,0.06531,0.06929,0.06915,0.06799,0.0729,0.06708,0.06704,0.06338,0.06827,0.0659,0.06486,0.05733,0.04761,0.0375,0.02474,0.01508,0.01398
2018,15,1423102,0.25414,0.03059,0.0045,0.71077,0.89677,0.10323,0.50129,0.49871,0.01206,0.05029,0.0615,0.0567,0.05345,0.06392,0.07333,0.06973,0.06785,0.05899,0.06035,0.05999,0.06427,0.06336,0.05811,0.04661,0.0298,0.02021,0.02947
2018,16,1752074,0.94689,0.01245,0.02027,0.0204,0.87296,0.12704,0.50132,0.49868,0.01228,0.05364,0.07016,0.07461,0.07037,0.06577,0.06824,0.0642,0.06597,0.05991,0.05813,0.05597,0.06198,0.06064,0.0539,0.04198,0.02849,0.01718,0.0166
2018,17,12724685,0.77757,0.15304,0.007,0.0624,0.82769,0.17231,0.49134,0.50866,0.01158,0.04812,0.06114,0.06445,0.0651,0.0664,0.07092,0.068,0.06708,0.06155,0.06414,0.06447,0.0681,0.06261,0.05098,0.03866,0.02732,0.01849,0.02088
2018,18,6698481,0.86027,0.10738,0.00495,0.0274,0.929,0.071,0.49312,0.50688,0.01226,0.05053,0.0644,0.06707,0.06825,0.07065,0.06872,0.06271,0.0636,0.05917,0.06253,0.06279,0.06729,0.06302,0.0523,0.03944,0.02758,0.01822,0.01947
2018,19,3149900,0.91749,0.04709,0.00606,0.02936,0.93821,0.06179,0.49757,0.50243,0.0121,0.05069,0.06377,0.06625,0.06745,0.07195,0.0649,0.06133,0.06415,0.05638,0.05779,0.05994,0.0679,0.06461,0.05478,0.04054,0.02927,0.02118,0.02502
2018,20,2912748,0.87839,0.0715,0.01467,0.03544,0.87914,0.12086,0.4983,0.5017,0.01245,0.05247,0.06793,0.06891,0.069,0.07343,0.06723,0.0648,0.06533,0.05713,0.05726,0.05796,0.06573,0.06225,0.05153,0.03856,0.0267,0.01886,0.02246
