year,fips,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2019,1001,55769,0.77272,0.20766,0.00488,0.01474,0.97036,0.02964,0.48554,0.51446,0.01049,0.0478,0.06206,0.06911,0.06579,0.05707,0.06839,0.06362,0.06568,0.06473,0.06973,0.06778,0.07,0.06025,0.04881,0.04092,0.03115,0.02032,0.0163
2019,1003,223565,0.88622,0.09205,0.00872,0.01301,0.95362,0.04638,0.48485,0.51515,0.01036,0.04362,0.05866,0.06302,0.0589,0.04983,0.05656,0.0562,0.06022,0.05916,0.06464,0.0641,0.07286,0.07222,0.06653,0.0589,0.04044,0.02406,0.01973
2019,1005,24657,0.49341,0.49244,0.00722,0.00694,0.95555,0.04445,0.52845,0.47155,0.00986,0.04331,0.05718,0.05974,0.0567,0.05978,0.07195,0.06732,0.06238,0.0571,0.06388,0.06096,0.06919,0.06221,0.06144,0.05564,0.03715,0.02393,0.02028
2019,1007,22313,0.77251,0.21866,0.00466,0.00417,0.97226,0.02774,0.53234,0.46766,0.01053,0.04576,0.05347,0.0566,0.05719,0.05974,0.07646,0.07189,0.06835,0.06319,0.07269,0.06839,0.06781,0.06194,0.0519,0.0458,0.03097,0.02017,0.01716
2019,1009,57840,0.96814,0.0198,0.00669,0.00538,0.90546,0.09454,0.49367,0.50633,0.01157,0.04836,0.06266,0.06698,0.06228,0.05515,0.06214,0.05799,0.06089,0.05972,0.06698,0.06617,0.06886,0.06314,0.0574,0.05213,0.03558,0.02282,0.01921
2019,1011,10144,0.2708,0.71057,0.00877,0.00986,0.9164,0.0836,0.54683,0.45317,0.01065,0.04515,0.06033,0.06092,0.05146,0.05925,0.07561,0.07206,0.07285,0.06546,0.06191,0.05688,0.07088,0.06901,0.05639,0.0419,0.02731,0.02267,0.01932
2019,1013,19501,0.52613,0.45439,0.00385,0.01564,0.98482,0.01518,0.46541,0.53459,0.01036,0.04579,0.06118,0.06528,0.05892,0.05625,0.05841,0.05595,0.06312,0.05774,0.0601,0.056,0.06938,0.07328,0.06533,0.05066,0.03615,0.02733,0.02877
2019,1015,114070,0.75988,0.22264,0.00565,0.01183,0.96056,0.03944,0.48056,0.51944,0.01112,0.0465,0.05638,0.06243,0.0673,0.06473,0.06943,0.0615,0.06034,0.05955,0.05954,0.06237,0.06938,0.06919,0.05949,0.04849,0.03312,0.02035,0.01881
2019,1017,33244,0.5755,0.40952,0.00325,0.01173,0.97356,0.02644,0.47858,0.52142,0.01071,0.0456,0.05836,0.05896,0.05466,0.05634,0.07165,0.05607,0.05396,0.0558,0.06491,0.06597,0.07421,0.07177,0.06311,0.05351,0.03916,0.02232,0.02292
2019,1019,26254,0.94199,0.04575,0.00716,0.0051,0.98263,0.01737,0.49429,0.50571,0.0088,0.0379,0.05047,0.05694,0.05618,0.04944,0.05782,0.04921,0.04845,0.05393,0.06582,0.06955,0.07538,0.08334,0.07157,0.06845,0.04578,0.0288,0.02217
2019,1021,44313,0.879,0.10857,0.00546,0.00697,0.9212,0.0788,0.4904,0.5096,0.01214,0.04877,0.06673,0.0686,0.06463,0.05581,0.067,0.05937,0.05949,0.06274,0.06434,0.06492,0.0684,0.06612,0.05644,0.04599,0.03155,0.01898,0.01799
2019,1023,12577,0.57597,0.42005,0.00191,0.00207,0.98958,0.01042,0.47181,0.52819,0.01057,0.04214,0.04993,0.05733,0.05804,0.0516,0.05772,0.04604,0.05216,0.05486,0.05987,0.06822,0.07911,0.07728,0.06878,0.06218,0.04731,0.02807,0.02878
2019,1025,23651,0.5349,0.45461,0.00558,0.0049,0.98655,0.01345,0.47309,0.52691,0.01074,0.04706,0.05581,0.05953,0.063,0.06017,0.06406,0.04917,0.05678,0.05661,0.06228,0.06617,0.07323,0.07048,0.0586,0.05234,0.04131,0.02803,0.02461
2019,1027,13265,0.84485,0.14625,0.0055,0.00339,0.96766,0.03234,0.48775,0.51225,0.01161,0.04274,0.05609,0.0591,0.05533,0.05767,0.05646,0.05254,0.0582,0.0545,0.06551,0.07101,0.07712,0.07034,0.0631,0.05141,0.04289,0.03106,0.02329
2019,1029,14952,0.95813,0.03311,0.00535,0.00341,0.97378,0.02622,0.49137,0.50863,0.0117,0.04809,0.06287,0.06394,0.05952,0.04983,0.06213,0.05464,0.05825,0.05504,0.07136,0.06668,0.07477,0.05952,0.06173,0.05538,0.03919,0.0214,0.02394
2019,1031,52639,0.77488,0.18553,0.0162,0.02339,0.9193,0.0807,0.49309,0.50691,0.01115,0.04939,0.06526,0.06966,0.06282,0.05792,0.0633,0.06296,0.06554,0.06296,0.06763,0.06357,0.06248,0.06178,0.05327,0.04785,0.03114,0.02223,0.01909
2019,1033,55241,0.81684,0.16808,0.00686,0.00822,0.96915,0.03085,0.47812,0.52188,0.01166,0.04524,0.05804,0.05983,0.0549,0.05568,0.06855,0.06093,0.05858,0.05679,0.06238,0.06553,0.07084,0.06982,0.0622,0.05134,0.03867,0.02574,0.02328
2019,1035,12055,0.52435,0.46653,0.00581,0.00332,0.97603,0.02397,0.47607,0.52393,0.01004,0.04355,0.05981,0.05699,0.05641,0.05259,0.05782,0.05176,0.05251,0.05268,0.05666,0.06197,0.07565,0.0769,0.06661,0.06611,0.0443,0.03028,0.02737
2019,1037,10677,0.67472,0.31488,0.00656,0.00384,0.97378,0.02622,0.50229,0.49771,0.00768,0.0355,0.04355,0.04852,0.04524,0.04945,0.05723,0.04833,0.04814,0.05367,0.07212,0.07315,0.08635,0.09029,0.0768,0.06434,0.04664,0.02716,0.02585
2019,1039,37082,0.85475,0.13219,0.0076,0.00545,0.98139,0.01861,0.48358,0.51642,0.01089,0.0483,0.06149,0.06151,0.0566,0.05059,0.06159,0.0558,0.0555,0.05353,0.06024,0.06232,0.07265,0.07419,0.0617,0.05679,0.04086,0.02805,0.0274
2019,1041,13811,0.73065,0.24987,0.00666,0.01282,0.9764,0.0236,0.4865,0.5135,0.00992,0.04721,0.06401,0.06437,0.06198,0.0543,0.06343,0.05698,0.05481,0.05568,0.06415,0.06234,0.0732,0.07313,0.06017,0.05619,0.03287,0.02237,0.02288
