series_id                     ,year,period,       value,footnote_codes
JTS000000000000000HIL         ,2006,M01,5271.0,
JTS000000000000000HIL         ,2006,M02,5474.0,
JTS000000000000000HIL         ,2006,M03,5524.0,
JTS000000000000000HIL         ,2006,M04,5215.0,
JTS000000000000000HIL         ,2006,M05,5498.0,
JTS000000000000000HIL         ,2006,M06,5455.0,
JTS000000000000000HIL         ,2006,M07,5573.0,
JTS000000000000000HIL         ,2006,M08,5373.0,
JTS000000000000000HIL         ,2006,M09,5288.0,
JTS000000000000000HIL         ,2006,M10,5375.0,
JTS000000000000000HIL         ,2006,M11,5495.0,
JTS000000000000000HIL         ,2006,M12,5214.0,
JTS000000000000000HIR         ,2006,M01,3.9,
JTS000000000000000HIR         ,2006,M02,4.0,
JTS000000000000000HIR         ,2006,M03,4.1,
JTS000000000000000HIR         ,2006,M04,3.8,
JTS000000000000000HIR         ,2006,M05,4.0,
JTS000000000000000HIR         ,2006,M06,4.0,
JTS000000000000000HIR         ,2006,M07,4.1,
JTS000000000000000HIR         ,2006,M08,3.9,
JTS000000000000000HIR         ,2006,M09,3.9,
JTS000000000000000HIR         ,2006,M10,3.9,
JTS000000000000000HIR         ,2006,M11,4.0,
JTS000000000000000HIR         ,2006,M12,3.8,
JTS000000000000000JOL         ,2006,M01,4397.0,
JTS000000000000000JOL         ,2006,M02,4325.0,
JTS000000000000000JOL         ,2006,M03,4732.0,
JTS000000000000000JOL         ,2006,M04,4790.0,
JTS000000000000000JOL         ,2006,M05,4463.0,
JTS000000000000000JOL         ,2006,M06,4614.0,
JTS000000000000000JOL         ,2006,M07,4394.0,
JTS000000000000000JOL         ,2006,M08,4710.0,
JTS000000000000000JOL         ,2006,M09,4737.0,
JTS000000000000000JOL         ,2006,M10,4591.0,
JTS000000000000000JOL         ,2006,M11,4645.0,
JTS000000000000000JOL         ,2006,M12,4620.0,
JTS000000000000000JOR         ,2006,M01,3.1,
JTS000000000000000JOR         ,2006,M02,3.1,
JTS000000000000000JOR         ,2006,M03,3.4,
JTS000000000000000JOR         ,2006,M04,3.4,
JTS000000000000000JOR         ,2006,M05,3.2,
JTS000000000000000JOR         ,2006,M06,3.3,
JTS000000000000000JOR         ,2006,M07,3.1,
JTS000000000000000JOR         ,2006,M08,3.3,
JTS000000000000000JOR         ,2006,M09,3.3,
JTS000000000000000JOR         ,2006,M10,3.2,
JTS000000000000000JOR         ,2006,M11,3.3,
JTS000000000000000JOR         ,2006,M12,3.3,
JTS000000000000000LDL         ,2006,M01,1784.0,
JTS000000000000000LDL         ,2006,M02,1882.0,
JTS000000000000000LDL         ,2006,M03,1888.0,
JTS000000000000000LDL         ,2006,M04,1853.0,
JTS000000000000000LDL         ,2006,M05,1991.0,
JTS000000000000000LDL         ,2006,M06,1817.0,
JTS000000000000000LDL         ,2006,M07,1860.0,
JTS000000000000000LDL         ,2006,M08,1775.0,
JTS000000000000000LDL         ,2006,M09,1831.0,
JTS000000000000000LDL         ,2006,M10,1898.0,
JTS000000000000000LDL         ,2006,M11,1926.0,
JTS000000000000000LDL         ,2006,M12,1772.0,
JTS000000000000000LDR         ,2006,M01,1.3,
JTS000000000000000LDR         ,2006,M02,1.4,
JTS000000000000000LDR         ,2006,M03,1.4,
JTS000000000000000LDR         ,2006,M04,1.4,
JTS000000000000000LDR         ,2006,M05,1.5,
JTS000000000000000LDR         ,2006,M06,1.3,
JTS000000000000000LDR         ,2006,M07,1.4,
JTS000000000000000LDR         ,2006,M08,1.3,
JTS000000000000000LDR         ,2006,M09,1.3,
JTS000000000000000LDR         ,2006,M10,1.4,
JTS000000000000000LDR         ,2006,M11,1.4,
JTS000000000000000LDR         ,2006,M12,1.3,
JTS000000000000000OSL         ,2006,M01,331.0,
JTS000000000000000OSL         ,2006,M02,384.0,
JTS000000000000000OSL         ,2006,M03,397.0,
JTS000000000000000OSL         ,2006,M04,423.0,
JTS000000000000000OSL         ,2006,M05,435.0,
JTS000000000000000OSL         ,2006,M06,412.0,
JTS000000000000000OSL         ,2006,M07,430.0,
JTS000000000000000OSL         ,2006,M08,368.0,
JTS000000000000000OSL         ,2006,M09,381.0,
JTS000000000000000OSL         ,2006,M10,410.0,
JTS000000000000000OSL         ,2006,M11,380.0,
JTS000000000000000OSL         ,2006,M12,367.0,
JTS000000000000000OSR         ,2006,M01,0.2,
JTS000000000000000OSR         ,2006,M02,0.3,
JTS000000000000000OSR         ,2006,M03,0.3,
JTS000000000000000OSR         ,2006,M04,0.3,
JTS000000000000000OSR         ,2006,M05,0.3,
JTS000000000000000OSR         ,2006,M06,0.3,
JTS000000000000000OSR         ,2006,M07,0.3,
JTS000000000000000OSR         ,2006,M08,0.3,
JTS000000000000000OSR         ,2006,M09,0.3,
JTS000000000000000OSR         ,2006,M10,0.3,
JTS000000000000000OSR         ,2006,M11,0.3,
JTS000000000000000OSR         ,2006,M12,0.3,
JTS000000000000000QUL         ,2006,M01,2945.0,
JTS000000000000000QUL         ,2006,M02,2965.0,
JTS000000000000000QUL         ,2006,M03,2956.0,
JTS000000000000000QUL         ,2006,M04,2778.0,
JTS000000000000000QUL         ,2006,M05,3002.0,
JTS000000000000000QUL         ,2006,M06,3042.0,
JTS000000000000000QUL         ,2006,M07,3047.0,
JTS000000000000000QUL         ,2006,M08,3056.0,
JTS000000000000000QUL         ,2006,M09,2888.0,
JTS000000000000000QUL         ,2006,M10,2983.0,
JTS000000000000000QUL         ,2006,M11,3043.0,
JTS000000000000000QUL         ,2006,M12,2999.0,
JTS000000000000000QUR         ,2006,M01,2.2,
JTS000000000000000QUR         ,2006,M02,2.2,
JTS000000000000000QUR         ,2006,M03,2.2,
JTS000000000000000QUR         ,2006,M04,2.0,
JTS000000000000000QUR         ,2006,M05,2.2,
JTS000000000000000QUR         ,2006,M06,2.2,
JTS000000000000000QUR         ,2006,M07,2.2,
JTS000000000000000QUR         ,2006,M08,2.2,
JTS000000000000000QUR         ,2006,M09,2.1,
JTS000000000000000QUR         ,2006,M10,2.2,
JTS000000000000000QUR         ,2006,M11,2.2,
JTS000000000000000QUR         ,2006,M12,2.2,
JTS000000000000000TSL         ,2006,M01,5060.0,
JTS000000000000000TSL         ,2006,M02,5232.0,
JTS000000000000000TSL         ,2006,M03,5242.0,
JTS000000000000000TSL         ,2006,M04,5055.0,
JTS000000000000000TSL         ,2006,M05,5428.0,
JTS000000000000000TSL         ,2006,M06,5271.0,
JTS000000000000000TSL         ,2006,M07,5336.0,
JTS000000000000000TSL         ,2006,M08,5199.0,
JTS000000000000000TSL         ,2006,M09,5100.0,
JTS000000000000000TSL         ,2006,M10,5290.0,
JTS000000000000000TSL         ,2006,M11,5349.0,
JTS000000000000000TSL         ,2006,M12,5138.0,
JTS000000000000000TSR         ,2006,M01,3.7,
JTS000000000000000TSR         ,2006,M02,3.9,
JTS000000000000000TSR         ,2006,M03,3.9,
JTS000000000000000TSR         ,2006,M04,3.7,
JTS000000000000000TSR         ,2006,M05,4.0,
JTS000000000000000TSR         ,2006,M06,3.9,
JTS000000000000000TSR         ,2006,M07,3.9,
JTS000000000000000TSR         ,2006,M08,3.8,
JTS000000000000000TSR         ,2006,M09,3.7,
JTS000000000000000TSR         ,2006,M10,3.9,
JTS000000000000000TSR         ,2006,M11,3.9,
JTS000000000000000TSR         ,2006,M12,3.7,
JTS000000000000000UOR         ,2006,M01,1.6,
JTS000000000000000UOR         ,2006,M02,1.7,
JTS000000000000000UOR         ,2006,M03,1.5,
JTS000000000000000UOR         ,2006,M04,1.5,
JTS000000000000000UOR         ,2006,M05,1.6,
JTS000000000000000UOR         ,2006,M06,1.5,
JTS000000000000000UOR         ,2006,M07,1.6,
JTS000000000000000UOR         ,2006,M08,1.5,
JTS000000000000000UOR         ,2006,M09,1.4,
JTS000000000000000UOR         ,2006,M10,1.5,
JTS000000000000000UOR         ,2006,M11,1.5,
JTS000000000000000UOR         ,2006,M12,1.5,
JTS000000010000000HIL         ,2006,M01,80.0,
JTS000000010000000HIL         ,2006,M02,82.0,
JTS000000010000000HIL         ,2006,M03,82.0,
JTS000000010000000HIL         ,2006,M04,80.0,
JTS000000010000000HIL         ,2006,M05,84.0,
JTS000000010000000HIL         ,2006,M06,94.0,
JTS000000010000000HIL         ,2006,M07,81.0,
JTS000000010000000HIL         ,2006,M08,87.0,
JTS000000010000000HIL         ,2006,M09,83.0,
JTS000000010000000HIL         ,2006,M10,97.0,
JTS000000010000000HIL         ,2006,M11,86.0,
JTS000000010000000HIL         ,2006,M12,85.0,
JTS000000010000000HIR         ,2006,M01,4.0,
JTS000000010000000HIR         ,2006,M02,4.1,
JTS000000010000000HIR         ,2006,M03,4.1,
JTS000000010000000HIR         ,2006,M04,4.0,
JTS000000010000000HIR         ,2006,M05,4.2,
JTS000000010000000HIR         ,2006,M06,4.7,
JTS000000010000000HIR         ,2006,M07,4.1,
JTS000000010000000HIR         ,2006,M08,4.3,
JTS000000010000000HIR         ,2006,M09,4.1,
JTS000000010000000HIR         ,2006,M10,4.9,
JTS000000010000000HIR         ,2006,M11,4.3,
JTS000000010000000HIR         ,2006,M12,4.2,
JTS000000010000000JOL         ,2006,M01,61.0,
JTS000000010000000JOL         ,2006,M02,61.0,
JTS000000010000000JOL         ,2006,M03,73.0,
JTS000000010000000JOL         ,2006,M04,73.0,
