series_id                     ,year,period,       value,footnote_codes
LAUCN010010000000003          ,2024,M01,2.7,
LAUCN010010000000003          ,2024,M02,3.0,P
LAUCN010010000000004          ,2024,M01,737.0,
LAUCN010010000000004          ,2024,M02,801.0,P
LAUCN010010000000005          ,2024,M01,26184.0,
LAUCN010010000000005          ,2024,M02,26290.0,P
LAUCN010010000000006          ,2024,M01,26921.0,
LAUCN010010000000006          ,2024,M02,27091.0,P
LAUCN010030000000003          ,2024,M01,3.2,
LAUCN010030000000003          ,2024,M02,3.2,P
LAUCN010030000000004          ,2024,M01,3303.0,
LAUCN010030000000004          ,2024,M02,3377.0,P
LAUCN010030000000005          ,2024,M01,100319.0,
LAUCN010030000000005          ,2024,M02,100700.0,P
LAUCN010030000000006          ,2024,M01,103622.0,
LAUCN010030000000006          ,2024,M02,104077.0,P
LAUCN010050000000003          ,2024,M01,5.4,
LAUCN010050000000003          ,2024,M02,5.9,P
LAUCN010050000000004          ,2024,M01,425.0,
LAUCN010050000000004          ,2024,M02,456.0,P
LAUCN010050000000005          ,2024,M01,7429.0,
LAUCN010050000000005          ,2024,M02,7333.0,P
LAUCN010050000000006          ,2024,M01,7854.0,
LAUCN010050000000006          ,2024,M02,7789.0,P
LAUCN010070000000003          ,2024,M01,3.1,
LAUCN010070000000003          ,2024,M02,3.4,P
LAUCN010070000000004          ,2024,M01,275.0,
LAUCN010070000000004          ,2024,M02,304.0,P
LAUCN010070000000005          ,2024,M01,8489.0,
LAUCN010070000000005          ,2024,M02,8509.0,P
LAUCN010070000000006          ,2024,M01,8764.0,
LAUCN010070000000006          ,2024,M02,8813.0,P
LAUCN010090000000003          ,2024,M01,3.0,
LAUCN010090000000003          ,2024,M02,3.1,P
LAUCN010090000000004          ,2024,M01,782.0,
LAUCN010090000000004          ,2024,M02,799.0,P
LAUCN010090000000005          ,2024,M01,25109.0,
LAUCN010090000000005          ,2024,M02,25062.0,P
LAUCN010090000000006          ,2024,M01,25891.0,
