series_id                     ,year,period,       value,footnote_codes
LASST010000000000003          ,1988,M01,7.4,
LASST010000000000003          ,1988,M02,7.3,
LASST010000000000003          ,1988,M03,7.3,
LASST010000000000003          ,1988,M04,7.2,
LASST010000000000003          ,1988,M05,7.2,
LASST010000000000003          ,1988,M06,7.2,
LASST010000000000003          ,1988,M07,7.2,
LASST010000000000003          ,1988,M08,7.3,
LASST010000000000003          ,1988,M09,7.3,
LASST010000000000003          ,1988,M10,7.3,
LASST010000000000003          ,1988,M11,7.3,
LASST010000000000003          ,1988,M12,7.3,
LASST010000000000004          ,1988,M01,139226.0,
LASST010000000000004          ,1988,M02,137392.0,
LASST010000000000004          ,1988,M03,135829.0,
LASST010000000000004          ,1988,M04,134887.0,
LASST010000000000004          ,1988,M05,134575.0,
LASST010000000000004          ,1988,M06,134763.0,
LASST010000000000004          ,1988,M07,135320.0,
LASST010000000000004          ,1988,M08,136276.0,
LASST010000000000004          ,1988,M09,137412.0,
LASST010000000000004          ,1988,M10,138105.0,
LASST010000000000004          ,1988,M11,138082.0,
LASST010000000000004          ,1988,M12,137266.0,
LASST010000000000005          ,1988,M01,1733412.0,
LASST010000000000005          ,1988,M02,1733404.0,
LASST010000000000005          ,1988,M03,1732653.0,
LASST010000000000005          ,1988,M04,1731673.0,
LASST010000000000005          ,1988,M05,1731433.0,
LASST010000000000005          ,1988,M06,1732527.0,
LASST010000000000005          ,1988,M07,1734921.0,
LASST010000000000005          ,1988,M08,1738124.0,
LASST010000000000005          ,1988,M09,1741612.0,
LASST010000000000005          ,1988,M10,1745275.0,
LASST010000000000005          ,1988,M11,1748902.0,
LASST010000000000005          ,1988,M12,1752163.0,
LASST010000000000006          ,1988,M01,1872638.0,
LASST010000000000006          ,1988,M02,1870796.0,
LASST010000000000006          ,1988,M03,1868482.0,
LASST010000000000006          ,1988,M04,1866560.0,
LASST010000000000006          ,1988,M05,1866008.0,
LASST010000000000006          ,1988,M06,1867290.0,
LASST010000000000006          ,1988,M07,1870241.0,
LASST010000000000006          ,1988,M08,1874400.0,
LASST010000000000006          ,1988,M09,1879024.0,
LASST010000000000006          ,1988,M10,1883380.0,
LASST010000000000006          ,1988,M11,1886984.0,
LASST010000000000006          ,1988,M12,1889429.0,
LASST010000000000007          ,1988,M01,56.9,
LASST010000000000007          ,1988,M02,56.8,
LASST010000000000007          ,1988,M03,56.8,
LASST010000000000007          ,1988,M04,56.7,
LASST010000000000007          ,1988,M05,56.7,
LASST010000000000007          ,1988,M06,56.7,
LASST010000000000007          ,1988,M07,56.7,
LASST010000000000007          ,1988,M08,56.8,
LASST010000000000007          ,1988,M09,56.9,
LASST010000000000007          ,1988,M10,57.0,
LASST010000000000007          ,1988,M11,57.1,
LASST010000000000007          ,1988,M12,57.2,
LASST010000000000008          ,1988,M01,61.4,
LASST010000000000008          ,1988,M02,61.3,
LASST010000000000008          ,1988,M03,61.2,
LASST010000000000008          ,1988,M04,61.1,
LASST010000000000008          ,1988,M05,61.1,
LASST010000000000008          ,1988,M06,61.1,
LASST010000000000008          ,1988,M07,61.1,
LASST010000000000008          ,1988,M08,61.3,
LASST010000000000008          ,1988,M09,61.4,
LASST010000000000008          ,1988,M10,61.5,
LASST010000000000008          ,1988,M11,61.6,
