"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2010"	"2010"	"Jan., 2010"	"2010/01"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Feb., 2010"	"2010/02"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Mar., 2010"	"2010/03"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Apr., 2010"	"2010/04"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"May, 2010"	"2010/05"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Jun., 2010"	"2010/06"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Jul., 2010"	"2010/07"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Aug., 2010"	"2010/08"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Sep., 2010"	"2010/09"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Oct., 2010"	"2010/10"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Nov., 2010"	"2010/11"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Dec., 2010"	"2010/12"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Jan., 2010"	"2010/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Feb., 2010"	"2010/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Mar., 2010"	"2010/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Apr., 2010"	"2010/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"May, 2010"	"2010/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Jun., 2010"	"2010/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Jul., 2010"	"2010/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Aug., 2010"	"2010/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Sep., 2010"	"2010/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Oct., 2010"	"2010/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Nov., 2010"	"2010/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	"Dec., 2010"	"2010/12"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Jan., 2010"	"2010/01"	37	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Feb., 2010"	"2010/02"	33	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Mar., 2010"	"2010/03"	43	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Apr., 2010"	"2010/04"	47	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"May, 2010"	"2010/05"	47	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Jun., 2010"	"2010/06"	40	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Jul., 2010"	"2010/07"	53	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Aug., 2010"	"2010/08"	46	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Sep., 2010"	"2010/09"	43	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Oct., 2010"	"2010/10"	47	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Nov., 2010"	"2010/11"	48	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	"Dec., 2010"	"2010/12"	44	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Jan., 2010"	"2010/01"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Feb., 2010"	"2010/02"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Mar., 2010"	"2010/03"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Apr., 2010"	"2010/04"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"May, 2010"	"2010/05"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Jun., 2010"	"2010/06"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Jul., 2010"	"2010/07"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Aug., 2010"	"2010/08"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Oct., 2010"	"2010/10"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Nov., 2010"	"2010/11"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Dec., 2010"	"2010/12"	18	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Jan., 2010"	"2010/01"	157	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Feb., 2010"	"2010/02"	150	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Mar., 2010"	"2010/03"	137	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Apr., 2010"	"2010/04"	156	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"May, 2010"	"2010/05"	148	Not Applicable	Not Applicable
